"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"30",169.068,1.79343743445,31195,41.5344228267043,310.4060324,61.7,0.6271,0.1702,3.5846,3.4473,1.147,9.5256,14.2676,27.4607,0.6439,66.4857,2.0673,10.4001,4.8406,0.6186,0.1575,14.9291,0.6547,2.37559295454545,9.41,71.923409,21721139254.3023
"31",12.837,1.79461501481,97115,6,31.85577603,28.6,0.656,0.1703,3.6167,3.5484,1.1516,9.68670000000001,15.4183,28.343,0.7906,68.2978,2.1365,10.7288,4.9144,0.6941,0.1601,15.7851,0.6723,2.57526795454545,6.51,12.615376,2.319e+10
"32",5.844,1.79461501481,94563,14.2129487150791,99.77119413,37.7,0.656,0.1684,3.6167,3.5484,1.1516,9.68670000000001,15.4183,28.343,0.7906,68.2978,2.2204,10.7288,4.907,0.6941,0.1605,15.8364,0.6723,2.57526795454545,8.11,56.241741,2.234e+10
"33",733.723,1.70142804028,21333,93.1,1903.118645,76,0.55,0.602000000000001,1.56,1.99,1.27,8.05,13.44,19.48,0,49.85,3.1891,2.99,2.62,0.1,0.1,11.43,0.45,2.11,10.42,613.57904,3.4e+08
"34",3.293,1.81256572606,24811,96.9,762.2437789,74.2,0.6945,0.1688,3.8384,3.851,1.1718,9.17260000000001,15.5085,28.2988,0.7183,61.5166,2.0904,10.704,4.9532,0.825500000000001,0.1743,15.3375,0.7194,4.34,8.51,246.86253,7.943e+10
"35",600.693,1.71792094355,27188,87.7,852.8121654,67.8,0.5942,0.1627,2.5156,2.3018,1.0982,11.4663,14.8577,27.4066,0.5374,61.306,1.5837,9.0651,4.5651,0.4437,0.1085,12.445,0.5864,1.71,9.17,156.01645,4.45e+09
"36",8.05,1.75358803873,59673,32.2924805763665,121.0422012,47.7,0.6203,0.1157,2.8435,3.0117,1.0825,9.77830000000001,16.0107,27.5602,0.6747,60.9368,1.487,9.50600000000001,4.6241,0.5806,0.1163,15.4651,0.6028,2.42965795454545,8.25,90.556938,2.28e+09
"37",16.672,1.75402098779,70611,19.1702265138379,202.6585841,43.5,0.5873,0.1146,2.9076,3.1591,1.1281,9.74070000000001,15.6269,27.8188,0.6855,65.3195,1.311,9.7695,4.8274,0.6334,0.1263,15.7909,0.6383,2.50841795454545,8.25,88.853043,9.32e+09
"38",260.889,1.73475714446,23017,100,1286.462817,72.9,0.6217,0.1396,2.7053,2.651,1.0573,8.947,14.5625,26.1667,0.4593,57.8417,1.9937,9.4006,4.2979,0.5251,0.1255,13.0763,0.6199,1.13,9.82,276.40625,3.3e+08
"39",4.625,1.79461501481,88856,1.2,189.6011903,42.4,0.656,0.1705,3.6167,3.5395,1.1571,9.68670000000001,15.4183,28.343,0.7906,68.2978,2.2204,10.7288,4.907,0.6941,0.1605,15.8364,0.6723,2.56306795454545,7.72,68.291847,5.166e+10
