"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416441503126.73","1434400505704.66","1518060314510.73","1565001046388.45","1667816193461.1","1730180964412.33","1818845350744.83","2003694881095.97","2285821349776.76","2616043500086.84","2889480707132.67","3290163354126.95","3695062045042.52","4139844855703.5","4346206635009.59","3641468257129.34","3819325671693.68","3921690454221.92","4266460500000","4319385135107.17","4421215995947.33","4491703843962.91","4433885863592.59","4770354748980.1","5068579435519.03","5392518561100.72","5100657396014.17",
"American Samoa","ASM","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","722558718.86121","712839721.254355","672192982.45614","627912621.359223","600206896.551724","604760000","635792875.989446","758039355.992844","596449168.207024","577511545.293073","640000000","616477726.574501","596801438.848921","617015037.593985","616877934.2723","568287539.936102","581660120.845922","565539325.842697","",
"Antigua and Barbuda","ATG","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","261364268439.108","267067793626.707","269745435577.352","287577053840.361","308794267465.753","326762874964.639","334619837089.329","355184812201.591","372392505208.333","399283695183.486","427422365017.45","441861547756.041","456607252018.779","474392164933.406","497730625439.478","500024809882.667","511046070934.722","527604641420.959","528634652142.67","549556185052.99","566706331821.37","587327397424.32","606486312772.797","591738867052.414","619076694296.958","648070971374.468","669505937324.662","681010087684.81","723410107195.846","760997572323.517","788021454614.012","776565564026.162","773247243526.528","799251306608.352","825413182733.996","859577350934.993","892005777751.715","925867860295.379","967559445744.61","1013030306874.94","1052908210614.05","1069640632794.78","1118977308017.66","1156951109956.89","1218006299725.36","1273220911950.2","1329506990029.03","1396538457920.7","1461643923808.31","1509403737614.28","1529529405202.68","1627884957815.35","1693852732089.31","1701353566517.61","1730673515189.84","1728302051647.76","1737394800752.46","1825368927944.79","1886944169524.03","1952680000000","1950871222869.92",
"Austria","AUT","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","124900519786.774","131090486842.919","139709901731.543","147483803698.483","151798779485.948","151392509035.806","158211147187.703","165898400913.944","165984713137.535","174673861179.593","176337904394.648","175333658840.925","179419490945.271","184565110648.184","184892378963.48","189353975501.733","194114776040.447","196972635359.491","203603702232.203","211433381017.37","221190803894.15","228698267207.576","233009761323.636","233849797871.892","239799707846.131","246649076862.171","251376070478.253","256020987306.588","264971294404.542","273982002922.758","282367882227.971","286277455013.767","291928419489.438","295653636848.933","303280157528.673","309110594789.663","318236428657.471","329456407762.122","332230825726.989","322485712854.972","325954999453.053","332553532474.712","333937273368.144","334244567726.285","338049912871.352","344269230000","352966497218.978","359238205004.661","367523616383.428","372128286890.405","350250282349.183",
"Azerbaijan","AZE","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4303426453.45775","4121134140.40014","3958595367.53485","4174473014.57649","4282033439.20367","4657036422.40997","5597560144.90528","5738372056.89655","6337753492.67706","7345669721.13915","8554829779.95809","12522700000","19293579811.2185","25603245889.9943","33478704844.7961","27699493362.0866","28403467914.5782","32258351947.0638","29791713226.5577","30152937311.8133","29466101876.0212","","","","","","",
"Burundi","BDI","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1052152949569.92","1102551841852.62","1091525694054.61","1082348962015.05","1094866782482.35","1145492049471.39","1122949908965.55","1194385475796.25","1208244000000","1284375030837.61","1318346700898.18","1385442042331.21","1436492890375.02","1526652609405.46","1569069638213.04","1618739770986.48","1730463343165.45","1802659554879.94","1825566188295.92","1791086780157.47","1785076849210.04","1782789110593.01","1815527783623.76","1770302049123.37",
"Belgium","BEL","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","158516509068.629","164144205193.127","173789862610.744","185696531794.568","192333597048.055","187563293540.976","197943947700.799","199636901991.484","205335548493.829","210364027457.979","216392508067.443","212801051710.558","213571688731.506","213927846301.191","219211488201.756","223628478729.545","231603519405.323","237989771111.831","251037008004.509","260922349276.419","268729492559.99","273794750901.045","280498242440.459","280022519068.878","288815910262.133","295785667464.325","298771683717.07","310003796685.744","317317411009.649","326806285120.309","335814962775.28","339598358202.643","346977957465.313","349971660569.311","360623876851.743","367356271857.806","374925115239.631","389204484278.554","383318074504.254","383626013637.57","389889892855.411","392210453547.688","395206026675.9","398098841815.873","405276479416.521","416701400000","424903066222.469","430089566088.735","434445145047.104","445221726685.282","417827620210.76",
"Benin","BEN","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","980644711393.925","1009591462769.44","975806472834.168","1024195069946.05","1091046761387.62","1150785590199.27","1193397757384.09","1210657505187.16","1279595501032.25","1305433416053.44","1350304678313.96","1333513085674.26","1383434019011.57","1473887178905.47","1476516026606.77","1393266544593.23","1393126302511.11","1487736248082.45","1505219331919.24","1583597614515.42","1675491889954.83","1794504981515.05","1913102637385.62","1830488144739.11","1991786724607.7","2123983827512.58","2138910222240.58","2095762101462.51","2193435151531.98","2121315432234.23","2303434197810.05","2407841422509.03","2467746372582.06","2575671027232.93","2621866184382.91","2801154905614.06","2968873282119.58","3134306809801.53","3227403986470.21","3323296706085.63","3571888447855.51","3752412028827.12","3939990619690.87","4092940752675.67","4341185940621.82","4329528977936.16","4504825808867.3","4750863363090.31","4979699834052.62","5132452682342.08","5276093809823.96","5472626197722.5","5737026578068.8","6207907662515.84","6555300729818.17","6732814000000","7029141946047.56","7353450175423.84","7832606994226.4","8481201621215.56","8739713094955.42",
"Burkina Faso","BFA","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","821497328196.041","830929694847.644","899277018205.94","935433488320.592","947711347475.706","920131433140.754","929661512459.418","932854831289.776","942032966191.995","1040610494474.01","1053756952329.95","1170470437936.03","1180044353640.12","1181317833452.78","1190627239268.19","1240894589348.07","1286451058899.17","1418550564556.71","1449380545296.4","1450169395156.95","1583179529187.36","1704205165801.13","1709569067627.54","1821103225835.85","1845907363007.73","1847039279842.09","2008136418533.98","2012062587416.52","2070263436088.07","2045537643680.45","2177754145091.54","2415075409335.48","2568391820345.21","2757033037613.39","2858376068470.03","2909110436733.29","3127514380775.25","3283230621412.01","3542925097198.11","3712789685600.41","4009880596571.03","4230584983886.98","4378985239805.94","4623482391715.43","4752330656312.51","5258585039202.59","5757140503961.99","6249671863830.47","6433559363006.88","6685507572070.63","6995311000000","7544734247936.39","8035280502708.34","8884332141053.53","9541458342674.06","",
