,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
37985,ETH,Africa,Ethiopia,2021-10-27,363712.0,472.0,458.42900000000003,6412.0,19.0,17.857,3085.542,4.004,3.889,54.396,0.161,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876226.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
40887,FIN,Europe,Finland,2021-10-27,156286.0,739.0,598.143,1150.0,1.0,2.4290000000000003,28167.958,133.192,107.805,207.268,0.18,0.43799999999999994,,,,,,,,,,,,,,,,,,,8029248.0,4214076.0,3815172.0,,17040.0,12764.0,144.71,75.95,68.76,,2300.0,,5548361.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
40249,FJI,Oceania,Fiji,2021-10-27,52079.0,51.0,24.285999999999998,673.0,0.0,1.429,57679.763,56.485,26.897,745.377,0.0,1.5819999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
39612,FLK,South America,Falkland Islands,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4407.0,2632.0,1775.0,,,12.0,124.91,74.6,50.31,,3401.0,,3528.0,,,,,,,,,,,,,81.44,,,,,
41530,FRA,Europe,France,2021-10-27,7242180.0,7080.0,5620.0,118530.0,40.0,32.857,107189.525,104.789,83.18,1754.33,0.5920000000000001,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67564251.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999,,,,
39545,FRO,Europe,Faeroe Islands,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76876.0,39279.0,37597.0,,153.0,70.0,156.72,80.07,76.65,,1427.0,,49053.0,35.308,,,,,,,,,,,,80.67,,,,,
74452,FSM,Oceania,Micronesia (country),2021-10-27,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.77700000000002,23.0,4.81,2.392,3299.4640000000004,16.0,454.343,12.02,,,,,67.88,0.62,,,,
42389,GAB,Africa,Gabon,2021-10-27,35252.0,354.0,138.714,235.0,5.0,2.286,15469.348999999998,155.343,60.871,103.12299999999999,2.194,1.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278829.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
120035,GBR,Europe,United Kingdom,2021-10-27,8938965.0,44122.0,44127.0,140462.0,209.0,145.429,131056.19699999999,646.883,646.956,2059.345,3.0639999999999996,2.1319999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68207114.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
43589,GEO,Asia,Georgia,2021-10-27,703281.0,4337.0,3930.0,9873.0,42.0,40.714,176713.848,1089.761,987.4939999999999,2480.795,10.552999999999999,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979773.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
47479,GGY,Europe,Guernsey,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103064.0,,,,,74.0,153.71,,,,1104.0,,67052.0,,,,,,,,,,,,,,,,,,
44822,GHA,Africa,Ghana,2021-10-27,130041.0,33.0,64.143,1174.0,0.0,0.7140000000000001,4098.085999999999,1.04,2.021,36.997,0.0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
45111,GIB,Europe,Gibraltar,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87370.0,40546.0,39803.0,7021.0,670.0,559.0,259.33,120.35,118.14,20.84,16592.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,,
48073,GIN,Africa,Guinea,2021-10-27,30647.0,2.0,6.0,385.0,0.0,0.0,2270.613,0.14800000000000002,0.445,28.524,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.47700000000000004,,,,
42979,GMB,Africa,Gambia,2021-10-27,9963.0,4.0,2.4290000000000003,340.0,0.0,0.14300000000000002,4006.133,1.608,0.977,136.714,0.0,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
48655,GNB,Africa,Guinea-Bissau,2021-10-27,6133.0,0.0,0.28600000000000003,141.0,0.0,0.0,3042.9320000000002,0.0,0.142,69.958,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
35579,GNQ,Africa,Equatorial Guinea,2021-10-27,13236.0,0.0,19.857,163.0,0.0,0.0,9128.962,0.0,13.696,112.42200000000001,0.0,0.0,,,,,,,,,,,239843.0,165.421,,447.0,0.308,0.044000000000000004,22.5,tests performed,,,,,,,,,,,,,1449891.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.5920000000000001,,,,
45728,GRC,Europe,Greece,2021-10-27,728210.0,3639.0,3428.429,15770.0,63.0,40.714,70217.7,350.89099999999996,330.586,1520.6229999999998,6.075,3.926,,,,,,,,,,194705.0,25317784.0,2441.269,18.774,198839.0,19.173,0.017,58.0,samples tested,12630079.0,6618381.0,6356674.0,314723.0,26239.0,21794.0,121.79,63.82,61.29,3.03,2101.0,,10370747.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
46585,GRD,North America,Grenada,2021-10-27,5830.0,6.0,5.7139999999999995,197.0,0.0,0.5710000000000001,51586.073,53.09,50.562,1743.131,0.0,5.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.0,317.132,29.4,7.303999999999999,5.021,13593.877,,243.96400000000003,10.71,,,,3.7,72.4,0.779,,,,
46000,GRL,North America,Greenland,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77057.0,40104.0,36953.0,,,43.0,135.5,70.52,64.98,,756.0,30.09,56868.0,0.13699999999999998,,,,,,199.94099999999997,2.16,,,,,71.7,,,,,
47204,GTM,North America,Guatemala,2021-10-27,597768.0,1351.0,901.143,14862.0,65.0,49.571000000000005,32754.647999999997,74.028,49.378,814.362,3.562,2.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18249868.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3,0.6629999999999999,,,,
49250,GUY,South America,Guyana,2021-10-27,35252.0,82.0,75.143,900.0,1.0,2.714,44604.209,103.75399999999999,95.07799999999999,1138.766,1.265,3.4339999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91,0.682,,,,
51077,HKG,Asia,Hong Kong,2021-10-27,12335.0,5.0,4.2860000000000005,213.0,0.0,0.0,1633.1689999999999,0.662,0.5670000000000001,28.201,0.0,0.0,,,,,,,,,,,,,,,,,,,9007948.0,4601077.0,4406871.0,,8542.0,10932.0,119.27,60.92,58.35,,1447.0,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.9490000000000001,,,,
50433,HND,North America,Honduras,2021-10-27,374783.0,0.0,225.28599999999997,10210.0,0.0,9.0,37243.687000000005,0.0,22.388,1014.6089999999999,0.0,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
28141,HRV,Europe,Croatia,2021-10-27,453936.0,4571.0,2971.429,9116.0,26.0,23.570999999999998,111213.65699999999,1119.888,727.9960000000001,2233.407,6.37,5.775,,,,,,,,,,,,,,9693.0,2.375,0.307,3.3,people tested,,,,,,,,,,,,,4081657.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
49837,HTI,North America,Haiti,2021-10-27,23773.0,154.0,52.428999999999995,662.0,0.0,0.5710000000000001,2059.752,13.343,4.543,57.357,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.51,,,,
51681,HUN,Europe,Hungary,2021-10-27,855339.0,3125.0,2346.143,30647.0,36.0,28.429000000000002,88781.87800000001,324.367,243.523,3181.0759999999996,3.737,2.951,,,,,,,,,,18922.0,6869538.0,713.039,1.964,17538.0,1.82,0.134,7.5,tests performed,,5947085.0,5728025.0,1164000.0,,,,61.73,59.46,12.08,,,9634162.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.8540000000000001,,,,
53533,IDN,Asia,Indonesia,2021-10-27,4241809.0,719.0,658.2860000000001,143299.0,29.0,31.714000000000002,15348.753999999999,2.602,2.3819999999999997,518.52,0.105,0.115,,,,,,,,,,,,,,,,,,,185616142.0,115502524.0,70113618.0,,2138919.0,1599512.0,67.16,41.79,25.37,,5788.0,,276361788.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
56276,IMN,Europe,Isle of Man,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131770.0,67434.0,64336.0,,,91.0,154.28,78.95,75.33,,1065.0,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
52928,IND,Asia,India,2021-10-27,34231809.0,16156.0,14908.428999999998,456386.0,733.0,510.714,24566.949,11.595,10.699000000000002,327.532,0.526,0.36700000000000005,,,,,,,,,,1305962.0,603207505.0,432.901,0.937,1253945.0,0.9,0.012,84.1,samples tested,1036568410.0,723424864.0,313143546.0,,5718331.0,5595625.0,74.39,51.92,22.47,,4016.0,,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
55998,IRL,Europe,Ireland,2021-10-27,435526.0,1624.0,2041.714,5436.0,67.0,9.571,87404.052,325.914,409.744,1090.93,13.446,1.921,,,,,,,,,,21538.0,8020089.0,1609.521,4.322,21246.0,4.263999999999999,0.096,10.4,tests performed,,,,,,,,,,,,,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
54779,IRN,Asia,Iran,2021-10-27,5888100.0,10644.0,9480.429,125716.0,197.0,161.571,69248.334,125.181,111.49700000000001,1478.5120000000002,2.3169999999999997,1.9,,,,,,,,,,109236.0,35079339.0,412.559,1.285,106546.0,1.253,0.08900000000000001,11.2,tests performed,,,,,,,,,,,,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.7829999999999999,,,,
55391,IRQ,Asia,Iraq,2021-10-27,2050652.0,1412.0,1488.1429999999998,23061.0,37.0,32.143,49798.065,34.289,36.138000000000005,560.014,0.899,0.7809999999999999,,,,,,,,,,21018.0,15739606.0,382.221,0.51,20075.0,0.488,0.07400000000000001,13.5,samples tested,,,,,,,,,,,,,41179351.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.674,,,,
52291,ISL,Europe,Iceland,2021-10-27,13313.0,77.0,76.857,33.0,0.0,0.0,38772.717000000004,224.25400000000002,223.838,96.109,0.0,0.0,,,,,,,,,,2291.0,675623.0,1967.681,6.672000000000001,1509.0,4.395,,,tests performed,,,,,,,,,,,,,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.9490000000000001,,,,
56892,ISR,Asia,Israel,2021-10-27,1325496.0,599.0,799.143,8073.0,10.0,6.2860000000000005,150799.747,68.14699999999999,90.917,918.453,1.138,0.715,,154.0,17.52,342.0,38.909,,,,,84641.0,29785377.0,3388.639,9.629,84690.0,9.635,0.009000000000000001,106.0,tests performed,15882007.0,6227096.0,5722814.0,3932097.0,12083.0,11640.0,180.69,70.84,65.11,44.73,1324.0,,8789776.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
57528,ITA,Europe,Italy,2021-10-27,4752368.0,4595.0,3783.0,131954.0,50.0,38.0,78723.98700000001,76.117,62.666000000000004,2185.846,0.828,0.629,,,,,,,,,,468104.0,102379323.0,1695.935,7.754,469630.0,7.78,0.008,124.1,tests performed,89274052.0,46552063.0,42925621.0,1287032.0,169595.0,151120.0,147.88,77.11,71.11,2.13,2503.0,,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
58124,JAM,North America,Jamaica,2021-10-27,88530.0,50.0,115.286,2192.0,8.0,9.0,29773.375,16.815,38.772,737.188,2.69,3.0269999999999997,,,,,,,,,,,,,,,,,,,903310.0,583415.0,366349.0,,3966.0,3074.0,30.38,19.62,12.32,,1034.0,,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.7340000000000001,,,,
58990,JEY,Europe,Jersey,2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166909.0,78537.0,74457.0,,,569.0,165.14,77.7,73.67,,5630.0,,101073.0,,,,,,,,,,,,,,,,,,
59594,JOR,Asia,Jordan,2021-10-27,856450.0,1692.0,1488.1429999999998,10983.0,7.0,11.429,83401.321,164.767,144.916,1069.527,0.682,1.113,,,,,,,,,,35920.0,10845863.0,1056.173,3.498,36628.0,3.5669999999999997,0.040999999999999995,24.6,tests performed,7419676.0,3920267.0,3499409.0,,19601.0,17815.0,72.25,38.18,34.08,,1735.0,,10269022.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.7290000000000001,,,,
58769,JPN,Asia,Japan,2021-10-27,1718486.0,321.0,282.57099999999997,18236.0,7.0,10.0,13633.282,2.5469999999999997,2.242,144.672,0.055999999999999994,0.079,,,,,,,,,,56898.0,25139360.0,199.438,0.451,43981.0,0.349,0.006,155.6,people tested,186742406.0,97383346.0,89359060.0,,,574739.0,148.15,77.26,70.89,,4560.0,,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
60188,KAZ,Asia,Kazakhstan,2021-10-27,1013503.0,1847.0,1733.4289999999999,17021.0,30.0,32.429,53356.422,97.236,91.257,896.08,1.579,1.7069999999999999,,,,,,,,,,,,,,,,,,,15605426.0,8212313.0,7393113.0,,54622.0,46266.0,82.16,43.23,38.92,,2436.0,,18994958.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
60789,KEN,Africa,Kenya,2021-10-27,252938.0,99.0,90.0,5266.0,3.0,4.0,4600.069,1.8,1.6369999999999998,95.77,0.055,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
62746,KGZ,Asia,Kyrgyzstan,2021-10-27,180865.0,124.0,108.0,2661.0,3.0,2.8569999999999998,27286.592,18.708,16.294,401.458,0.45299999999999996,0.431,,,,,,,,,,,,,,,,,,,1701405.0,965983.0,733235.0,,12405.0,9155.0,25.67,14.57,11.06,,1381.0,,6628347.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,0.6970000000000001,,,,
19879,KHM,Asia,Cambodia,2021-10-27,118111.0,111.0,130.0,2758.0,7.0,9.286,6969.661999999999,6.55,7.671,162.748,0.413,0.5479999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
60952,KIR,Oceania,Kiribati,2021-10-27,2.0,0.0,0.0,,,0.0,16.476,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
95774,KNA,North America,Saint Kitts and Nevis,2021-10-27,2657.0,20.0,9.714,21.0,0.0,0.0,49620.887,373.51099999999997,181.419,392.186,0.0,0.0,,,,,,,,,,,51438.0,960.632,,229.0,4.277,0.042,23.6,people tested,,,,,,,,,,,,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,,,
106381,KOR,Asia,South Korea,2021-10-27,358412.0,2107.0,1554.714,2808.0,11.0,14.142999999999999,6985.883000000001,41.068000000000005,30.303,54.731,0.214,0.276,,,,,,,,,,48881.0,15628311.0,304.615,0.953,40511.0,0.79,0.038,26.1,people tested,76520101.0,40970884.0,36970850.0,59729.0,343801.0,397255.0,149.15,79.86,72.06,0.12,7743.0,,51305184.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,,,,
62157,KWT,Asia,Kuwait,2021-10-27,412594.0,16.0,24.285999999999998,2461.0,0.0,0.429,95319.15199999999,3.696,5.611000000000001,568.55,0.0,0.099,,,,,,,,,,15882.0,4756962.0,1098.973,3.6689999999999996,17271.0,3.99,0.001,711.2,tests performed,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8059999999999999,,,,
63329,LAO,Asia,Laos,2021-10-27,37751.0,733.0,592.143,59.0,3.0,1.714,5115.7570000000005,99.331,80.243,7.995,0.40700000000000003,0.23199999999999998,,,,,,,,,,,676930.0,91.73299999999999,,3034.0,0.41100000000000003,0.195,5.1,people tested,,,,,,,,,,,,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
64558,LBN,Asia,Lebanon,2021-10-27,639332.0,751.0,555.0,8472.0,7.0,4.857,94447.886,110.944,81.99,1251.56,1.034,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.7440000000000001,,,,
65681,LBR,Africa,Liberia,2021-10-27,5812.0,0.0,0.5710000000000001,287.0,0.0,0.14300000000000002,1121.963,0.0,0.11,55.403,0.0,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
66284,LBY,Africa,Libya,2021-10-27,355490.0,624.0,533.429,5048.0,15.0,14.714,51086.880999999994,89.67399999999999,76.658,725.44,2.156,2.115,,,,,,,,,,4657.0,,,0.669,,,,,samples tested,,,,,,,,,,,,,6958538.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,0.7240000000000001,,,,
96367,LCA,North America,Saint Lucia,2021-10-27,12486.0,21.0,24.714000000000002,253.0,3.0,2.286,67711.13,113.882,134.025,1372.01,16.269000000000002,12.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.759,,,,
66887,LIE,Europe,Liechtenstein,2021-10-27,3652.0,7.0,6.0,61.0,0.0,0.14300000000000002,95467.141,182.987,156.846,1594.604,0.0,3.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
108227,LKA,Asia,Sri Lanka,2021-10-27,538320.0,1119.0,716.429,13674.0,20.0,18.714000000000002,25041.277000000002,52.053000000000004,33.326,636.08,0.93,0.871,,,,,,,,,,5459.0,5450082.0,253.524,0.254,5458.0,0.254,0.131,7.6,tests performed,28413012.0,15147114.0,13265898.0,,150517.0,112176.0,132.17,70.46,61.71,,5218.0,,21497306.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
65091,LSO,Africa,Lesotho,2021-10-27,21600.0,2.0,4.857,657.0,0.0,0.28600000000000003,10004.321,0.9259999999999999,2.25,304.298,0.0,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
67494,LTU,Europe,Lithuania,2021-10-27,396047.0,3622.0,2851.143,5720.0,27.0,29.857,147236.921,1346.537,1059.9589999999998,2126.5029999999997,10.038,11.1,,,,,,,,,,,,,,,,,,,3373316.0,1803928.0,1641648.0,75637.0,,5782.0,125.41,67.06,61.03,2.81,2150.0,,2689862.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
68108,LUX,Europe,Luxembourg,2021-10-27,81363.0,239.0,147.429,843.0,1.0,0.14300000000000002,128168.25099999999,376.48800000000006,232.239,1327.9479999999999,1.575,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634814.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.9159999999999999,,,,
63943,LVA,Europe,Latvia,2021-10-27,208783.0,3206.0,2494.571,3109.0,33.0,23.570999999999998,111832.02,1717.254,1336.1860000000001,1665.297,17.676,12.626,,,,,,,,,,27089.0,4806805.0,2574.705,14.51,19304.0,10.34,0.129,7.7,tests performed,1902383.0,1126328.0,990940.0,,10135.0,10497.0,101.9,60.33,53.08,,5623.0,,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
68368,MAC,Asia,Macao,2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790170.0,451006.0,343230.0,,,5522.0,120.02,68.5,52.13,,8387.0,,658391.0,20546.766,39.2,9.798,4.9910000000000005,104861.851,,,,,,,,84.24,,,,,
77717,MAR,Africa,Morocco,2021-10-27,945201.0,398.0,319.143,14647.0,11.0,9.571,25310.119,10.657,8.546,392.21,0.295,0.256,,,,,,,,,,13670.0,9099199.0,243.65400000000002,0.366,12093.0,0.324,0.026000000000000002,37.9,people tested,,,,,,,,,,,,,37344787.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.6859999999999999,,,,
75658,MCO,Europe,Monaco,2021-10-27,3399.0,0.0,2.4290000000000003,36.0,0.0,0.14300000000000002,86007.085,0.0,61.452,910.931,0.0,3.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
75051,MDA,Europe,Moldova,2021-10-27,332625.0,1826.0,1563.286,7619.0,43.0,39.0,82659.775,453.775,388.48800000000006,1893.378,10.686,9.692,,,,,,,,,,,,,,,,,,,1502791.0,,861156.0,,5330.0,3764.0,37.35,,21.4,,935.0,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
68955,MDG,Africa,Madagascar,2021-10-27,43626.0,0.0,0.5710000000000001,963.0,0.0,0.429,1534.65,0.0,0.02,33.876,0.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
70775,MDV,Asia,Maldives,2021-10-27,87359.0,173.0,134.286,242.0,0.0,0.429,160698.65,318.237,247.021,445.164,0.0,0.7879999999999999,,,,,,,,,,3685.0,1622229.0,2984.123,6.779,3759.0,6.915,0.036000000000000004,28.0,samples tested,,,,,,,,,,,,,543620.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
74172,MEX,North America,Mexico,2021-10-27,3788986.0,4538.0,3032.571,286888.0,392.0,220.143,29087.375,34.836999999999996,23.281,2202.388,3.009,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130262220.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.779,,,,
72324,MHL,Oceania,Marshall Islands,2021-10-27,4.0,0.0,0.0,,,0.0,67.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.7040000000000001,,,,
84827,MKD,Europe,North Macedonia,2021-10-27,200856.0,444.0,385.714,7087.0,15.0,12.714,96442.004,213.18900000000002,185.203,3402.8579999999997,7.202000000000001,6.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
71357,MLI,Africa,Mali,2021-10-27,15924.0,45.0,32.429,561.0,2.0,0.429,763.5310000000001,2.158,1.555,26.899,0.096,0.021,,,,,,,,,,,,,,,,,,,585224.0,322703.0,262521.0,,,38.0,2.81,1.55,1.26,,2.0,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
