,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
7267,AUS,Oceania,Australia,2021-10-27,165904.0,2038.0,1994.5710000000001,1696.0,27.0,15.142999999999999,6433.326,79.028,77.344,65.766,1.047,0.5870000000000001,,,,,,,,,,195412.0,42713804.0,1656.33,7.577999999999999,164244.0,6.369,0.012,82.3,tests performed,35049655.0,18999540.0,16050115.0,,221089.0,222881.0,135.91,73.68,62.24,,8643.0,,25788217.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001,,,,
7878,AUT,Europe,Austria,2021-10-27,809086.0,4261.0,3584.2859999999996,11289.0,10.0,11.429,89470.26,471.189,396.35699999999997,1248.359,1.1059999999999999,1.264,,,,,,,,,,268599.0,95810399.0,10594.895,29.701999999999998,319809.0,35.365,0.011000000000000001,89.2,tests performed,11433892.0,5870359.0,5598322.0,289016.0,29742.0,18964.0,126.44,64.92,61.91,3.2,2097.0,,9043072.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
8484,AZE,Asia,Azerbaijan,2021-10-27,522368.0,2300.0,2073.0,6966.0,27.0,22.429000000000002,51095.61,224.975,202.771,681.382,2.641,2.194,,,,,,,,,,13175.0,5144208.0,503.18300000000005,1.2890000000000001,12484.0,1.2209999999999999,0.166,6.0,tests performed,9469618.0,5119077.0,4350541.0,,44716.0,30307.0,92.63,50.07,42.55,,2964.0,,10223344.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999,,,,
19239,BDI,Africa,Burundi,2021-10-27,19988.0,34.0,24.143,38.0,0.0,0.0,1630.951,2.7739999999999996,1.97,3.1010000000000004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
12121,BEL,Europe,Belgium,2021-10-27,1342718.0,8771.0,6182.714,25946.0,32.0,18.570999999999998,115429.80099999999,754.0189999999999,531.511,2230.507,2.7510000000000003,1.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999,,,,
13296,BEN,Africa,Benin,2021-10-27,24749.0,71.0,27.0,161.0,0.0,0.0,1987.707,5.702000000000001,2.168,12.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
14925,BES,North America,Bonaire Sint Eustatius and Saba,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35845.0,19109.0,16736.0,,,196.0,135.55,72.26,63.29,,7412.0,,26445.0,,,,,,,,,,,,,77.79,,,,,
18663,BFA,Africa,Burkina Faso,2021-10-27,14793.0,0.0,0.0,214.0,0.0,0.0,688.1389999999999,0.0,0.0,9.955,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
10291,BGD,Asia,Bangladesh,2021-10-27,1568563.0,306.0,271.286,27841.0,7.0,7.143,9431.931,1.84,1.631,167.41099999999997,0.042,0.043,,,,,,,,,,17283.0,10183849.0,61.236999999999995,0.10400000000000001,17283.0,0.10400000000000001,0.016,63.7,tests performed,,,,,,,,,,,,,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
18066,BGR,Europe,Bulgaria,2021-10-27,587765.0,5643.0,4669.714,23594.0,154.0,125.0,85224.649,818.2230000000001,677.0980000000001,3421.079,22.33,18.125,,,,,,,,,,,5419897.0,785.873,,33422.0,4.846,0.14,7.2,tests performed,2800965.0,,1479038.0,,25410.0,20528.0,40.61,,21.45,,2977.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
9687,BHR,Asia,Bahrain,2021-10-27,276685.0,50.0,49.857,1393.0,0.0,0.14300000000000002,158259.905,28.599,28.518,796.7760000000001,0.0,0.08199999999999999,,,,,,,,,,15553.0,6856151.0,3921.6209999999996,8.896,15554.0,8.897,0.003,312.0,units unclear,2754752.0,1174447.0,1139199.0,,4113.0,4470.0,157.57,67.18,65.16,,2557.0,,1748295.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
