"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"110",5.184,18742,100,0.31,10.69,11.58,17.27,0.71,2.61,422.60583
"111",23.549,33239,12.2,NA,NA,NA,NA,NA,NA,146.10959
"112",2.85,70093,3.1,NA,NA,NA,NA,NA,NA,35.789703
"113",5.506,84764,2.2,NA,NA,NA,NA,NA,NA,155.4747
"114",51.649,19615,100,NA,NA,26.34,NA,0.57,3.6,887.98853
"115",235.576,27260,97,NA,NA,NA,NA,NA,NA,104.14493
"116",30.599,50534,26.6,NA,NA,NA,NA,NA,NA,89.383614
"117",614.17,27476,51.8,NA,NA,NA,NA,NA,NA,470.90369
"118",0.782,59322,NA,NA,NA,NA,NA,NA,NA,5.6810246
"119",186.049,30862,23.6,NA,NA,NA,NA,NA,NA,264.27051
"120",1038.977,26911,64.4,NA,NA,NA,NA,NA,NA,207.45259
"121",64.363,41446,82,NA,NA,NA,NA,NA,NA,172.83017
"122",121.94,25415,97.5,1.78,9.72,7.69,15.71,0.54,6.62,396.16248
"123",232.526,19815,100,0.36,5.44,NA,10.78,0.73,3.39,735.89484
"124",79.832,22923,100,NA,NA,NA,NA,NA,NA,242.92445
"125",341.725,28496,94.3,NA,NA,NA,NA,NA,NA,232.00484
"126",182.198,39906,88,NA,NA,NA,NA,NA,8.05,515.22107
"127",2.702,54160,91,NA,NA,NA,NA,NA,NA,37.179249
"128",1237.551,NA,NA,NA,NA,NA,NA,NA,NA,673.5119
"129",68.443,NA,2.1,NA,NA,NA,NA,NA,NA,35.996059
"130",153.071,27174,NA,NA,NA,NA,NA,NA,NA,467.57504
"131",19.231,53970,20.1,NA,NA,NA,NA,NA,NA,42.894653
"132",117.274,28151,92.1,NA,NA,NA,NA,NA,NA,537.25604
"133",9.277,117683,0,NA,NA,NA,NA,NA,NA,98.019753
"134",4.786,14354,100,NA,NA,NA,NA,NA,NA,1161.4761
"135",32.237,25991,94.8,NA,NA,NA,NA,NA,5.82,380.29736
"136",92.355,21200,100,0.05,1.45,NA,12.58,0.62,4.5,342.3797
"137",6.544,89247,NA,NA,NA,NA,NA,NA,NA,NA
"138",321.251,67514,100,NA,NA,NA,NA,NA,2.32,83.637741
"139",8.992,17921,100,NA,NA,NA,NA,NA,NA,940.44543
"140",5.003,80319,NA,NA,NA,NA,NA,NA,NA,43.657784
"141",754.96,16984,99.2,0.57,6.7,6.24,7.38,0.96,2.97,771.09918
"142",0.887,28527,100,NA,NA,NA,NA,NA,NA,135.6982
"143",19.088,59210,29.7,NA,NA,NA,NA,NA,NA,175.13531
"144",189.215,29901,NA,NA,NA,NA,NA,NA,NA,103.195
"145",585.983,18308,100,NA,NA,19.73,NA,0.66,2.22,804.94183
"146",222.887,17679,100,NA,NA,NA,NA,0.82,4.53,2149.3345
"147",15.714,43178,90,NA,NA,NA,NA,NA,NA,85.753609
"148",8.493,42752,0.3,NA,NA,NA,NA,NA,NA,121.52
"149",0.352,63043,13,NA,NA,NA,NA,NA,NA,25.233082
"150",0.845,28993,98,NA,NA,NA,NA,NA,NA,75.361549
"151",6.523,71808,4,NA,NA,NA,NA,NA,NA,48.73756
"152",75.742,38360,NA,NA,NA,NA,NA,NA,NA,822.86584
"153",83.174,26814,80,NA,NA,NA,NA,NA,NA,307.94397
"154",117.976,29027,86,0.67,7.33,NA,11.57,0.44,2.81,168.79961
"155",2.252,74116,2,NA,NA,NA,NA,NA,NA,56.105515
"156",150.685,35121,100,NA,NA,NA,NA,NA,NA,224.43942
"157",48.734,25546,100,NA,NA,NA,NA,NA,NA,431.54056
"158",668.253,20376,100,NA,NA,NA,NA,0.82,2.54,613.17255
"159",684.958,22775,84,0.47,3.72,17.49,4.25,0.39,2.77,1056.9528
"160",15.545,24820,97.2,NA,NA,NA,NA,NA,NA,282.98938
"161",16.642,40253,100,NA,NA,NA,NA,NA,NA,163.58907
"162",27.43,29410,100,NA,NA,NA,NA,NA,NA,265.49927
"163",0.36,29226,61,NA,NA,NA,NA,NA,NA,145.36028
"164",20.117,55241,42,NA,NA,NA,NA,NA,NA,116.98312
"165",18.93,76189,8.4,NA,NA,NA,NA,NA,NA,55.894348
"166",16.282,72784,1,NA,NA,NA,NA,NA,NA,47.00177
"167",237.838,22380,100,0.98,8.87,11.54,15.2,0.89,6.63,366.23938
