"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
602.28998,"3",53.42883,14033.5656,3923.824387,3.05,5.3,10.9,68.5,20.6,563.57,19.038,-0.000408281761786743
883.596797392496,"4",32.6959118719485,32195.4889487435,11.0124686694157,12.4257664260783,1.28038435796861,37.0711075226607,51.4343689170843,11.4945215467732,815.047525594609,11.5194883332103,-0.00304148795943514
569.5,"3",41.2841,18444.2602,39.325611,7.95,7.20956041843966,27.3850866893738,43.6084287158547,28.9987704369729,478.49,16.1986646518217,-0.00118898081579454
83.839996,"1",35.30123,1589.6242,1447.456556,1.64,84,36.2,27.9,35.9,83.83,19.1677576474444,-2.8855152884456e-05
54.34,"1",38.62482,651.3589,2221.84917,1.54,80.8,23.1,28.9,48,47.74,18.9652479138227,-2.75382381749475e-05
161.66,"2",46.64087,2888.0459,1303.062921,2.35,46,23.6,30.7,45.7,160.24,18.9233627147621,-0.000111218656837429
1745.0699,"4",33.30821,44868.7435,342.250511033119,23.48,5.6090130654906,25.8625437349595,50.7751689887948,23.350731137203,1700.77,13.688,-0.000354490159334492
243.34,"2",42.38109,6831.216,5.446749,4.31131804442503,19.0860541214115,30.6207631621003,31.9353336014492,37.4435699655904,243.33,15.0560032535816,-0.00091779331372573
73.720001,"1",56.23661,623.4889,1545.000105,1.72,77.6,24.1,24.1,51.8,73.72,24.4419899787841,-0.000472896143442977
98.139999,"1",43.32121,2046.3631,1244.815163,2.24,87.1,31.4,23.9,44.7,98.14,21.3082673585673,-0.00037478800440595
727.16998,"4",44.44094,22104.7654,54.862785,7.17,7.18164851969128,16.8504663950423,62.4314768399457,20.6697707929553,720.4,17.4558195440969,-0.000712185920304121
332.12,"3",43.9782034789869,13101.7064,3294.700605,1.78,5.2,31,34.7,34.4,287.7,25.015,2.21573487824284e-06
431.25,"3",51.33497,13545.0495,814.191192,5.42,5.4,31.8,33.5,34.7,450.73,19.592,-0.000306246786847009
180.10001,"1",45.33459,1724.4206,20.18085,3.89,36,28.7,25,46.3,246.86,15.1519229211205,-0.00165451026538869
117.42,"2",48.93867,5714.5917,438.7074065,2.75,39.7,9.9,33.4,56.7,117.41,18.2667198610297,-0.000122178113069153
731.75,"3",48.18792,14686.2539,19.59831,7.04,6.48075269324691,18.6456296974316,52.3734751500051,28.9501113779151,676.06,19.9382080702895,-0.000758267877507305
116.93,"2",41.4748,3713.6436,1331.420136,2.41,58.7,34.5,29.6,35.9,119.31,19.0622643950091,-5.26547634620554e-05
569.42999,"3",29.72947,22012.3147,16.839567,9.62,1.0329803100829,29.7809397018329,51.670400884708,18.5606750953571,524.49,11.0605982598352,-0.00285721437341425
