"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000"
"26",3.205,89.96324,3567793,7.3630174,5.4645982,5.6,4.741,83.839996,"1",35.30123,1589.6242,1.64,83.83,13.89,"0","2",28.69,70891,1,96.10067087,42.9,0,0,0,2.3199995244001,34.698746,1.0803e+11,115.59,61.577,21497097,83.45300361,3793.135082
"27",0.084,97.167,4895650,4.2383366,4.0934194,5.4,3.775,54.34,"1",38.62482,651.3589,1.54,47.74,15.74,"1","1",14.29,80027,28.4,63.73553919,40.4,0,0,0,0,12.152169,4.981e+10,86.61,61.584,12255429,49.78083462,2514.348107
"28",16.048,66.43285,10458211,6.5496373,6.8660443,11.4,5.241,161.66,"2",46.64087,2888.0459,2.35,160.24,30.56,"0","0",39.29,77369,2,162.8401984,44.4,0,0,0,1.52127977691953,113.57147,9.525e+10,78.71,59.292,27224262,87.75274912,3976.91518
"29",264.982,0.4973831,35776913,6.2295715,4.7614839,29.4,7.025,1745.0699,"4",33.30821,44868.7435,23.48,1700.77,60.65,"1","1",62.5,18838,100,4600.088285,87.6,19.67,11.6,2.93,2.5,670.91956,9331603443.96977,5.81,82.434,38067913,55.89592523,1019.852305
"30",169.068,32.42308,384763,9.0616702,8.0251263,11.8,5.09556656126673,243.34,"2",42.38109,6831.216,3.90047535568062,243.33,59.26,"1","2",57.26,31195,48.290503335719,310.4060324,61.7,23.6162308232719,12.4527654136775,4.12864984568437,2.75786556273273,71.923409,36410162522.4452,23.31,72.981,561901,96.92898273,2357.581574
"31",12.837,93.04771,991050,7.9801102,7.6084099,7.5,3.476,73.720001,"1",56.23661,623.4889,1.72,73.72,24.07,"0","0",28.45,97115,6,31.85577603,28.6,0,0,0,0,12.615376,2.319e+10,131.1,53.283,4919987,133.3061224,5851.306122
"32",5.844,83.21726,1695139,7.893766,6.1519716,6.1,4.251,98.139999,"1",43.32121,2046.3631,2.24,98.14,25,"0","1",32.98,94563,13.115509904127,99.77119413,37.7,0,0,0,0.699999909000012,56.241741,2.234e+10,122.75,54.239,16914985,135.8766118,7924.570777
"33",733.723,1.807866,17602817,10.1604348,10.825427,28,6.151,727.16998,"4",44.44094,22104.7654,7.17,720.4,59.72,"1","0",69.7,21333,93.1,1903.118645,76,19.48,2.99,2.62,2.11,613.57904,3.4e+08,7.88,80.181,19212362,47.70448227,982.8727982
"34",3.293,17.94347,1048983300,9.8981826,7.6439389,6.2,5.771,332.12,"3",36.7402801790105,13101.7064,1.78,287.7,79.17,"1","2",75.89,24811,96.9,762.2437789,74.2,40.3435245530021,13.6251776701694,4.58019834125332,4.34,246.86253,7.943e+10,13.16,76.912,1444216102,202.2828099,4470.598062
"35",600.693,22.39919,39113473,8.3281758,8.7073733,22.3,5.709,431.25,"3",51.33497,13545.0495,5.42,450.73,41.67,"1","2",53.57,27188,87.7,852.8121654,67.8,28.7748910771045,14.5347548775904,4.68281776425955,1.71,156.01645,4.45e+09,15.61,77.287,51265841,15.55703065,399.1229509
