"","Entity","Indoor (10 to 14 years)","Indoor (15 to 19 years)","Indoor (20 to 24 years)","Indoor (25 to 29 years)","Indoor (30 to 34 years)","Indoor (35 to 39 years)","Indoor (40 to 44 years)","Indoor (45 to 49 years)","Indoor (5 to 9 years)","Indoor (50 to 54 years)","Indoor (55 to 59 years)","Indoor (60 to 64 years)","Indoor (65 to 69 years)","Indoor (70 to 74 years)","Indoor (75 to 79 years)","Indoor (80+ years)","Indoor (Under-5s)","Outdoor (10 to 14 years)","Outdoor (15 to 19 years)","Outdoor (20 to 24 years)","Outdoor (25 to 29 years)","Outdoor (30 to 34 years)","Outdoor (35 to 39 years)","Outdoor (40 to 44 years)","Outdoor (45 to 49 years)","Outdoor (5 to 9 years)","Outdoor (50 to 54 years)","Outdoor (55 to 59 years)","Outdoor (60 to 64 years)","Outdoor (65 to 69 years)","Outdoor (70 to 74 years)","Outdoor (75 to 79 years)","Outdoor (80+ years)","Outdoor (Under-5s)","Excess mortality from air pollution (all sources)","Excess mortality from fossil fuels","Excess mortality from all anthropogenic pollution","Total Years Life Lost from air pollution (all sources)","Total Years Life Lost from fossil fuels","Total Years Life Lost from all anthropogenic pollution","Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)","Deaths from fossil pollution as a share of total air pollution deaths","Deaths from fossil pollution as a share of total anthropogenic air pollution deaths","Deaths from anthropogenic pollution as a share of total air pollution deaths"
"39","Central Asia",56,42,47,196,282,384,558,837,100,1390,1728,2033,1661,1673,2525,4521,1702,119,99,109,536,776,1035,1539,2322,209,3909,4951,5881,4778,4686,7180,12696,3983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Central Europe",4,6,7,40,68,135,255,485,4,795,1330,2120,2520,2510,3339,7745,66,10,15,19,111,219,464,924,1747,10,2980,5367,8619,10164,10092,13391,36616,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Central Sub-Saharan Africa",449,363,425,720,947,1185,1617,2395,682,3092,4161,5508,6639,7337,6501,7360,20079,288,234,276,502,669,852,1167,1729,431,2213,2945,3890,4659,5161,4537,5220,13070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Chad",89,65,81,125,142,174,211,284,200,403,503,679,763,886,799,999,5921,65,47,60,96,109,135,163,219,145,305,379,510,572,665,593,740,4379,19073,584,1950,1112372,27365,93557,135.8766118,4.160433141,13.89185723,7924.570777,194.9490632,666.502814,3.061919992,29.94871795,10.22387668
"43","Chile",0,0,0,1,2,4,7,13,0,20,28,38,49,59,67,259,2,1,1,1,13,22,36,66,124,1,198,269,365,471,574,631,2213,14,8562,1282,2826,176406,25743,57558,47.70448227,7.142857541,15.74548784,982.8727982,143.4310309,320.6931313,14.97313712,45.36447275,33.00630694
"44","China",149,110,138,2712,3555,4855,10668,21030,266,29660,35902,64584,78323,81571,89257,179056,3261,193,159,216,4934,6286,8146,18402,37199,351,53945,65760,118367,142355,151056,171006,361663,4710,2799443,1554096,2203704,61869738,34008747,48525631,202.2828099,112.2962338,159.2357613,4470.598062,2457.41203,3506.376444,55.51447199,70.52199388,78.71937382
"45","Colombia",7,6,7,23,31,41,58,103,7,170,227,317,408,478,511,1418,79,10,10,11,52,72,97,145,265,11,439,592,833,1085,1285,1369,3703,135,7503,3726,4539,192493,94166,114756,15.55703065,7.725642569,9.411350408,399.1229509,195.2476807,237.9398386,49.66013595,82.08856576,60.49580168
"46","Comoros",3,3,3,5,6,8,11,15,5,19,24,30,29,33,33,40,68,1,1,1,3,3,4,6,8,2,10,13,15,15,16,16,20,27,266,13,83,12814,639,4119,33.75634518,1.649746193,10.53299492,1626.142132,81.09137056,522.715736,4.887218045,15.6626506,31.20300752
"47","Congo",11,9,11,21,31,43,62,85,15,107,140,185,228,264,253,326,331,9,7,9,19,28,40,58,80,12,101,132,175,217,253,240,311,292,2042,46,967,76372,1655,36027,44.1991342,0.995670996,20.93073593,1653.073593,35.82251082,779.8051948,2.252693438,4.756980352,47.35553379
"48","Costa Rica",0,0,0,1,1,2,2,4,0,7,9,10,12,15,17,54,1,0,0,0,4,6,9,14,26,0,43,60,66,82,96,111,327,5,1502,371,548,34811,8339,12462,31.23960067,7.716306156,11.39767055,724.0224626,173.4400998,259.1930116,24.70039947,67.70072993,36.48468708
"49","Cote d'Ivoire",90,103,137,252,307,400,535,746,164,1014,1177,1397,1616,1714,1361,1262,3540,65,76,102,201,248,326,437,617,118,825,953,1135,1307,1387,1086,1004,2628,25297,84,6001,1146355,2965,252298,111.4307011,0.37001142,26.43379205,5049.576685,13.06052215,1111.34692,0.332055184,1.399766706,23.7221805
"50","Croatia",0,0,0,0,1,2,5,10,0,20,33,49,67,72,115,303,0,0,0,0,2,5,10,24,47,0,95,159,239,334,369,597,1649,1,7436,4512,5402,135918,82341,98612,175.3773585,106.4150943,127.4056604,3205.613208,1942.004717,2325.754717,60.67778375,83.52462051,72.64658419
"51","Cuba",0,0,0,1,1,1,4,9,0,18,21,33,40,45,52,145,1,0,1,1,7,12,20,57,133,0,255,307,477,590,679,790,2109,9,8639,1728,2629,180346,35648,54346,75.84723442,15.17120281,23.08165057,1583.371378,312.976295,477.1378402,20.00231508,65.72841385,30.43176294
"52","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,1,2,3,6,0,10,14,23,29,39,51,182,0,1165,356,470,21349,6493,8577,100,30.55793991,40.34334764,1832.532189,557.3390558,736.223176,30.55793991,75.74468085,40.34334764
"53","Czech Republic",0,0,0,0,0,1,2,3,0,6,11,22,34,35,32,114,0,0,1,1,4,8,21,46,79,0,149,271,531,830,881,835,3054,3,16941,11534,16509,318065,216295,309937,160.6848146,109.3996016,156.5873091,3016.835815,2051.550792,2939.742009,68.08334809,69.86492216,97.44997344
"54","Democratic Republic of Congo",346,278,324,540,701,861,1168,1762,540,2274,3093,4095,5075,5633,4963,5631,15506,208,168,197,349,457,569,769,1160,322,1478,1988,2619,3239,3594,3123,3558,9529,46546,1274,18745,2329251,57326,912142,60.24046254,1.648828026,24.26003245,3014.548138,74.1920843,1180.506509,2.7370773,6.796479061,40.271989
"55","Denmark",0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,11,0,0,0,0,1,1,3,8,19,0,40,63,102,182,248,301,970,0,6194,2499,4218,111607,44887,75858,109.2608926,44.08184865,74.40465691,1968.724643,791.7974951,1338.119598,40.34549564,59.24608819,68.09815951
"56","Djibouti",1,1,1,2,3,4,5,7,2,9,11,13,16,18,18,22,51,2,2,3,6,6,9,12,18,3,23,27,31,40,45,43,55,111,870,50,94,31769,1656,3106,97.97297297,5.630630631,10.58558559,3577.59009,186.4864865,349.7747748,5.747126437,53.19148936,10.8045977
"57","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,3,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Dominican Republic",2,1,1,5,8,11,17,26,3,38,48,61,69,75,87,261,32,5,3,3,18,28,41,65,104,7,153,195,250,284,312,362,1069,90,4765,620,784,127609,16397,20750,45.26025836,5.889057751,7.446808511,1212.091565,155.7465805,197.093465,13.0115425,79.08163265,16.45330535
"59","East Asia",163,127,157,2904,3863,5262,11670,22875,289,31852,39376,67631,82929,88199,96164,187635,4222,201,171,229,5087,6548,8526,19213,38646,365,55751,68518,121092,146095,156470,176917,372257,5259,3112131,1698062,2403201,67395901,36604795,52124175,195.8663601,106.8699303,151.2488492,4241.65622,2303.774474,3280.508574,54.56267747,70.65834277,77.22043192
"60","Eastern Europe",1,1,3,28,58,87,132,189,1,376,578,864,820,879,1533,2398,14,13,18,47,620,1348,2021,3228,4676,18,9450,15056,21407,21927,18716,38493,61034,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
