"","Entity","Indoor (10 to 14 years)","Indoor (15 to 19 years)","Indoor (20 to 24 years)","Indoor (25 to 29 years)","Indoor (30 to 34 years)","Indoor (35 to 39 years)","Indoor (40 to 44 years)","Indoor (45 to 49 years)","Indoor (5 to 9 years)","Indoor (50 to 54 years)","Indoor (55 to 59 years)","Indoor (60 to 64 years)","Indoor (65 to 69 years)","Indoor (70 to 74 years)","Indoor (75 to 79 years)","Indoor (80+ years)","Indoor (Under-5s)","Outdoor (10 to 14 years)","Outdoor (15 to 19 years)","Outdoor (20 to 24 years)","Outdoor (25 to 29 years)","Outdoor (30 to 34 years)","Outdoor (35 to 39 years)","Outdoor (40 to 44 years)","Outdoor (45 to 49 years)","Outdoor (5 to 9 years)","Outdoor (50 to 54 years)","Outdoor (55 to 59 years)","Outdoor (60 to 64 years)","Outdoor (65 to 69 years)","Outdoor (70 to 74 years)","Outdoor (75 to 79 years)","Outdoor (80+ years)","Outdoor (Under-5s)","Excess mortality from air pollution (all sources)","Excess mortality from fossil fuels","Excess mortality from all anthropogenic pollution","Total Years Life Lost from air pollution (all sources)","Total Years Life Lost from fossil fuels","Total Years Life Lost from all anthropogenic pollution","Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)","Deaths from fossil pollution as a share of total air pollution deaths","Deaths from fossil pollution as a share of total anthropogenic air pollution deaths","Deaths from anthropogenic pollution as a share of total air pollution deaths"
"160","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,15,24,37,1,38,37,31,18,19,28,25,3,680,80,95,23740,2830,3350,30.42505593,3.579418345,4.250559284,1062.192394,126.6219239,149.8881432,11.76470588,84.21052632,13.97058824
"161","Romania",2,3,3,10,17,36,70,141,2,184,307,483,570,599,857,1955,35,4,6,6,26,46,101,205,422,4,556,936,1499,1807,1964,2808,6862,76,35895,22879,29462,729676,464731,598705,183.9731434,117.2620573,151.0019989,3739.818564,2381.892266,3068.551074,63.73868227,77.65596361,82.07828388
"162","Russia",0,0,1,9,18,26,37,51,0,99,159,211,219,145,341,498,5,10,14,36,442,960,1421,2238,3187,13,6422,10389,14062,14957,10265,24211,37663,207,186086,113708,151680,4320968,2638562,3521172,129.715501,79.26276124,105.732012,3012.02954,1839.269971,2454.513451,61.10508045,74.9657173,81.51069935
"163","Rwanda",54,41,47,84,102,104,125,159,83,262,342,452,498,563,450,921,1830,33,24,28,54,65,66,80,101,50,166,215,283,313,353,279,576,1125,4935,254,2287,200408,9853,92728,42.50646361,2.187769353,19.69853744,1726.167246,84.86650171,798.6908526,5.146909828,11.10625273,46.34245187
"164","Saint Lucia",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,2,0,3,3,4,5,5,6,14,0,129,6,10,3513,202,302,69.72972973,3.243243243,5.405405405,1898.918919,109.1891892,163.2432432,4.651162791,60,7.751937984
"165","Saint Vincent and the Grenadines",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,2,3,4,4,4,5,11,0,90,4,7,2524,118,206,82.56880734,3.669724771,6.422018349,2315.59633,108.2568807,188.9908257,4.444444444,57.14285714,7.777777778
"166","Samoa",0,0,0,1,1,2,3,4,0,6,7,8,7,8,9,18,2,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,34,1,-1,911,41,-9,17.61658031,0.518134715,-0.518134715,472.0207254,21.24352332,-4.663212435,2.941176471,-100,-2.941176471
"167","Sao Tome and Principe",0,1,1,1,1,2,2,3,1,4,5,5,6,7,12,24,10,0,0,0,1,1,1,1,2,0,2,3,3,3,4,6,13,4,80,3,31,3197,106,1288,42.10526316,1.578947368,16.31578947,1682.631579,55.78947368,677.8947368,3.75,9.677419355,38.75
"168","Saudi Arabia",0,0,0,1,1,2,3,5,0,6,6,13,11,11,10,24,0,13,16,21,89,130,218,419,631,20,823,832,1677,1341,1268,1165,2637,21,21720,1944,2471,576908,50350,64054,68.8649356,6.163601971,7.834496127,1829.13132,159.6385593,203.0881485,8.950276243,78.67260219,11.37661142
"169","Scotland",0,0,0,0,0,0,1,1,0,3,4,6,10,12,15,49,0,0,0,0,2,4,7,19,37,0,64,91,138,224,268,343,1078,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Senegal",46,45,59,111,137,177,239,319,81,435,502,618,731,864,811,917,1407,36,35,47,93,115,152,204,275,63,368,423,524,615,731,680,767,1124,13060,438,1217,486729,13769,38760,86.32427788,2.895102122,8.044153612,3217.192148,91.01064181,256.1967083,3.353751914,35.99013969,9.318529862
"171","Serbia",1,1,1,7,13,26,50,94,0,154,234,406,539,525,631,1342,5,1,1,1,10,18,36,71,132,0,213,324,575,788,800,974,2229,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Serbia and Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15887,9561,11085,319020,191749,222357,167.637438,100.8863564,116.9673947,3366.255144,2023.309064,2346.280469,60.18128029,86.25169147,69.77402908
"173","Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,3,2,3,3,10,0,61,7,15,1691,196,429,63.54166667,7.291666667,15.625,1761.458333,204.1666667,446.875,11.47540984,46.66666667,24.59016393
"174","Sierra Leone",32,31,43,82,103,129,164,215,79,293,347,424,515,533,387,269,1880,17,16,23,47,60,76,97,127,41,171,200,244,295,305,218,152,996,8969,144,1730,412656,5770,70858,138.9896172,2.231520223,26.80923601,6394.793119,89.41577561,1098.062916,1.605530159,8.323699422,19.28866094
"175","Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,8,17,33,0,60,94,129,122,170,191,567,2,3138,1095,2096,67255,23380,44854,55.99571734,19.53961456,37.40185582,1200.124911,417.2019986,800.3925767,34.89483748,52.24236641,66.79413639
"176","Slovakia",0,0,0,0,1,1,2,4,0,8,14,22,23,26,29,85,0,0,1,1,4,8,19,36,63,1,121,220,363,397,444,501,1490,5,7724,5378,7135,162683,113144,150234,142.3516403,99.11537044,131.4964983,2998.212311,2085.219314,2768.779948,69.6271362,75.3749124,92.3744174
"177","Slovenia",0,0,0,0,0,0,1,2,0,3,5,8,9,11,15,65,0,0,0,0,0,1,2,5,11,0,21,38,63,67,90,122,527,0,2659,1736,2112,47560,31008,37742,128.5783366,83.94584139,102.1276596,2299.806576,1499.419729,1825.048356,65.28770214,82.1969697,79.42835653
"178","Solomon Islands",1,2,3,13,19,29,42,45,2,52,55,55,58,60,48,57,29,0,0,0,3,5,8,12,13,0,14,15,14,15,15,11,14,4,100,14,13,3304,457,435,17.12328767,2.397260274,2.226027397,565.7534247,78.25342466,74.48630137,14,107.6923077,13
"179","Somalia",92,64,76,122,148,189,280,383,146,492,616,788,890,934,880,893,2925,33,23,27,51,64,83,124,173,52,218,270,340,382,396,364,371,1063,8456,646,1557,535544,38356,95675,78.39065542,5.98869009,14.43404098,4964.716789,355.5761565,886.9472513,7.639545885,41.49004496,18.41296121
"180","South Africa",75,21,64,138,176,190,209,266,102,392,485,702,591,661,554,1723,584,175,45,151,349,476,533,660,906,231,1370,1719,2397,2105,2235,1831,5077,1317,40627,14802,30723,1207805,438839,912854,74.55863598,27.16461786,56.38282357,2216.562713,805.356961,1675.268887,36.43389864,48.17888878,75.62212322
"181","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206912,37847,114587,5340038,963276,2930492,41.52566146,7.595604456,22.99673759,1071.704928,193.3221518,588.1274102,18.29135091,33.02905216,55.37958166
"182","South and Southeast Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2808694,942806,1660289,83601522,26524267,47719231,119.3944585,40.07763461,70.57703906,3553.807731,1127.517094,2028.491444,33.56741603,56.78565599,59.11249143
"183","South Asia",1555,1454,1373,8705,14152,20327,28394,41915,2926,60607,81571,112283,127271,135418,121523,187865,70194,1700,1622,1559,12069,19456,28097,39759,58987,3209,85762,116038,155232,174332,184802,168537,261709,79390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","South Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,23,50,101,203,361,1,572,783,977,1411,2160,2890,8069,10,58905,31180,42904,1180077,621370,856998,117.1236531,61.99669811,85.30809287,2346.404025,1235.499946,1704.010465,52.93268823,72.67387656,72.83592225
"185","South Sudan",84,57,69,111,129,160,236,335,110,436,547,668,854,1073,987,1050,5689,45,31,38,64,75,94,138,196,59,251,314,379,486,608,553,590,3094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Southeast Asia",453,412,531,2152,3232,4741,6760,10248,660,14544,18712,22058,23346,23768,23996,47443,12110,320,303,398,2326,3645,5508,8164,12477,438,17592,22524,26335,27863,28459,28559,56528,8030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Southern Latin America",1,2,2,6,10,15,24,39,1,66,96,135,170,200,225,840,10,6,13,15,74,112,180,297,491,6,820,1203,1696,2154,2530,2773,9550,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Southern Sub-Saharan Africa",140,104,182,362,450,501,532,639,204,891,1106,1616,1513,1751,1689,3602,2519,211,93,219,491,655,743,889,1181,286,1737,2175,3073,2796,3048,2662,6395,2408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Spain",0,0,0,0,1,2,4,9,0,14,19,23,32,40,52,326,0,0,0,1,10,22,51,108,213,0,337,457,558,816,1086,1428,9078,3,48429,14504,21396,779593,231864,342618,105.0019559,31.44703315,46.39001112,1690.284536,502.7188978,742.8515998,29.9489975,67.78837166,44.18014
"190","Sri Lanka",8,7,10,37,56,106,155,273,11,448,600,765,1149,1310,896,1843,32,6,5,7,33,52,99,152,271,7,444,596,758,1143,1303,878,1773,23,18337,2911,7922,451399,70761,193741,88.52039158,14.0526182,38.24281737,2179.09234,341.593032,935.2690835,15.87500682,36.74577127,43.20226864
"191","Sub-Saharan Africa",3985,3163,3973,6735,8148,10035,13276,18093,7357,23763,30000,39057,46754,53032,47985,59021,147218,2768,2120,2755,5003,6113,7568,9952,13737,5473,18122,22562,29352,34669,39312,34676,44230,101418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Sudan",64,43,47,287,388,562,753,999,108,1223,1406,1680,1850,1886,1693,2444,2175,62,42,46,306,415,608,829,1107,106,1347,1550,1851,2056,2109,1878,2695,2212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Sudan and South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63860,2937,5687,2668148,104745,207862,121.4645767,5.586305384,10.8169284,5074.936854,199.2296757,395.3628225,4.599123082,51.64410058,8.905418102
"194","Suriname",0,0,0,0,1,1,2,3,0,5,6,6,7,7,8,16,2,0,0,0,1,2,3,5,9,0,15,18,20,21,23,23,47,5,344,10,54,9313,285,1481,63.35174954,1.841620626,9.944751381,1715.101289,52.48618785,272.7440147,2.906976744,18.51851852,15.69767442
"195","Swaziland",2,3,5,8,9,9,11,15,4,21,27,42,48,51,47,55,98,2,2,4,7,8,8,10,15,3,21,27,43,50,54,49,57,78,864,233,589,31106,8200,21219,67.13286713,18.1041181,45.76534577,2416.938617,637.1406371,1648.717949,26.96759259,39.55857385,68.1712963
"196","Sweden",0,0,0,0,0,0,1,1,0,3,4,7,14,18,20,87,0,0,0,0,1,1,2,5,13,0,23,37,63,120,162,191,855,0,8233,4092,6909,128690,63894,107928,84.19060393,41.84476512,70.65138862,1315.983095,653.3796244,1103.671019,49.7024171,59.22709509,83.91837726
"197","Switzerland",0,0,0,0,0,0,0,1,0,2,3,4,6,8,9,46,0,0,0,0,1,2,4,11,25,0,48,70,95,151,204,253,1325,1,8570,5645,7506,137692,90588,120531,103.2654537,68.0202434,90.44463188,1659.139655,1091.553199,1452.355706,65.86931155,75.20650147,87.58459743
"198","Syria",0,0,0,0,0,1,1,1,0,1,1,2,2,2,2,3,0,12,14,11,128,158,199,248,361,17,502,627,782,760,790,789,1415,93,13516,3240,3610,372763,88182,98348,73.05155804,17.51161942,19.51140312,2014.717219,476.6079085,531.5533169,23.97158923,89.75069252,26.70908553
"199","Taiwan",0,0,0,2,4,9,13,21,0,32,43,61,56,76,102,373,1,1,2,3,19,53,112,166,280,2,424,560,804,750,1029,1370,5065,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Tajikistan",26,16,16,38,44,53,76,116,45,186,219,240,182,203,255,466,620,37,22,23,59,70,86,126,197,63,320,382,421,324,371,466,868,911,5023,780,1256,182718,26909,44046,59.2195237,9.195944353,14.80782834,2154.185334,317.2482905,519.2879038,15.52856858,62.10191083,25.00497711
"201","Tanzania",292,196,228,376,443,560,764,1058,470,1352,1765,2283,2910,3330,3337,4423,9236,110,74,87,170,201,260,360,512,175,646,836,1068,1361,1537,1509,1998,3540,17222,924,7751,730296,39364,332260,32.20871276,1.728071687,14.49597797,1365.805022,73.61884619,621.3951284,5.365230519,11.92104245,45.00638718
"202","Thailand",6,10,13,47,86,161,241,355,5,493,597,763,844,963,1140,2898,26,14,23,30,142,268,496,778,1154,10,1579,1890,2389,2660,3025,3532,8640,65,80456,25277,52293,1961569,613089,1269776,118.3890252,37.19448382,76.94786336,2886.400539,902.1453847,1868.444154,31.41717212,48.33725355,64.99577409
"203","Timor",3,1,2,5,7,7,12,19,4,28,35,36,98,97,65,85,92,1,0,1,3,3,3,6,9,1,13,16,16,44,43,29,37,31,505,11,148,20052,437,5990,42.61603376,0.928270042,12.48945148,1692.151899,36.87763713,505.4852321,2.178217822,7.432432432,29.30693069
"204","Togo",23,30,43,84,108,135,175,230,39,296,341,422,508,543,441,412,762,18,23,33,69,88,111,144,190,30,240,275,341,409,437,351,328,592,6366,171,1718,277517,6458,67830,87.14579055,2.340862423,23.51813826,3799.000684,88.40520192,928.5420945,2.686145146,9.953434226,26.98711907
"205","Tonga",0,0,0,0,1,1,1,1,0,2,3,3,3,4,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,35,1,1,914,33,36,33.01886792,0.943396226,0.943396226,862.2641509,31.13207547,33.96226415,2.857142857,100,2.857142857
"206","Trinidad and Tobago",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,3,5,7,11,19,0,34,44,55,59,61,57,115,2,1249,51,131,31846,1336,3379,91.83823529,3.75,9.632352941,2341.617647,98.23529412,248.4558824,4.083266613,38.93129771,10.48839071
"207","Tunisia",0,0,0,0,0,1,1,1,0,2,3,4,4,4,5,12,0,2,3,4,25,41,62,96,179,4,283,382,521,527,573,709,1646,19,14759,1509,1896,330730,33219,41778,131.144482,13.40856584,16.84734317,2938.777324,295.1750489,371.2280078,10.22426994,79.58860759,12.84639881
"208","Turkey",1,1,1,4,7,12,19,30,1,44,59,77,82,90,101,235,7,18,16,17,133,237,395,651,1053,24,1540,2122,2824,3070,3467,3918,9094,205,62681,26231,32633,1525089,635461,790355,79.67990748,33.34477199,41.48297603,1938.688764,807.7962012,1004.69701,41.84840701,80.38182208,52.06202837
"209","Turkmenistan",0,0,0,0,0,1,1,1,0,2,2,3,2,2,2,3,3,7,5,7,44,59,79,111,178,13,267,343,377,332,266,334,474,313,8814,457,662,291577,14351,20818,164.0119092,8.503907704,12.3185709,5425.697804,267.0450316,387.3836993,5.184933061,69.03323263,7.510778307
"210","Uganda",210,168,204,308,352,415,548,646,318,719,907,1311,1679,2007,1854,2609,5771,151,121,149,234,266,315,413,489,228,536,669,957,1226,1470,1345,1896,4233,19024,724,6714,893054,31368,307273,48.7394983,1.854888392,17.20127163,2288.004831,80.36483298,787.2335923,3.805719092,10.78343759,35.29226241
"211","Ukraine",0,0,1,17,34,51,76,108,0,215,322,509,464,576,975,1432,5,2,3,9,148,315,467,748,1093,3,2237,3395,5544,5148,6614,11305,17285,30,76502,50691,65400,1647637,1090921,1408120,170.6719729,113.0889778,145.9039898,3675.792232,2433.787866,3141.442295,66.26101278,77.50917431,85.4879611
"212","United Arab Emirates",0,0,0,1,1,2,3,4,0,4,3,2,1,1,1,1,0,1,2,5,77,145,248,421,513,1,535,425,285,209,127,82,140,10,3633,423,517,133058,15267,18686,39.67456157,4.619416335,5.645953298,1453.073992,166.7248917,204.0624436,11.64327002,81.81818182,14.23066336
"213","United Kingdom",0,0,0,0,1,2,4,8,0,13,20,32,53,61,82,350,0,1,2,3,19,40,76,184,364,1,590,835,1328,2202,2544,3410,13959,15,63665,27905,40091,1088508,475884,684429,98.37599033,43.11917082,61.94913733,1681.976792,735.3421783,1057.588639,43.83099034,69.60415056,62.97180554
"214","United States",0,0,0,2,3,5,9,17,0,34,54,71,91,99,102,317,1,5,7,16,194,374,617,1114,2108,5,4304,6794,8903,11334,12571,13183,44035,51,283228,193617,230348,5683701,3881726,4617018,88.02077411,60.17172815,71.5868815,1766.364066,1206.351517,1434.863426,68.36082591,84.0541268,81.32952957
"215","Uruguay",0,0,0,0,0,1,1,1,0,3,5,6,8,9,11,42,0,0,0,0,2,3,7,12,21,0,39,62,86,112,136,155,561,3,2247,331,1140,42839,6227,21680,65.47202797,9.644522145,33.21678322,1248.222611,181.4393939,631.7016317,14.73075211,29.03508772,50.73431242
"216","Uzbekistan",18,18,19,72,91,116,158,227,31,343,436,476,412,354,530,981,582,57,58,62,265,343,440,630,924,96,1430,1844,2041,1788,1597,2406,4533,1965,26115,3478,5108,820823,106631,157544,87.36158382,11.63483012,17.08761134,2745.870087,356.7089046,527.0263589,13.31801647,68.08927173,19.55964005
"217","Vanuatu",1,1,1,6,9,12,15,19,1,26,26,29,27,32,28,25,20,0,0,0,2,3,4,5,6,0,8,8,9,8,10,8,7,4,65,3,4,2482,141,164,24.52830189,1.132075472,1.509433962,936.6037736,53.20754717,61.88679245,4.615384615,75,6.153846154
"218","Venezuela",0,0,1,2,3,4,6,9,0,15,18,19,20,21,23,50,7,9,15,17,91,126,167,234,386,11,657,812,866,893,970,1033,2199,213,13437,1804,3710,352620,46282,96485,43.19467522,5.799151157,11.92619224,1133.534746,148.7784445,310.1613633,13.42561584,48.62533693,27.61032969
"219","Vietnam",14,20,37,153,244,401,646,1115,20,1868,2630,3139,2966,3078,3646,12937,663,14,19,36,178,292,476,781,1389,18,2327,3303,3957,3716,3845,4591,16082,648,87519,34890,61201,2194664,854156,1522630,93.65529593,37.33627298,65.49203905,2348.54039,914.0441841,1629.387484,39.86562918,57.0088724,69.92881546
"220","Virgin Islands, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,4,6,9,11,9,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Wales",0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,17,0,0,0,0,1,2,4,9,19,0,30,44,74,128,150,190,671,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","West Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543862,183533,241292,14577078,4426014,5863391,94.58979034,31.92050187,41.96608642,2535.280552,769.7830264,1019.7751,33.74624445,76.06261293,44.36640177
"223","Western Europe",0,0,0,3,6,12,25,56,0,100,144,210,279,382,533,2188,2,5,7,11,106,218,438,996,2165,5,3796,5450,8090,11127,15336,21816,91132,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Western Sub-Saharan Africa",1494,1222,1544,2612,3131,3892,5037,6978,3758,9703,11582,14610,17642,20178,17237,18755,63416,1347,1072,1352,2334,2784,3481,4490,6262,3465,8589,10226,12966,15740,18112,15398,16925,56454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","World",6640,5542,6462,22479,32245,44436,65829,101064,11998,141664,183076,257654,297993,318326,309245,521631,250078,5924,5042,5884,30153,44874,63365,98466,157755,10971,231860,305859,433350,496162,527043,561323,1130904,217395,8793196,3608196,5554240,232959050,83747555,135058325,120.2466697,49.34196311,75.9540516,3185.707442,1145.245095,1846.918208,41.03395398,64.96291122,63.16520182
"226","Yemen",24,19,23,135,187,252,301,385,33,507,663,820,835,723,515,682,656,36,29,36,233,327,454,557,721,50,951,1263,1577,1630,1427,1016,1344,1058,25210,1838,3032,944235,62192,103518,93.95497913,6.850029815,11.29994037,3519.063059,231.7829457,385.8005367,7.290757636,60.62005277,12.02697342
"227","Zambia",84,74,97,164,196,256,345,406,128,432,525,712,912,1087,1073,1218,2964,41,36,47,92,110,145,199,241,62,253,306,409,525,623,605,687,1466,4645,348,3213,218426,16966,152504,28.65161432,2.146557973,19.81865163,1347.310551,104.6508694,940.6858536,7.491926803,10.83099907,69.17115178
"228","Zimbabwe",50,63,89,175,209,230,225,248,81,338,410,588,565,719,775,1355,1555,26,34,47,104,126,141,141,159,41,216,261,376,363,465,497,846,828,5379,407,3180,249080,19592,148573,34.47413738,2.608472562,20.38069471,1596.359572,125.5655883,952.2078477,7.566462168,12.79874214,59.11879532
