"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"89","Kiribati",320.53447,0.8877813187,2.5027517222,3.51087496624,77.53315488,212.977480751,295.232738978,31.48571430049,83.0248422946,114.8124251532,5.7601622294,44.28855963,62.3123056,998907.87744085,9991158.5695874,9540955.951127,44626,67781,144.23484,22.0139868,22.5987826,22.2192174,22.2192174,0.41,0.24,2.445712242,7.961015904,11.33916003,105.530253,343.5105764,489.2744147,11.5531,66.53,498.79,196.77,50.5,131.29,33.35,312.45,67.44,2.95,13.01,143.87,3.06,46,41.6,50.4
"90","Kuwait",177.026,0.950459801479999,2.48216335054,3.52443497432,82.4390042567,213.668932218,296.672086807,28.50883509599,77.3051813649,111.3564774213,4.9568537343,41.86144669,60.74302688,934089.4052652,9589042.714147,10198902.675644,3935794,0,177.026,19.6593654,19.6190961,14.6246098,14.6246098,0.55,0.28,0.205670854,0.144062366,0.895677686,0.229314705,0.160623725,0.998644482,12.28,49.61,245.7,47.47,19.5,13.71,8.96,48.74,8.11,0.23,0.55,81.8,4.34,37.9,33.3,45.6
"91","Kyrgyzstan",174.428,0.964181593,2.45844371,3.641826927,80.54984068,205.3837686,304.2461928,21.95190177,55.97235545,82.91490687,0.2792233,22.42636,57.584,17306.81858,1390030.646,3569171.488,5557788,399112,174.428,9.9323155,10.8247126,9.3400427,9.3400427,0.43,0.14,0.319665999,1.866156184,1.674994259,0.184566349,1.077467215,0.967095582,22.15,27.53,574.47,143.43,11.18,52.89,49.2,26.46,8.96,0.69,1.08,96.57,3.36,16.6,14,18.6
"92","Laos",58.23747,0.723769965,2.901042564,5.015950742,60.46532703,242.3594456,419.0435039,17.14388809,68.71679056,118.8124714,0.5873047,57.43221,83.7078,40835.50135,3993281.663,5820232.632,4724753,1939214,65.86906,7.7291924,7.5895286,5.7492174,5.7492174,0.86,0.17,85.56568558,200.4720106,274.6500024,49.4408897,115.8351563,158.6960986,16.9,49.87,443.23,171.64,29.84,84.9,25.05,93.03,33.9,1.24,4.86,123.14,2.8,5.3,3.7,6.7
"93","Latvia",33.4,0.448210108,2.058050542,3.328510193,37.44445349,171.9340469,278.071027,6.133481535,28.16316446,45.54862871,0.1421721,1.378721,2.62944,2761.334769,26778.18105,51070.24581,1736269,241258,33.4,7.8315259,6.5982073,9.5992022,9.5992022,0.21,0.09,0.144786768,0.572990928,0.973560693,0.052108848,0.206219792,0.3503851,56.63,28.15,423.55,112.19,6.1,9.69,14.14,22.42,15.36,0.41,0.43,153.46,4.08,23.6,21.6,25.1
"94","Lebanon",86.441,0.884725419489999,2.3813505764,3.61731949746,75.1848767877,197.274296381,302.556125077,26.51827231499,72.2244450331,103.7194515327,4.0406068211,43.2358444,65.5742372,969055.7284125,13589003.901338,11399918.6913484,4722144,1129335,86.441,14.4658527,12.2357376,11.051152,11.051152,0.43,0.2,3.794317521,1.441374979,19.76077389,1.219445717,0.463239709,6.350863084,29.1,47.34,217.53,25.17,11.09,19.23,9.24,37.54,5.66,0.25,0.64,134.32,3.62,32,27.4,37
"95","Lesotho",20.072,0.607529939,2.306327231,4.189361766,50.75438087,192.675625,349.9884516,23.5681349,89.47021014,162.5194693,6.356867,51.53199,76.94296,132948.2793,1077746.223,1609194.299,658917,1515728,20.072,7.3050801,9.8530791,7.5376578,7.5376578,0.3,0.12,129.9835286,184.6699094,242.5568236,243.4497465,345.873382,454.2913849,11.3,32.64,501.31,199.94,33.31,144.87,18.68,197.82,37.26,1.08,8.64,168.44,1.86,16.6,4.6,26.7
"96","Liberia",16.213,0.970414826,2.982044337,5.066444218,81.07057863,249.126511,423.2618395,127.3360987,391.2985269,664.809753,26.97557,87.50218,97.57058,1268452.806,4114552.009,4587991.133,760436,3739185,16.213,7.7892159,7.6008282,5.6957736,5.6957736,0.28,0.08,223.6108744,303.8631394,422.6917641,288.1781619,391.603142,544.7433448,1.6,32.67,346.06,114.1,26.69,36.09,41.05,87.07,34.95,3.46,19.99,134.02,2.07,9.9,5.5,14.2
"97","Libya",118.173,0.863135457819999,2.39957177818,3.60537017531,74.5281855597,200.274678584,301.53912389,26.14620457369,68.0123106849,101.4198019785,4.1973845005,42.12819383,60.8859479,923675.8470469,12222817.577008,10925149.750481,6022967,211988,118.173,15.1971092,16.5917053,14.2216907,14.2216907,0.34,0.16,3.875513026,5.109389794,12.80712876,1.984116402,2.615814739,6.556766564,10.1,55.55,310.43,62.95,43.25,30.58,16.93,87.13,9.96,0.5,0.98,129.9,4.15,32.5,25,39.6
"98","Liechtenstein",26.221,0.896223238659999,2.31364172964,3.64159181859,75.4744804243,193.002094856,304.607352507,26.60480783329,72.5354208778,101.5818995323,3.47669577085,41.68922553,67.2975538,1003467.9535412,8610669.102873,12563953.029983,10360579.28,5017461.5,26.221,9.177710578,9.623462285,7.813470755,7.79829903,0.5971,0.2137,203.54918882209,325.95713128774,420.93890902629,63.65690882738,95.6909113462999,146.1971214602,10.0721,41.259,392.2934,127.3411,32.0661,61.2134,34.6091,105.3239,35.2623,1.4252,4.6787,125.7355,2.6294,16.241,8.96100000000001,22.627
"99","Lithuania",51.795,0.512512295,1.999557172,3.215128148,42.81639892,167.0473828,268.5988427,4.492018174,17.52552523,28.1796441,0.8064244,1.322372,2.856601,22808.93192,37402.00932,80796.18838,2684137,220773,51.795,8.9232895,7.0877929,9.5350186,9.5350186,0.14,0.06,0.347867144,1.458779845,2.349074471,0.087075621,0.365151358,0.588003554,55.21,27.63,382.11,75.98,4.51,13.87,22.88,13.75,18.61,0.28,0.57,149.49,4.15,26.3,24.2,27.8
"100","Luxembourg",234.833,0.334489337,2.038379917,2.491222593,27.94397138,170.2907199,208.1221882,4.005149997,24.40740677,29.82971067,0.1291701,0.3475719,0.4126038,770.2878075,2072.696366,2460.504997,555934,13670,234.833,6.9729089,3.9014333,5.2535003,5.2535003,0.2,0.08,0.36267577,0.204403632,0.366062672,0.618367412,0.348511136,0.624142128,44,35.63,150.35,35.46,8.54,24.54,11.32,20.95,11.3,0.11,0.19,139.45,4.15,22.6,24.5,20.7
"101","Madagascar",8.812,1.07819951,2.588895697,3.45983533,90.07514702,216.2820131,289.0422163,58.73564044,141.031827,188.4768469,70.25125,93.5762,96.73974,17963623.98,23927939.65,24736873.91,2908091,21325997,8.812,6.3172086,4.780814,3.3602759,3.3602759,0.95,0.2,886.1082513,1356.804515,1693.585091,260.5951733,399.0220236,498.0656703,3.5,31.48,505.29,192.37,10.56,89.87,25.66,55.94,43.67,3.04,21.16,124.25,1.8,5.3,3,7.5
"102","Malawi",9.566,0.28486552,1.615605276,2.703610821,23.79828901,134.971201,225.8655657,21.90721089,124.2460146,207.9176606,1.302718,79.03726,92.84431,230193.6577,13966089.34,16405830.97,7205179,10368428,9.566,6.6198552,6.0038419,4.2931328,4.2931328,0.8,0.18,884.421835,1291.87512,1679.169686,239.6245676,350.0196453,454.9529353,2.4,42.38,312.91,88.49,14.34,44.41,28.02,64.29,49.16,6.16,25.65,178.75,2.29,5.8,2.2,9.1
"103","Malaysia",7.353,0.908167921,2.383309207,3.962462647,75.87033594,199.1068677,331.0328026,10.43814427,27.3928695,45.54307174,0,0.3087978,2.754231,0,96051.64215,856704.3237,29494229,1228926,7.353,11.4416249,10.7315988,9.4710603,9.4710603,1.22,0.44,21.1943955,22.39138508,182.6385655,1.824511488,1.927553882,15.72237156,27.9,51.62,320.97,81.91,19.58,38.62,12.67,57.6,24.14,1.57,2,119.42,3.44,15.6,13,17.9
"104","Maldives",68.45,0.422614866,2.68616602,3.638542468,35.30617095,224.4081888,303.9718019,14.46101393,91.9150918,124.5034605,0,0.5116307,2.729918,0,2539.745027,13551.36755,400571,8592,68.45,11.063976,10.7239682,8.3438318,8.3438318,1.26,0.34,0.304899155,0.454699471,1.397518944,2.369895313,3.534251004,10.8625214,21.5812,45.12,239.27,43.94,36.26,57.62,9.63,68.04,4.77,0.45,0.53,71.97,3.29,8.6,5.8,11.4
"105","Mali",6.716,0.599600045,1.98490498,3.25869826,50.09190015,165.8233066,272.2387853,23.27170321,77.03821906,126.4767397,4.556961,70.88705,90.62164,843602.5747,13122889.99,16776235.05,4314573,13153332,6.716,8.3645204,6.3847485,4.522811,4.522811,0.32,0.09,1131.928963,1686.286246,2198.228221,322.0978258,479.8438342,625.5202878,2.8,34.49,318.64,104.47,19.54,65.31,24.55,70.88,32.04,3.05,28.3,133.06,2.08,8.6,4.6,12.4
"106","Malta",124.564,0.763473885,2.727949045,3.932199898,63.78227948,227.8988341,328.5045863,11.18872343,39.97814199,57.62645976,0.1004015,0.2212111,0.3113678,469.878016,1035.265736,1457.19819,431874,0,124.564,9.0493557,6.3757008,8.7500336,8.7500336,0.32,0.14,0.066645901,0.078658185,0.079641615,0.114238034,0.134828344,0.136514045,41.35,41.06,181.96,33.49,10.76,20,6.18,30.21,10.1,0.1,0.32,122.9,3.8,28.9,29.2,28.5
"107","Marshall Islands",385.94827,0.89372439539,2.51106941074,3.50567950161,78.9037156897,215.593830203,292.73262136,31.23244651829,88.9599327678,119.9687743331,6.1567178869,44.37503879,61.14803338,975856.34017035,9459569.29554841,11560518.815202,40752,12242,211.47504,20.7581138,21.4743119,21.0801125,21.0801125,0.41,0.26,0.062633444,0.197932895,0.374600564,6.972972934,22.03584265,41.70423062,10.5689,36.2,421.9,132.85,79.67,77.94,22.21,615.23,22.15,1.43,2.76,105.6,2.06,52.9,48.4,57.3
"108","Mauritania",35.056,0.87682579,2.813919311,4.429886868,73.25194567,235.0809784,370.0824451,26.33259037,84.50684894,133.0371411,1.558018,38.10409,68.03631,66723.27378,1631835.851,2913705.323,1672936,2509405,35.056,8.4635263,9.4024279,7.3046722,7.3046722,0.21,0.07,145.0730909,234.2588265,305.8612241,156.5157742,252.7360612,329.9861193,2.4,35.6,288.87,82.95,20.46,33.92,27.09,67.83,26.1,2.28,15.9,126.87,2.39,12.7,6.6,18.5
"109","Mauritius",7.863,0.813268366,2.518435227,3.719799844,67.94221937,210.3955912,310.7602209,7.803701639,24.16559888,35.69327096,0.008474872,3.255958,12.04238,107.174333,41175.26814,152289.503,1175485,87120,7.863,12.8618866,13.0882746,14.6107078,14.6107078,2.01,0.67,0.479762197,1.332114209,2.589771637,0.597681675,1.659531028,3.22630474,15.87,44.47,271.8,66.42,67.1,42.06,19.69,222.12,9.67,0.45,0.91,93,3.03,10.8,5.6,15.7
"110","Mexico",696.596,0.661079505,2.551728019,3.266979428,55.22802883,213.176944,272.9306122,8.387502822,32.37526772,41.45008121,0.3591183,10.29462,17.93763,448098.2047,12845351.35,22382094.7,107259089,18631860,696.596,10.869791,11.5297297,11.0197769,11.0197769,0.57,0.25,251.8637567,419.4164902,743.3918192,4.202337885,6.997949324,12.40346624,12.5,40.74,158.3,29.57,62.13,36.09,41.18,139.43,21.52,0.52,0.64,92.14,2.61,28.9,24.3,32.8
"111","Micronesia (country)",324.81758,0.87761169225,2.48778679511,3.49392741527,77.960041058,213.875960977,294.150399446,31.35744043989,83.0220659113,113.9728536518,5.8064091964,44.53166773,62.3004122,997235.91620145,9940343.1007104,9591478.459767,59631,44802,213.69184,20.5147725,23.3738716,19.9445514,19.9445514,0.4,0.23,0.15320727,0.472265659,0.98843023,7.046774033,21.72187643,45.46288498,14.6756,52.03,582.98,190.78,86.95,104.16,26.31,273.71,29.02,1.31,2.79,151.91,3.08,45.8,40.1,51.5
"112","Moldova",423.901,0.801924017,1.683741188,2.878004293,66.99448763,140.6634242,240.434778,11.57654974,24.30643451,41.54677892,0,0.1976474,4.655106,0,5445.498153,128255.5254,2715339,838769,423.901,7.7593317,8.4339062,10.1435799,10.1435799,0.36,0.13,0.27774471,1.257974609,1.442067511,0.090563719,0.410185523,0.470212366,28.48,27.08,543.97,121.56,4.48,23.52,66.09,17.44,16.38,0.12,0.75,126.44,3.73,18.9,16.2,21.1
"113","Monaco",25.482,0.9123247265,2.49361794877,3.5139663475,80.3573001427,213.752657027,294.24426086,31.99802188769,92.4100321382,134.7235269236,7.06419311879999,47.02975039,68.41795588,1001510.22577015,4080571.2261044,6634403.961286,38307,0,25.482,9.065553641,9.586077277,7.804471886,7.771099894,0.5966,0.2125,206.30793362979,324.91761180226,382.78450591844,59.31330854698,95.8042275039,142.8161628408,10.0626,41.2713,389.0306,127.7117,31.9627,61.202,35.0982,105.1228,34.4718,1.5048,4.6652,126.2848,2.6645,16.138,8.92100000000001,22.461
"114","Mongolia",109.61981,0.74255342,2.25840429,4.610406534,62.03453805,188.6720376,385.1634532,16.00626804,48.68151357,99.38059775,0.005172975,6.585204,43.16624,161.0750092,205048.6993,1344101.316,1777196,1199681,202.08152,12.1686151,11.1872717,9.4505846,9.4505846,0.29,0.1,0.222842164,0.648610697,0.748932307,0.280652723,0.816875746,0.943223168,27.6,29.09,579.93,209.02,20.03,27.18,71.32,32.61,27.09,0.7,1.73,272.06,3.59,20.6,17.5,23.2
"115","Montenegro",437.855,0.560815752,2.336085919,3.763333674,46.85177542,195.1617309,314.3971323,5.117920388,21.31876952,34.34361834,1.260342,6.163432,14.87213,7844.028316,38359.53664,92560.12164,596650,25509,437.855,7.5727608,6.6484069,8.4850937,8.4850937,0.43,0.17,0.011582176,0.025020458,0.181463625,0.020101193,0.043423711,0.314935244,41.8521,29.87,412.62,174.89,13.84,6.87,5.47,33.47,10.74,0.24,0.26,144.95,4.43,23.3,23.3,23.1
"116","Morocco",93.334,0.607821254,1.911529014,2.889392766,50.77871794,159.6933178,241.386196,14.38297969,45.23284241,68.37220189,0.02480398,3.521767,13.70442,8825.577048,1253090.27,4876209.971,26694148,8109174,93.334,14.0416698,13.3969031,12.340708,12.340708,0.33,0.14,38.07487182,45.27218164,140.4340585,2.47060228,2.937621319,9.112485177,19.6,47.7,319.37,70.57,37.14,29.16,12.84,91.46,10.17,0.48,2.28,81.03,3.42,26.1,19.4,32.2
"117","Mozambique",2.848,0.382520329,1.969263689,3.488296239,31.95658557,164.5165989,291.419903,24.38008097,125.511782,222.3279085,8.464884,78.01917,90.62317,2425105.21,22351717.47,25962638.32,5742192,22268499,2.848,6.5621686,6.1720894,4.6596229,4.6596229,0.45,0.12,821.5822232,1212.29718,1588.718746,202.4946602,298.7938379,391.5701356,1.7,43.38,338.52,120.8,13.58,37.98,16.02,65.91,40.95,4.96,18.32,138.5,2.25,7.2,3.3,10.5
"118","Myanmar",21.081,0.909689542,2.5998543,3.665605709,75.99745545,217.1975188,306.2327242,25.383855,72.54598582,102.2845702,0.166441,24.74539,51.92937,88850.50164,13209727.86,27721238,41713321,10690348,21.081,6.9114952,7.8750752,7.208295,7.208295,1.26,0.29,986.7222685,1921.851487,3030.073427,49.58457802,96.57651201,152.2666682,25.5,83.84,285.17,130.82,29.02,101.35,56.44,82.14,23.05,1.24,3.28,175.79,4.48,5.8,4,7.3
"119","Namibia",52.343,1.008157292,1.83890403,3.187241981,84.22366683,153.6260677,266.2691713,30.32594162,55.31527343,95.87404169,9.829656,25.26397,45.98487,236167.6099,606992.9011,1104833.866,834393,1591168,52.343,7.3191306,7.5376131,5.7685644,5.7685644,0.29,0.12,69.16455963,119.1938648,173.2776072,98.11458318,169.0845199,245.8059488,5.9,37.9,330.6,110.02,21.52,72.09,12.69,105.85,25.72,0.64,5.68,86.87,2.34,17.2,7.5,25.4
"120","Nauru",452.1795,0.901741196599999,2.51765671752,3.4947907554,80.8228729213,216.369517288,292.771707916,31.50299549121,89.3468810542,120.6148434622,6.1438364619,39.70360359,60.32447318,968990.81122999,8808423.3546364,10586908.6960515,8184,4291,370.75246,30.0757634,28.4019317,28.0206037,28.0206037,0.4,0.27,733.75539629835,1288.1160545493,2468.71004389519,82.07203044561,144.48504766705,232.6585251394,13.1586,49.5363,503.3648,184.5027,64.9208,114.531,30.3387,330.375,41.1084,4.5217,8.6093,147.5847,2.6167,61,58.7,63.3
"121","Nepal",30.065,0.986364173,2.564141513,3.836645519,82.40302194,214.2139944,320.5217644,25.25250389,65.64613288,98.22427517,1.988262,44.20274,72.0897,549299.6082,12211945.79,19916310.81,13124577,15531705,30.065,11.6872047,9.4862663,7.928876,7.928876,1.06,0.19,1831.196387,3428.271168,5704.200515,178.3353156,333.8701546,555.516823,11,31.41,330.7,96.03,26.46,140.68,22.46,80.96,23.47,3.77,4.62,90.06,2.56,4.1,2.7,5.4
"122","Netherlands",416.227,0.300922706,1.794010588,2.768451443,25.13974151,149.8755713,231.2824932,4.317916748,25.74211987,39.72429671,0.01160897,0.2121892,0.3128131,1988.767013,36350.75993,53588.93809,16550305,389618,416.227,5.1717566,3.5314209,5.2926449,5.2926449,0.24,0.09,8.606314163,5.014641338,7.58486616,0.401740147,0.234081944,0.354059263,49.33,40.22,127.71,34.5,7.93,30.38,5.82,26.32,11.69,0.07,0.41,167.32,4.52,20.4,20.8,20
"123","New Zealand",5.184,0.883508002529999,2.29043470671,3.61429829352,75.5451975706,187.965725659,302.676431506,28.9637825763,77.5258075477001,118.4205929031,5.0852843001,43.50126333,73.0245328,1518705.1698108,11767091.64752,17986562.72626,11388730.95,11801616.19,5.184,7.9042936,5.9634449,7.6297578,7.6297578,0.23,0.11,3.137888936,2.159206438,9.92380928,0.659852275,0.454049621,2.086832347,29.74,35.55,155.77,35.53,10.75,30.96,4.05,26.13,9.87,0.05,0.34,147.73,3.63,30.8,30.1,31.4
"124","Nicaragua",23.549,1.43555517,2.550074601,3.51918096,119.9294211,213.0388138,294.0000802,42.05064417,74.69742849,103.0847364,3.431858,14.81904,27.84136,219119.1571,946174.2164,1777630.466,4129702,1952333,23.549,9.2258635,10.9731792,8.9639055,8.9639055,0.43,0.17,10.33266094,26.31890748,37.95275803,4.478730167,11.40802796,16.45076358,5.52,40.19,180.52,35.9,58.52,27.03,28.36,99.69,12.27,0.37,1.44,80.85,2.27,23.7,17.9,29
"125","Niger",2.85,0.608233806,1.657867923,3.607580503,50.8131835,138.501915,301.3851715,86.72748077,236.3938125,514.4014775,5.401048,58.42961,91.94135,1166759.882,12622240.14,19861604.39,2168769,17728196,2.85,5.9408535,5.3203077,3.7354109,3.7354109,0.49,0.11,684.8434672,1069.709241,1360.150943,240.2585023,375.278078,477.171564,4.6,31.19,334.07,110,19.47,50.74,24.98,70.73,38.06,3.75,33.31,116.15,1.81,5.5,2.5,8.7
"126","Nigeria",5.506,1.3811754,2.114463238,3.388323049,115.386416,176.646887,283.0679239,23.35485848,35.75432177,57.29453717,44.86684,69.88703,89.12486,85638823.05,133395688.1,170115571.2,52542706,128639038,5.506,6.299279,6.0017798,4.2889467,4.2889467,0.31,0.09,6623.459482,8098.488858,12973.12786,191.762036,234.4670057,375.5972872,1.1,28.37,197.62,56.18,6.72,26.06,27.41,41.12,20.25,3.05,18.9,107.78,2.04,8.9,4.6,13.1
"127","North Korea",677.17593,0.951173908479999,2.43154552231,3.53093171596,82.5155488283,211.515270285,295.713799992,26.09541965691,64.4021335112,93.00330769,4.0780024976,35.7450468,61.0025714,1043286.7131387,12368228.967193,14470375.020558,20674768,4569149,81.42119,5.7529754,5.9210002,6.6706002,6.6706002,0.65,0.13,7.246454118,40.25084588,42.13662186,0.414077254,2.300015906,2.407773015,43,38.55,411.09,206.41,15.08,148.93,13.85,33.15,14.67,1.25,0.96,188.66,2.14,6.8,6.1,7.3
"128","North Macedonia",245.79862,0.741783281,3.019520007,3.690535055,61.97019895,252.2573105,308.3153764,9.705311515,39.50666324,48.28606045,2.337817,13.93327,18.23828,48673.25643,290090.1241,379720.2601,7453019.19,466131.69,379.83366,9.072957337,9.634427458,7.8732791,7.854238306,0.5483,0.2028,223.84040537469,330.15539302228,457.68195052614,49.47761208224,88.94646067385,132.4212825275,10.8786,41.8164,382.4052,122.4069,35.9849,58.7121,31.8023,108.1681,33.4616,1.3892,4.3062,126.2828,2.6412,19.466,13.811,24.518
"129","Norway",51.649,1.084304198,2.753281206,3.458190307,90.58514604,230.0151384,288.9047876,14.52968225,36.89398339,46.33976923,0.222648,0.3605376,0.4563593,11749.06371,19025.45378,24081.93423,5090023,98584,51.649,6.2257413,3.8782065,5.5054435,5.5054435,0.24,0.1,7.889693542,4.596251605,6.910706838,1.311901805,0.764266793,1.149115454,31.95,45.16,137.75,30.36,6.14,28.69,4.55,20.58,10.24,0.07,0.3,138.79,3.65,23.1,23.6,22.5
"130","Oman",235.576,0.905994335019999,2.42803715476,3.5429610732,77.4086997129,208.128825232,297.916838887,26.84919251659,72.2586472102,103.0968854861,3.7176734648,40.32528118,60.0129011,888849.53545415,9118370.62722901,8953705.913206,4061216,138594,235.576,14.3323602,12.3150791,8.2816983,8.2816983,0.68,0.27,0.946419589,0.4014726,4.487136499,1.407956183,0.597257112,6.675360119,8.8,47.51,314.92,48.99,21.32,14.53,9.8,103.46,4.74,1.16,0.9,69.23,3.78,27,22.9,33.7
"131","Pakistan",30.599,0.767463234,1.94525909,3.827949612,64.11555841,162.5112022,319.7952892,20.90436108,52.9854677,104.2666766,0.04515375,24.10479,75.2726,93873.14985,50113059.58,156489240.9,120256626,69123887,30.599,12.5771361,12.1315271,9.6872886,9.6872886,1.09,0.32,4499.728056,7189.719514,13795.64303,99.7710881,159.4154425,305.8865555,18.6,26.69,479.9,136.48,29.37,83.94,26.91,93.89,27.79,3.76,8.52,118.3,2.33,8.6,6,11.3
"132","Palau",408.50165,0.962700783649999,2.57170234152,3.50056655007,83.0443924113,217.604767091,292.038099454,31.69300582691,92.3524138028,125.3993579986,6.2856373428,44.70790969,60.99722588,827303.13059965,9039366.1292208,8801260.7199955,21288,0,367.39528,24.7751215,21.5507927,21.1574305,21.1574305,0.38,0.25,674.91968489235,1167.6213402743,2254.35922708469,81.84562188311,138.81869211935,232.5376368154,13.141,49.2306,508.003200000001,181.9959,67.4636,113.67,31.0746,352.2383,40.6445,3.669,8.5829,141.076,2.5734,55.3,51.8,58.8
"133","Panama",614.17,1.127964567,3.223740157,4.876472158,94.23262882,269.3183089,407.3911578,13.78461908,39.39665427,59.59434641,1.85989,11.42699,19.78807,76381.42315,469280.3115,812650.7202,2976937,992312,614.17,8.9030156,9.7735384,9.5552917,9.5552917,0.45,0.17,7.427532739,15.91527833,27.84035356,3.324486531,7.123513324,12.46105317,12.62,37.95,154.03,44.05,27.31,23.09,13.56,67.45,12.12,0.23,1.38,100.48,2.59,22.7,17.8,27.6
"134","Papua New Guinea",0.782,0.85464437228,2.25028530094,3.60021060924,70.1902332545,184.208988463,301.92126837,32.0076536164,90.5356602043,150.2619940238,6.4921323452,45.35024926,76.7160170000001,1414101.62530645,9436477.20136,12960784.549522,1496847,6422978,0.782,15.357027,14.3210734,11.6053098,11.6053098,0.81,0.31,165.6399375,390.6303765,503.4274706,139.86466,329.8442733,425.0889797,2.1,40.26,591.54,208.12,59.11,343.05,44.8,183.05,37.4,2.21,6.95,121.58,1.91,21.3,16.6,25.8
"135","Paraguay",186.049,0.949812696,3.886502873,3.603425935,79.34943156,324.6869568,301.0380898,16.1907157,66.25018108,61.42478945,0.1282366,17.94588,15.44793,8806.086829,1232354.706,1060818.931,5882259,756860,186.049,8.0133105,8.2721305,7.1140043,7.1140043,0.53,0.19,13.59930623,19.00140258,41.51117122,5.124776849,7.160508515,15.64311338,19.7,48.56,271.74,82.11,38.59,30.83,15.03,109.31,22.5,0.27,1.96,134.45,2.54,20.3,17.1,23.4
"136","Peru",1038.977,0.91506283,2.239451954,3.591001371,76.44635171,187.0887179,300.0001146,20.64388293,50.52219634,81.01324794,1.298749,10.30363,22.43048,408382.4928,3239904.019,7053106.75,23909023,7467648,1038.977,7.2325752,8.0752417,7.4633108,7.4633108,0.37,0.12,92.34946292,215.8098729,306.8221766,5.336122467,12.46989289,17.72875183,11.6,28.63,108.51,24.82,24.06,31.1,21.3,48.66,15.92,0.29,1.05,106.09,2.73,19.7,15.2,24.2
"137","Philippines",64.363,1.157734234,2.819760223,4.07534677,96.71965196,235.5689409,340.4633893,17.63895856,42.96118423,62.09099695,3.313564,42.61489,64.24689,3484983.414,44819470.76,67570551.23,75168389,26547970,64.363,7.0508844,7.272278,6.129182,6.129182,1.21,0.27,209.3515731,248.7301522,933.5777717,7.15699953,8.503215697,31.9157653,46.6,47.6,427.92,130.68,50.55,68.78,19.18,111.57,26.94,1.21,2.83,119.22,2.92,6.4,5.2,7.5
"138","Poland",121.94,0.397012866,1.961194354,3.097216182,33.16732385,163.842469,258.748219,5.196970716,25.67239122,40.5431238,0,0.02204507,0.449238,0,8371.576974,170597.3488,36922792,1063620,121.94,8.394709,6.9763247,9.2658867,9.2658867,0.25,0.1,5.607770888,10.23089526,58.76978116,0.136956892,0.249866059,1.435316582,68.73,29.41,283.08,56.8,7.6,18.6,15.09,22.3,15.08,0.09,0.35,169.81,4.48,23.1,23.7,22.2
"139","Portugal",232.526,0.417757991,1.863018265,2.688893108,34.90041695,155.6406236,224.6360157,4.616332218,20.58682641,29.7129538,0.1087342,0.465337,0.9322764,11199.9488,47931.10701,96027.26603,10327002,31074,232.526,8.4291863,5.2866095,7.7590325,7.7590325,0.44,0.16,4.287564851,15.85104615,13.89678485,0.263138121,0.972816656,0.85287896,28.87,41.34,155.11,58.28,12.82,26.91,12.6,39.07,11.78,0.18,0.34,140.76,3.32,20.8,20.3,21.2
"140","Qatar",79.832,0.840577538969999,2.42379054016,3.55678598555,70.5404805137,205.849217915,299.260770582,27.88584571509,75.0314793482001,113.0529320429,4.253088838,41.97292063,63.6051708,906437.2734631,12512907.153589,11376313.658556,2431908,49631,79.832,18.9393887,18.7735012,13.1857956,13.1857956,0.61,0.29,0.039604142,0.031086478,0.172933288,0.269181861,0.21128891,1.17539483,18.5,48.45,187.72,24.99,25.77,10.5,12.09,108.6,7.22,0.37,0.43,81.64,4.24,35.1,32.5,43.1
