"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"26","Bulgaria",167.088,0.514931565,2.828763265,4.167510318,43.01850999,236.3210748,348.1629338,7.843800554,43.08971598,63.48245473,0.1288557,5.284159,9.337595,9117.761038,373904.2902,660723.2733,6173072,1004919,167.088,8.4220956,6.8991835,10.0065948,10.0065948,0.22,0.09,0.269395188,0.273964794,3.27244017,0.0267746,0.027228763,0.325240684,39.73,29.73,508.75,146.22,10.98,25.73,16.41,29.14,11.03,0.26,0.62,140.58,4.41,25,25.5,24.3
"27","Burkina Faso",3.205,0.573611327,2.538903881,3.542036729,47.92074575,212.1055873,295.9095012,36.10796922,159.820176,222.9658782,0.823905,80.15421,89.96324,158134.4265,15384225.16,17266900.15,3567793,14542831,3.205,7.3630174,5.4645982,3.7923581,3.7923581,0.51,0.11,794.4770944,1207.21164,1553.730536,215.3210044,327.1812676,421.0956136,4.6,35.63,350.79,87.13,16.09,37.02,28.2,76.38,46.66,5.26,30.89,141.5,2,5.6,2.6,8.1
"28","Burundi",0.084,0.707986131,1.58855448,3.439233172,59.14671105,132.7113183,287.321067,80.83522961,181.3752565,392.6788828,42.48668,84.76974,97.167,4600043.04,9178040.095,10520294.41,4895650,5303620,0.084,4.2383366,4.0934194,2.5851791,2.5851791,0.64,0.14,322.0412056,471.358467,614.7730924,240.4256593,351.9011488,458.969919,3.5,35.51,383.29,131.78,12.68,60.51,34.64,65.71,54.1,5.13,24.8,142.36,1.93,5.4,2.1,8.6
"29","Cambodia",44.64192,0.875240583289999,2.3249946953,3.62972165301,74.9196274117,195.170281634,302.726027361,26.5443430252,71.7451133478,104.9600314365,3.49873983985,42.2591781,67.5065836,1007343.6927854,10016129.130264,13661004.667161,6579477,8938158,102.69348,7.4169244,6.8944944,6.0548587,6.0548587,0.91,0.15,185.7759159,408.128652,625.805035,38.77179567,85.17724499,130.6067303,20.9,56.87,354.3,172.44,24.86,61.41,75.21,65.58,64.51,7.2,2.79,139.65,3.23,3.9,2.7,4.8
"30","Cameroon",16.048,0.893473526,2.064990798,3.601684469,74.642734,172.5138512,300.892604,38.52634765,89.04186981,155.303704,11.02579,41.82046,66.43285,2708600.533,10273633.02,16319923.83,10458211,12376311,16.048,6.5496373,6.8660443,4.8773871,4.8773871,0.71,0.22,705.0311431,999.343615,1367.268711,152.6414651,216.361043,296.0179862,3,35.82,320.24,114.12,24.89,55.51,46.87,99.53,38.13,3.99,22.12,160.58,2.48,11.4,6.1,16.4
"31","Canada",264.982,0.678612354,2.130181041,2.976252719,56.69276143,177.9599867,248.6426666,10.6897202,33.55529731,46.88289067,0,0.4973831,0.4973831,0,181760.3028,181760.3028,35776913,71697,264.982,6.2295715,4.7614839,6.5400874,6.5400874,0.24,0.11,35.60457069,54.32872806,42.54485365,0.857066455,1.307790811,1.024131627,42.85,30.1,126.84,27.89,8.99,24.59,8.24,27.85,10.22,0.25,0.27,147.79,6.91,29.4,29.5,29.3
"32","Cape Verde",169.068,0.619501806,2.521965051,3.364083781,51.75453686,210.6904804,281.0429223,13.88320642,56.5179327,75.39004581,0.1623494,19.00103,32.42308,872.6231545,102129.9662,174273.0823,384763,148150,169.068,9.0616702,8.0251263,6.9133444,6.9133444,0.23,0.07,5.760243668,7.165732482,11.12474185,25.21947203,31.37297661,48.70629301,2.4,27.31,284.41,73.54,19.48,31.22,22.7,60.2,13.67,1.36,4.74,161.02,1.99,11.8,6.9,16.3
"33","Central African Republic",12.837,1.020846914,1.705468567,3.267034795,85.28378563,142.478577,272.9352377,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050,12.837,7.9801102,7.6084099,5.7774477,5.7774477,1.03,0.28,211.3721932,327.6010112,426.2713344,337.6809928,523.3641805,680.996517,4.6,43.62,506.18,201.86,16.31,77.35,39.85,77.6,70.42,6.76,24.66,140.1,1.6,7.5,3.7,10.9
"34","Chad",5.844,0.708813159,1.761556199,3.216645812,59.21580272,147.1642606,268.7256318,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274,5.844,7.893766,6.1519716,4.0834561,4.0834561,1.24,0.3,758.6749847,1170.089097,1504.85658,322.6589163,497.6303263,640.0044854,4.6,32.25,328.47,108.11,22.88,50.59,35.45,72.58,39.75,4.04,30,127.98,1.94,6.1,3.1,8.9
"35","Chile",733.723,0.622463862,2.106671037,3.075040316,52.00199348,175.9959095,256.8955987,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864,733.723,10.1604348,10.825427,11.9969369,11.9969369,0.35,0.16,19.78179495,46.7489839,81.57838945,1.475934844,3.487977429,6.086626005,18.89,28.96,138.67,45.89,18.62,27.95,23.92,43.92,13.71,0.13,0.67,134.76,4.89,28,24.9,31
