"","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"76",16957,100,0.13,2.12,7.44,0.09,7.12,0.99,765.02649,45279600000
"77",32646,20.1,0.2019,4.1796,10.7324,0.5649,18.9532,0.5847,121.21803,1.8e+08
"78",15700,100,1.1581,3.55,18.5445,2.62,12.14,0.9355,576.96307,81295285416.6667
"79",30626,75,0.0991,4.6681,10.9682,0.7134,17.8562,0.7176,142.87909,3.763e+10
"80",42084,70,0.1542,4.29,10.8968,0.581,17.4454,0.5868,350.55191,4.23e+09
"81",62578,39.4,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,52.449409,1.9222e+11
"82",22687,100,0.1766,3.9511,11.7476,0.5664,15.1638,0.6071,428.12521,2176600000
"83",39969,83,0.1123,4.7212,10.635,0.639,16.4664,0.6283,138.24355,2.132e+10
"84",29932,70,0,5,9.8,1.25,23.17,0.7,594.9317,133509700000
"85",20828,48.3,0.1317,4.0056,12.8909,0.6491,14.6314,0.6335,358.2995,2.968e+10
"86",99421,17.6,0.1631,4.3254,12.0323,0.6934,20.1658,0.6099,42.327137,2.32e+09
"87",62373,30.1842,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,25.088203,2.1117e+11
"88",28906,76.495,0.1809,3.981,10.1888,0.501,16.618,0.537,230.01372,1e+07
"89",30179.58,95,0.1113,5.0059,12.4634,0.8116,19.601,0.795,227.79495587,51423400000
"90",30215,95,0,6.5,9.28,0.99,30.05,1.07,601.2337,131339600000
"91",18648,97.6,0.831200000000001,2.5918,24.27,0.74,8.57,0.68,679.28198,14187400000
"92",54971,3.7,0.9949,5.0338,14.8391,1.3552,19.8571,0.8218,16.622654,1.1243e+11
"93",70678,17.3422,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,11.881274,1.6338e+11
"94",29765,100,0.1382,4.5016,12.2515,0.7591,19.5466,0.6059,370.69351,6.2e+08
"95",25036,30,0.2014,3.427,11.2899,0.4977,17.5515,0.5694,247.58975,1.06e+09
"96",75910,1.9,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,54.852081,1.3294e+11
"97",19507,100,1.0158,3.4396,21.5537,0.796,13.5938,0.865099999999999,1287.7975,57429818750
"98",58285,6,0.1261,4.5772,11.654,0.7208,19.6286,0.6192,85.419205,1.33e+10
"99",30076,100,0.1845,4.4852,12.3811,0.7779,19.8079,0.6493,556.64081,1.8e+08
"100",26763,85.6,0.8707,1.02,8.83500000000001,0.03,11.26,0.16,417.28952,9.6e+08
"101",35472,75.7,0.4488,3.8761,10.6882,0.6287,16.2767,0.577299999999999,238.01622,1.13e+10
"102",48553.14,31.398,0.2027,5.0695,13.7159,1.0654,21.0698,0.8123,206.57016,150494366666.667
"103",26702,95,0.3668,3.5301,10.354,0.5055,15.5358,0.5716,304.52347,9e+07
"104",38061,42.3,0.1695,4.3137,10.8968,0.5984,17.6283,0.5851,231.06967,3.89e+09
"105",88491,8.52483333333333,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,4.3641877,2.3915e+11
"106",48793,38.6,0.993700000000001,5.03,14.8039,1.3453,19.5842,0.8053,197.51004,9.451e+10
"107",48404,28,0.1959,4.3243,11.4979,0.6049,20.7989,0.6015,78.47451,4.04e+09
"108",43324,0.1,0.2029,5.1181,13.3453,1.0424,20.0821,0.8138,90.96965,9.946e+10
"109",18770,98.9,3.32,0,11.74,0.91,0,0.42,650.96637,12823800000
"110",18742,100,0.1,2.2,11.58,0.3,17.27,0.71,422.60583,24901900000
"111",33239,12.2,0.2028,4.5202,12.3603,0.7183,19.4137,0.6418,146.10959,1.948e+10
"112",70093,3.1,0.4836,4.7898,12.9733,1.2052,19.7685,0.7911,35.789703,6.702e+10
"113",84764,2.2,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,155.4747,6.9788e+11
"114",19615,100,1.0698,2.74,26.34,1.07,18.3274,0.57,887.98853,34842700000
"115",27260,97,0.2283,3.8777,10.3656,0.5388,15.8432,0.5704,104.14493,2.5e+08
"116",50534,26.6,0.2017,5.0989,13.7159,1.0654,21.0052,0.8123,89.383614,2.0375e+11
"117",27476,51.8,0.3778,2.995,11.0656,0.42,15.5796,0.5529,470.90369,3.23e+09
"118",59322,27.081,0.5098,4.6565,12.9738,1.203,19.7685,0.7748,5.6810246,6.417e+10
"119",30862,23.6,0.1921,4.4823,10.9981,0.615,17.1634,0.581,264.27051,5.62e+09
"120",26911,64.4,0.5884,3.353,10.6187,0.5695,14.9636,0.542199999999999,207.45259,9.5e+09
"121",41446,82,0.1815,5.1431,11.7802,1.0093,18.8592,0.839,172.83017,9.55e+10
"122",25415,97.5,0,4.85,7.69,0.65,15.71,0.54,396.16248,12108800000
"123",19815,100,0.7,2.33,18.4221,0.64,10.78,0.73,735.89484,48720500000
"124",22923,100,0.1367,4.4682,12.4527,0.8494,14.9841,0.8138,242.92445,64694800000
"125",28496,94.3,0.2983,3.8667,11.2522,0.593,15.6843,0.579,232.00484,5064500000
"126",39906,88,0.2172,5.3544,11.0502,0.9721,17.7074,0.8253,515.22107,108054600000
"127",54160,91,0.997400000000001,4.8765,15.0307,1.3441,19.2649,0.8489,37.179249,8.313e+10
"128",22964.53,92.908,0.5987,2.9112,13.0188,0.6325,13.4531,0.7478,673.5119,47346300000
"129",52764.68,2.1,0.2081,4.3012,11.3468,0.6041,19.3925,0.6026,35.996059,3.65e+09
"130",27174,89.008,0.1785,3.5541,10.5457,0.4706,15.9921,0.5489,467.57504,1e+07
"131",53970,20.1,0.997,4.9783,14.8217,1.3539,19.4258,0.81,42.894653,8.352e+10
