"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"87",3.493,2.734,96.446,39.7843665768194,50.06,131,1.837,177,934,15.547,0.26,945.356,14218114,0,62.96
"89",0.928,19.67,1258.382,7.8899819313391,129.96,168,0.614,206,756,181.475,1.639,28823.366,3935794,1,49.07
"90",0.803,6.744,585.053,17.1577655003069,590.56,117,1.987,205,1138,82.462,0.307,8779.019,5557788,2,57.41
"92",2.496,11.664,680.733,66.9700910273082,13.49,NA,1.288,218,63,72.103,1.59,2594.102,1736269,0,41.67
"93",0.665,16.263,1415.146,14.078185898193,42.77,63,0.797,220,590,265.038,1.612,10841.056,4722144,1,65.74
"94",0.667,0.467,53.215,307.142857142857,88.37,NA,2.209,114,43,1.867,0,908.857,658917,0,60.19
"95",0,0,6.92,169.230769230769,169.47,104,5.779,134,82,0.593,0,280.564,760436,0,46.3
"96",1.046,22.703,1028.774,19.3886167877048,75.71,85,1.401,144,812,109.441,1.601,8437.284,6022967,0,72.22
"97",0,0,6135.774,148.936170212766,NA,NA,0.207,4,1,1835.488,0,12664.866,NA,0,44.44
"98",2.25,12.857,1261.438,119.846350832266,23.38,NA,1.241,220,141,151.71,1.837,4173.69,2684137,2,29.63
"99",1.207,22.365,5819.712,160.028551034975,100.85,NA,0.988,226,147,774.79,0,23777.269,555934,0,37.96
"100",4.959,0.253,5.706,182.142857142857,83.52,103,1.438,164,244,0,0,612.762,2908091,0,53.7
"101",3.846,0.105,1.882,5.88235294117647,379.5,93,3.103,152,183,0.157,0,308.26,7205179,1,42.59
"102",1.269,2.317,198.202,20.0187090739008,28.06,4,0.831,235,238,25.799,0.062,884.879,29494229,2,80.56
"103",0,3.7,547.599,6.4748201438849,75.89,NA,0.32,184,37,64.75,0,21398.892,400571,NA,NA
"104",2.817,0.198,5.136,-9.56521739130435,69.66,NA,3.869,188,136,0.79,0.148,173.573,4314573,0,8.33
"105",1.485,24.913,1843.552,-12.847965738758,21.82,NA,0.967,203,55,706.619,11.324,12875.42,431874,1,75
"107",0,0,12.044,-16.4179104477612,337.91,140,2.123,163,163,3.011,0,1651.088,1672936,0,36.11
"108",0,0,15.726,66.6666666666667,19.74,NA,2.278,215,10,0,0,345.189,1175485,2,51.85
"109",10.963,41.836,314.536,124.092391004034,173.34,208,9.965,228,89814,46.086,4.987,6990.218,107259089,1,67.13
"110",1.652,53.297,1116.024,-3.86504377535768,85.68,164,2.36,213,1710,160.884,2.479,17962.485,2715339,1,33.33
