"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","infant_mortality_rate","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","yll_rates_from_anthropogenic_air_pollution_per_100_000"
"26",3.205,7.3630174,350.79,30.89,8.1,89.96324,1,NA,31315025031.6565,1.64,36.2,84,2.869976837,20.75256443,83.90067419,NA,NA,NA,NA,34.698746,6132.224096,2.41,0.191,2.87,-40.5940594059406,68.62,NA,2.717,215,67,0.335,0,117.972,3567793,2,13.89,6.724023825,220.1535524
"27",0.084,4.2383366,383.29,24.8,8.6,97.167,1,NA,7314109088.1,1.54,23.1,80.8,0.661125647,6.529531228,91.08010345,NA,NA,NA,NA,12.152169,5247.735039,0,0,0.673,-61.9047619047619,NA,NA,0.179,129,1,0.084,0,46.927,4895650,1,15.74,49.55974843,1255.917233
"28",16.048,6.5496373,320.24,22.12,16.4,66.43285,2,NA,76168245065.5552,2.35,23.6,46,1.821170138,13.10581138,82.47290506,NA,NA,NA,NA,113.57147,4273.025088,0.193,0.113,8.401,-5.90717299578059,884.8,191,1.955,211,426,0,0,820.957,10458211,0,30.56,17.71051989,641.3211653
"29",264.982,6.2295715,126.84,0.27,29.3,0.4973831,4,-13.494697,1669401514253.32,23.48,NA,NA,5.370012878,8.322632874,82.25039568,16.05,NA,0.34,19.48,670.91956,465.0432088,1.273,9.194,508.688,14.2321651692747,262.21,214,4.487,229,10001,70.849,0.742,5905.518,35776913,1,60.65,96.70466424,986.1600476
"30",169.068,9.0616702,284.41,4.74,16.3,32.42308,2,NA,3882678731.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.923409,2002.559261,0.937,30.576,1027.001,-11.7465224111283,64.11,NA,1.11,195,94,88.131,0,15237.739,384763,2,59.26,8.910891089,187.3320537
"31",12.837,7.9801102,506.18,24.66,10.9,93.04771,1,NA,3581982386.8118,1.72,24.1,77.6,NA,NA,NA,NA,NA,NA,NA,12.615376,11915.67596,0,0,1.035,66.6666666666667,127.88,NA,1.275,183,62,0,0,1006.881,991050,0,24.07,29.5468463,1498.204082
"32",5.844,7.893766,328.47,30,8.9,83.21726,1,NA,31212918297.4495,2.24,31.4,87.1,4.344118015,10.0500689,84.99356568,NA,NA,NA,NA,56.241741,7102.314108,3.846,0.244,3.714,-21.7948717948718,65.5,173,6.575,178,96,1.157,0,88.884,1695139,1,25,10.22387668,666.502814
"33",733.723,10.1604348,138.67,0.67,31,1.807866,4,-13.682773,412833627886.624,7.17,NA,NA,3.98514653,11.37743281,77.73035681,13.44,NA,0.1,11.43,613.57904,627.4581196,2.964,32.956,525.575,-1.48068248676211,216.62,196,2.78,225,14026,48.493,1.203,26392.524,17602817,0,59.72,33.00630694,320.6931313
"34",3.293,9.8981826,307.9,0.61,6.5,17.94347,3,3.2,18151620437216,1.78,31,5.2,1.868376767,8.290823545,78.84430858,NA,NA,NA,NA,246.86253,720.4156658,0,0,0.135,18.9024390243902,9853.43,280,5.195,283,4739,0.029,0,63.375,1048983300,2,79.17,78.71937382,3506.376444
"35",600.693,8.3281758,185.27,1.09,26.6,22.39919,3,-15.7,651900563304.706,5.42,31.8,5.4,0.582169118,10.70378513,81.89031228,NA,NA,NA,NA,156.01645,1160.255384,2.464,47.639,1161.078,18.061189824344,111.45,204,2.958,223,30565,160.486,4.265,20305.807,39113473,2,41.67,60.49580168,237.9398386
"36",8.05,7.863303,312.61,19.82,12.2,60.2145,1,NA,1416032117.5784,3.89,28.7,36,1.308382738,7.505970773,93.11858028,NA,NA,NA,NA,90.556938,3404.656635,0,0,14.949,62.5,6.18,NA,1.354,158,7,0,0,594.53,278318,NA,NA,31.20300752,522.715736
"37",16.672,7.7231127,374.62,13.14,13.5,90.04419,2,NA,29513591100.1129,2.75,9.9,39.7,2.207636832,17.50763411,91.48989263,NA,NA,NA,NA,88.853043,3457.201389,0,0,17.579,155.263157894737,94.61,72,1.751,195,92,0,0,951.959,749347,0,51.85,47.35553379,779.8051948
"38",260.889,8.8486617,130.93,0.85,30.4,10.59034,3,NA,73336988552.367,7.04,NA,NA,1.037113384,5.810229365,86.75535083,NA,NA,NA,NA,276.40625,704.711585,1.292,40.243,1452.657,-3.69599167100468,57.75,94,1.262,215,1329,169.215,3.337,20675.234,4543420,1,54.63,36.48468708,259.1930116
"39",4.625,7.3379487,422.34,21.59,15.2,68.84484,2,NA,102581662691.46,2.41,34.5,58.7,1.484182932,16.35067072,87.80202892,NA,NA,NA,NA,68.291847,5579.573984,0.355,0.076,5.535,-8.17610062893081,252.65,NA,0.595,217,122,0.076,0,776.7,5199406,2,20.37,23.7221805,1111.34692
"40",114.487,8.3590648,325.58,0.31,24.5,5.311003,3,NA,84978688359.8462,9.62,NA,NA,4.352767471,6.794648185,65.43009934,NA,NA,NA,NA,251.05083,356.288517,2.672,34.103,2864.125,100.3066439523,22.78,12,1.217,220,470,344.192,4.385,9407.668,4077496,1,33.8,72.64658419,2325.754717
