"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"114",1.923139822,5.672668284,93.22316795,NA,NA,1.07,NA,887.98853
"115",NA,NA,NA,NA,NA,NA,NA,104.14493
"116",2.048896381,4.48254764,87.1201023,NA,NA,NA,NA,89.383614
"117",1.570896565,5.074907607,83.74548712,NA,NA,NA,NA,470.90369
"118",NA,NA,NA,NA,NA,NA,NA,5.6810246
"119",1.697453577,7.960701128,79.03654747,NA,NA,NA,NA,264.27051
"120",3.121639456,17.46744447,69.91956511,NA,NA,NA,NA,207.45259
"121",5.130115078,13.90519241,86.23393266,NA,NA,NA,NA,172.83017
"122",4.148356811,5.265834808,84.56692082,25.31,0,0.65,15.71,396.16248
"123",0.989262723,5.142860342,69.12951856,16.6,5.63,0.64,10.78,735.89484
"124",NA,NA,NA,NA,NA,NA,NA,242.92445
"125",4.578165028,12.88616864,74.28533652,NA,NA,NA,NA,232.00484
"126",9.4713641,23.61144764,61.48502592,NA,NA,NA,NA,515.22107
"127",0.626441374,1.638061847,98.66094322,NA,NA,NA,NA,37.179249
"128",NA,NA,NA,NA,NA,NA,NA,673.5119
"129",NA,NA,NA,NA,NA,NA,NA,35.996059
"130",1.308725088,2.732971172,83.49132373,NA,NA,NA,NA,467.57504
"131",2.716341588,14.74161457,81.01150969,NA,NA,NA,NA,42.894653
"132",5.377880369,9.233046412,73.36397391,NA,NA,NA,NA,537.25604
"133",0.653627709,3.92525476,93.03010582,NA,NA,NA,NA,98.019753
"134",2.117348819,3.045648006,76.94395752,NA,NA,NA,NA,1161.4761
"135",2.6178205,6.388160352,80.30219642,13.24,NA,0.81,NA,380.29736
"136",5.80245495,12.28595453,79.52356645,5.81,0,0.66,12.58,342.3797
"137",NA,NA,NA,NA,NA,NA,NA,NA
"138",4.661810314,8.989362561,79.89208724,NA,NA,NA,NA,83.637741
"139",5.103353577,7.88782279,69.95927227,NA,NA,NA,NA,940.44543
"140",NA,NA,NA,NA,NA,NA,NA,43.657784
"141",5.00635976,7.039002198,79.81514869,12.13,2.6,0.36,7.38,771.09918
"142",0.668497162,7.046222648,87.27026723,NA,NA,NA,NA,135.6982
"143",NA,NA,NA,NA,NA,NA,NA,175.13531
"144",NA,NA,NA,NA,NA,NA,NA,103.195
"145",2.198213879,12.27445226,84.30726656,NA,NA,0.43,NA,804.94183
"146",9.2555687,21.54384886,76.66151452,12.07,NA,0.93,NA,2149.3345
"147",NA,NA,NA,NA,NA,NA,NA,85.753609
"148",0.673757537,0.892688266,94.70880313,NA,NA,NA,NA,121.52
"149",0.583005908,2.29331399,91.62572786,NA,NA,NA,NA,25.233082
"150",1.212679891,3.004244503,93.65955808,NA,NA,NA,NA,75.361549
"151",3.061218588,25.01030975,69.79410638,NA,NA,NA,NA,48.73756
