"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2","stringency_index","income_support","debt_relief","containment_index","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
"21",336.502,0.705741816,3.118057545,4.284558679,58.95921603,260.4893521,357.9414101,8.933852302,39.47090133,54.23741878,0,1.285606,3.633199,0,43087.4322,121767.6454,3352091,183870,7.9595233,6.909738,9.1098473,9.1098473,0.52,0.18,0.165359132,0.556440895,1.81389047,0.047956712,0.161376487,0.52605636,52.3,29.45,319.89,107.48,10.77,22.8,10.27,53.65,10.79,0.15,0.38,161.52,4.12,17.9,17.1,18.4,5.516,585.77002,3,33.03019,10460.5201,0.529834,9.79,0.5,605.42,NA,NA,35.19,1,0,40,NA,24000,59.2,1101.792914,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,315.49902,5.03e+09,20.2,6,7.04,5.9,19.8,555.5097578,NA,77.401,76.3,26.53071356,25.34013918,4,0,159,141,3263459,659,1,1136,2,5349,140.3937008,2760.839895,88,1314,139,2153
"22",8.93,0.505090038,2.24989419,3.958068766,42.19632731,187.9610853,330.6657282,3.825013115,17.0382984,29.97419035,0.752416,37.10923,60.1921,16591.73589,818306.0213,1327312.851,1400631,808566,7.5742542,9.4738462,7.0963344,7.0963344,0.35,0.15,58.12570008,79.48769222,116.732321,100.0783656,136.8585378,200.9847604,8.5,35.2,343.14,107.77,24.71,70.76,15.32,140.84,24.1,0.62,5.06,143.17,2.31,18.9,8.1,29.3,3.471,232.69,3,53.32503,15842.1301,57.903089,1.97,NA,290.39,NA,NA,53.7,0,2,57.62,NA,61513,NA,969.9563729,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,51.02795,3.52e+09,NA,53.3,25.14,18.6,NA,1561.28169,NA,69.592,64.1,22.63366824,26.29687711,21.9,1,751,509,2397240,69,11,99,13,656,29.00088417,925.9062776,89,279,115,400
"23",743.068,0.84750795,2.657711216,2.807738164,70.80266919,222.0310122,234.5645918,19.11810954,59.95272863,63.33704097,2.076389,11.95671,12.98858,4315438.805,24850088.45,26994663.41,170536625,35425483,7.7976249,8.682263,8.8017492,8.8017492,0.48,0.19,462.3082374,1001.567782,1384.006108,3.851812013,8.344758976,11.53111911,16.12,54.18,222.15,63.15,19.62,43.82,18.64,69.08,19.15,0.56,1.25,124.23,2.55,22.1,18.5,25.4,6.11,602.28998,3,53.42883,14033.5656,3923.824387,3.05,5.3,563.57,19.038,NA,60.65,1,0,56.61,NA,31632,100,1391.52257,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,9.76,393.65927,2.44e+09,3.1,13.3,20.19,10.8,22,1493.520601,NA,75.881,74.1,26.47157714,27.03856248,8.9,51,44940,23677,213993441,2417,174,15849,453,102317,49.22683198,1280.895476,877,4539,5155,31286
"24",6.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2080746,9.676519,9.2202553,9.2202553,0.97,0.33,0.063669409,0.046031263,0.208097287,0.55648172,0.402321252,1.81880651,22.5,42.78,220.47,60.52,26.52,52.19,6.97,106.26,13.59,0.45,0.92,149.2,3.15,14.1,12.5,15.7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,79.63,0,0,82.14,NA,22941,100,2083.430502,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,125.25507,NA,NA,10.3,9.97,5.5,NA,777.6068771,NA,75.86,78.4,27.31810115,27.33141526,4.3,0,52,29,441532,0,0,8,0,92,21.74940898,621.749409,0,0,7,23
"25",167.088,0.514931565,2.828763265,4.167510318,43.01850999,236.3210748,348.1629338,7.843800554,43.08971598,63.48245473,0.1288557,5.284159,9.337595,9117.761038,373904.2902,660723.2733,6173072,1004919,8.4220956,6.8991835,10.0065948,10.0065948,0.22,0.09,0.269395188,0.273964794,3.27244017,0.0267746,0.027228763,0.325240684,39.73,29.73,508.75,146.22,10.98,25.73,16.41,29.14,11.03,0.26,0.62,140.58,4.41,25,25.5,24.3,5.598,569.5,3,41.2841,18444.2602,39.325611,7.95,NA,478.49,NA,-0.00118898081579454,62.96,2,1,57.14,NA,28771,87,1491.868089,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.43,711.14771,NA,6,10.7,8.56,6.7,6.5,627.6093553,14.62181767,75.046,74,27.32226907,25.93015482,5.6,0,379,231,6896655,647,4,3689,16,15077,210.8671329,4198.181818,79,982,390,5245
"26",3.205,0.573611327,2.538903881,3.542036729,47.92074575,212.1055873,295.9095012,36.10796922,159.820176,222.9658782,0.823905,80.15421,89.96324,158134.4265,15384225.16,17266900.15,3567793,14542831,7.3630174,5.4645982,3.7923581,3.7923581,0.51,0.11,794.4770944,1207.21164,1553.730536,215.3210044,327.1812676,421.0956136,4.6,35.63,350.79,87.13,16.09,37.02,28.2,76.38,46.66,5.26,30.89,141.5,2,5.6,2.6,8.1,4.741,83.839996,1,35.30123,1589.6242,1447.456556,1.64,84,83.83,NA,NA,13.89,0,2,28.69,NA,70891,1,96.10067087,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,34.698746,1.0803e+11,NA,88.6,115.59,32,39.2,6132.224096,NA,61.577,58.1,22.25253512,22.1477769,26.7,87,49380,22392,21497097,822,5304,656,4320,15110,83.45300361,3793.135082,1774,4752,1457,3835
"27",0.084,0.707986131,1.58855448,3.439233172,59.14671105,132.7113183,287.321067,80.83522961,181.3752565,392.6788828,42.48668,84.76974,97.167,4600043.04,9178040.095,10520294.41,4895650,5303620,4.2383366,4.0934194,2.5851791,2.5851791,0.64,0.14,322.0412056,471.358467,614.7730924,240.4256593,351.9011488,458.969919,3.5,35.51,383.29,131.78,12.68,60.51,34.64,65.71,54.1,5.13,24.8,142.36,1.93,5.4,2.1,8.6,3.775,54.34,1,38.62482,651.3589,2221.84917,1.54,80.8,47.74,NA,NA,15.74,1,1,14.29,NA,80027,28.4,63.73553919,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,12.152169,4.981e+10,NA,81.7,86.61,38.1,39.5,5247.735039,NA,61.584,56.1,21.85867709,21.60407468,28.6,31,20389,10359,12255429,853,2711,483,1479,5565,49.78083462,2514.348107,1231,3689,708,2119
"28",16.048,0.893473526,2.064990798,3.601684469,74.642734,172.5138512,300.892604,38.52634765,89.04186981,155.303704,11.02579,41.82046,66.43285,2708600.533,10273633.02,16319923.83,10458211,12376311,6.5496373,6.8660443,4.8773871,4.8773871,0.71,0.22,705.0311431,999.343615,1367.268711,152.6414651,216.361043,296.0179862,3,35.82,320.24,114.12,24.89,55.51,46.87,99.53,38.13,3.99,22.12,160.58,2.48,11.4,6.1,16.4,5.241,161.66,2,46.64087,2888.0459,1303.062921,2.35,46,160.24,NA,NA,30.56,0,0,39.29,NA,77369,2,162.8401984,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,113.57147,9.525e+10,NA,88.7,78.71,33.7,33,4273.025088,NA,59.292,54.9,23.65643975,25.22671897,25.7,55,35507,17820,27224262,1919,4247,2118,4627,20485,87.75274912,3976.91518,2038,6456,2268,7210
"29",264.982,0.678612354,2.130181041,2.976252719,56.69276143,177.9599867,248.6426666,10.6897202,33.55529731,46.88289067,0,0.4973831,0.4973831,0,181760.3028,181760.3028,35776913,71697,6.2295715,4.7614839,6.5400874,6.5400874,0.24,0.11,35.60457069,54.32872806,42.54485365,0.857066455,1.307790811,1.024131627,42.85,30.1,126.84,27.89,8.99,24.59,8.24,27.85,10.22,0.25,0.27,147.79,6.91,29.4,29.5,29.3,7.025,1745.0699,4,33.30821,44868.7435,NA,23.48,NA,1700.77,13.688,-0.000354490159334492,60.65,1,1,62.5,1.710261106,18838,100,4600.088285,87.6,0.02,NA,2.49,1.95,0.67,0.19,16.05,19.67,0.43,4.49,NA,11.6,2.93,0.34,0.18,19.48,0.43,2.5,10.66,670.91956,NA,9.9,4.9,5.81,4.3,1.4,465.0432088,7.232596158,82.434,81.8,27.45423618,26.76370753,3.2,2,1819,1178,38067913,21,0,3844,3,20089,55.89592523,1019.852305,1,20,214,3581
"30",169.068,0.619501806,2.521965051,3.364083781,51.75453686,210.6904804,281.0429223,13.88320642,56.5179327,75.39004581,0.1623494,19.00103,32.42308,872.6231545,102129.9662,174273.0823,384763,148150,9.0616702,8.0251263,6.9133444,6.9133444,0.23,0.07,5.760243668,7.165732482,11.12474185,25.21947203,31.37297661,48.70629301,2.4,27.31,284.41,73.54,19.48,31.22,22.7,60.2,13.67,1.36,4.74,161.02,1.99,11.8,6.9,16.3,NA,243.34,2,42.38109,6831.216,5.446749,NA,NA,243.33,NA,NA,59.26,1,2,57.26,NA,31195,NA,310.4060324,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.41,71.923409,NA,NA,24.3,23.31,13.3,23.7,2002.559261,NA,72.981,73,23.80060003,25.42787529,12.2,0,196,136,561901,43,5,88,9,505,96.92898273,2357.581574,12,57,26,119
"31",12.837,1.020846914,1.705468567,3.267034795,85.28378563,142.478577,272.9352377,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050,7.9801102,7.6084099,5.7774477,5.7774477,1.03,0.28,211.3721932,327.6010112,426.2713344,337.6809928,523.3641805,680.996517,4.6,43.62,506.18,201.86,16.31,77.35,39.85,77.6,70.42,6.76,24.66,140.1,1.6,7.5,3.7,10.9,3.476,73.720001,1,56.23661,623.4889,1545.000105,1.72,77.6,73.72,NA,NA,24.07,0,0,28.45,NA,97115,6,31.85577603,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51,12.615376,2.319e+10,NA,130.5,131.1,41.7,34.5,11915.67596,NA,53.283,49.5,22.07918352,23.78232058,42.6,22,14800,7142,4919987,600,1791,413,1190,6532,133.3061224,5851.306122,777,3045,544,2122
"32",5.844,0.708813159,1.761556199,3.216645812,59.21580272,147.1642606,268.7256318,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274,7.893766,6.1519716,4.0834561,4.0834561,1.24,0.3,758.6749847,1170.089097,1504.85658,322.6589163,497.6303263,640.0044854,4.6,32.25,328.47,108.11,22.88,50.59,35.45,72.58,39.75,4.04,30,127.98,1.94,6.1,3.1,8.9,4.251,98.139999,1,43.32121,2046.3631,1244.815163,2.24,87.1,98.14,NA,NA,25,0,1,32.98,NA,94563,NA,99.77119413,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,56.241741,2.234e+10,NA,138.7,122.75,42.4,43,7102.314108,NA,54.239,51.1,22.05057441,21.97868164,39.3,80,47731,22314,16914985,999,5921,740,4379,19073,135.8766118,7924.570777,1371,4033,1039,3024
"33",733.723,0.622463862,2.106671037,3.075040316,52.00199348,175.9959095,256.8955987,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864,10.1604348,10.825427,11.9969369,11.9969369,0.35,0.16,19.78179495,46.7489839,81.57838945,1.475934844,3.487977429,6.086626005,18.89,28.96,138.67,45.89,18.62,27.95,23.92,43.92,13.71,0.13,0.67,134.76,4.89,28,24.9,31,6.151,727.16998,4,44.44094,22104.7654,54.862785,7.17,NA,720.4,NA,-0.000712185920304121,59.72,1,0,69.7,NA,21333,93.1,1903.118645,76,0.55,NA,1.56,1.99,1.27,8.05,13.44,19.48,0,49.85,NA,2.99,2.62,0.1,0.1,11.43,0.45,2.11,10.42,613.57904,3.4e+08,NA,8.1,7.88,6.1,7.5,627.4581196,5.37883863,80.181,81.2,27.99180302,28.34360496,4.9,2,1519,1118,19212362,259,2,2213,14,8562,47.70448227,982.8727982,27,261,265,2508
"34",3.293,0.847186882,2.110779841,3.608958352,70.77584646,176.339168,301.5002801,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700,9.8981826,7.6439389,8.2972253,8.2972253,1.58,0.3,268.3886976,837.5005904,1382.527738,0.272490726,0.850300875,1.403658169,36.7,43.8,307.9,132.84,12.13,74.79,10.09,25.64,8.71,0.61,0.61,156.5,3.24,6.2,5.9,6.5,5.771,332.12,3,NA,13101.7064,3294.700605,1.78,5.2,287.7,25.015,2.21573487824284e-06,79.17,1,2,75.89,NA,24811,96.9,762.2437789,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,8.51,246.86253,7.943e+10,26.3,10.7,13.16,7.9,11.5,720.4156658,7.065046376,76.912,75.4,24.27643908,23.59199764,5.5,165,132753,65418,1444216102,179056,3261,361663,4710,2799443,202.2828099,4470.598062,43483,379297,75886,702489
"35",600.693,1.024257877,2.611167317,3.266096458,85.56874495,218.142633,272.856847,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224,8.3281758,8.7073733,8.4604687,8.4604687,0.46,0.17,53.91300802,52.47716538,234.2465834,1.764725833,1.717726626,7.667555793,14.41,39.52,185.27,32.92,22.02,43.08,10,50.39,18.23,0.18,1.09,109.16,2.44,22.3,17.6,26.6,5.709,431.25,3,51.33497,13545.0495,814.191192,5.42,5.4,450.73,19.592,-0.000306246786847009,41.67,1,2,53.57,NA,27188,87.7,852.8121654,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,9.17,156.01645,4.45e+09,18.7,15.9,15.61,13.2,19.4,1160.255384,5.8,77.287,73.7,25.990732,26.75453166,8.5,12,9769,6117,51265841,1418,79,3703,135,7503,15.55703065,399.1229509,283,2111,673,5603
"36",8.05,1.100676758,3.461404191,3.357260846,91.95294552,289.1732824,280.4729195,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106,7.863303,8.0245183,6.0384258,6.0384258,1.5,0.41,36.55028147,54.97979736,70.16465757,175.6912717,264.2789638,337.2701227,3.5,40.48,312.61,85.79,12.07,37.63,23.24,64.6,40.5,3.56,19.82,140.96,2.36,7.8,3.3,12.2,4.609,180.10001,1,45.33459,1724.4206,20.18085,3.89,36,246.86,NA,NA,NA,NA,NA,NA,NA,59673,NA,121.0422012,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,90.556938,2.28e+09,NA,73.5,50.19,28.9,47.6,3404.656635,NA,64.321,62.8,23.36117402,25.76026031,34,1,592,383,888456,40,68,20,27,266,33.75634518,1626.142132,59,168,29,85
"37",16.672,0.986611486,2.575960331,3.876845836,82.42368303,215.2013644,323.8801868,44.85581396,117.1147904,176.2589206,36.00113,77.87475,90.04419,1839910.471,3979946.406,4601890.219,749347,4246301,7.7231127,7.6175358,5.7576397,5.7576397,0.86,0.25,214.3269584,310.307522,416.6726565,235.9875363,341.6682072,458.7829475,3.6,51.12,374.62,122.13,15.38,52.38,41.93,69.02,49.78,3.14,13.14,145.47,2.22,9.6,5.5,13.5,5.213,117.42,2,48.93867,5714.5917,438.7074065,2.75,39.7,117.41,NA,NA,51.85,0,0,54.17,NA,70611,NA,202.6585841,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,88.853043,9.32e+09,NA,45,59.9,25.1,21.5,3457.201389,NA,64.57,61.4,22.39378052,24.22026121,18,7,4385,2418,5657017,326,331,311,292,2042,44.1991342,1653.073593,288,1177,262,1118
"38",260.889,0.942631128,2.736463189,3.879117852,78.7494677,228.6101244,324.069996,15.2863986,44.37649658,62.90662372,0.5103955,4.925115,10.59034,25264.34247,243790.9269,524216.9584,4543420,264432,8.8486617,8.9133927,8.7075053,8.7075053,0.34,0.14,11.65821886,2.804006248,24.73488539,4.412595061,1.061306557,9.362067606,9.7,39.46,130.93,22.05,24.85,27.45,17.23,39.65,15.16,0.4,0.85,109.66,2.53,25.7,21.1,30.4,6.998,731.75,3,48.18792,14686.2539,19.59831,7.04,NA,676.06,NA,NA,54.63,0,1,61.67,NA,23017,100,1286.462817,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,9.82,276.40625,3.3e+08,NA,9.7,8.8,7.5,11.9,704.711585,4.181638798,80.279,79.2,26.9095007,28.10500815,6.2,1,491,374,5139053,54,1,327,5,1502,31.23960067,724.0224626,10,70,59,458
"39",4.625,0.814961923,1.618856167,2.889052155,68.08370288,135.2427876,241.3577406,25.8448894,51.33878944,91.62051781,9.432848,36.85344,68.84484,2305149.306,9006047.975,16823936.43,5199406,17909066,7.3379487,6.312889,4.4236553,4.4236553,0.26,0.08,486.8208205,684.1582321,951.3260614,133.2425572,187.2536846,260.3773541,6,35.07,422.34,139.42,27.81,58.44,47.95,101.94,43.34,4.59,21.59,143,2.4,10.3,5.8,15.2,5.257,116.93,2,41.4748,3713.6436,1331.420136,2.41,58.7,119.31,NA,NA,20.37,1,2,35.71,NA,88856,1.2,189.6011903,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,68.291847,5.166e+10,NA,94.4,94.67,34.2,47.4,5579.573984,NA,57.783,51,23.47829494,24.24784698,37.9,66,45573,25672,27053629,1262,3540,1004,2628,25297,111.4307011,5049.576685,2734,8279,2190,6693
"40",114.487,0.673078637,3.262815203,4.373040879,56.23046257,272.5827237,365.3334068,7.771650708,37.67384477,50.49298014,0.3083222,2.453549,5.311003,12716.84472,101197.3891,219053.9651,4077496,126108,8.3590648,6.3176757,9.2294015,9.2294015,0.21,0.09,0.634493705,1.217902983,6.987970489,0.111150038,0.213351152,1.224146402,58.98,30.22,325.58,88.71,8.95,23.45,18.81,27.81,13.66,0.05,0.31,180.24,4.51,24.4,24.1,24.5,6.508,569.42999,3,29.72947,22012.3147,16.839567,9.62,NA,524.49,NA,NA,33.8,1,1,45.89,NA,24063,97,1656.426156,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94,251.05083,8e+07,NA,4.3,4.59,4.1,5,356.288517,NA,78.488,77,28.1976285,27.03333448,2.6,0,133,101,4081657,303,0,1649,1,7436,175.3773585,3205.613208,18,356,88,1793
"41",11.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10682055,779377,7.2850055,9.5670743,11.7883774,11.7883774,0.38,0.16,26.79787593,51.27562769,133.0067906,2.340771293,4.478881745,11.61802816,35.8,34.34,214.01,56.83,13.13,24.27,10.7,28.74,12.81,0.09,0.8,152.98,2.87,24.6,18.9,30.3,5.418,NA,3,NA,8325.6313,NA,NA,NA,NA,NA,NA,65.28,0,2,71.13,NA,25180,100,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,NA,2.01e+09,NA,5.6,5.71,5.3,10.9,381.9394847,7.735580744,78.802,79.2,25.37309739,26.20142057,2.3,1,432,253,11317498,145,1,2109,9,8639,75.84723442,1583.371378,16,209,231,3098
"42",28.542,0.581570659,2.085576347,3.051524636,48.58568577,174.233613,254.9310472,9.553222324,34.25890599,50.12614175,0.002312479,0.05130247,0.05130247,27.27985227,605.2049781,605.2049781,1160985,0,8.2802862,5.6710975,6.7227887,6.7227887,0.43,0.16,0.561848339,0.506820861,1.041139077,0.482389041,0.435143815,0.893896176,24.8,43.87,187.14,35.42,17.83,30.02,7.54,63.02,10.77,0.15,0.32,126.42,4.07,21.8,21.9,21.6,6.26,1319.55,4,32.73986,27184.4166,NA,NA,NA,835.13,NA,-0.00978953326137889,40.74,2,2,57.74,NA,15789,65,2136.797759,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28,937.77203,NA,NA,3.4,3.2,3.6,11.7,251.0092208,6.708211463,80.982,79.9,27.73522915,26.22650471,1.5,0,28,19,1215588,3,0,182,0,1165,100,1832.532189,0,2,13,166
"43",3.394,0.560192577,2.049379486,3.24618016,46.79971401,171.2096479,271.1929958,36.02248181,131.7827803,208.7415482,28.68827,87.43453,95.51018,23351897.19,71170626.73,77744106.01,21868430,54328189,6.2299002,6.064558,4.3320325,4.3320325,1.21,0.3,2637.781537,3663.685833,4972.133082,220.8595465,306.7577737,416.3131186,4.4,48.24,353.13,136.68,11.47,58.92,31.39,55.64,51.98,3.99,16.71,114.31,1.8,6.7,3.6,9.7,4.311,46.470001,1,42.09971,859.3817,19144.25821,1.4,75.1,45.83,NA,NA,37.96,0,1,33.57,NA,92831,10,33.97361777,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,12.715207,5.183e+11,9.3,98.3,87.31,36.1,26.3,5794.176295,NA,60.681,58.1,21.44356804,22.70869215,30.1,253,160849,80224,92377986,5631,15506,3558,9529,46546,60.24046254,3014.548138,6520,25133,4199,16041
"44",122.406,0.303741478,1.74842859,2.389893956,25.37522787,146.0675513,199.6569721,4.451481478,25.62408513,35.02507712,0.1092044,0.1425427,0.1710614,6295.611819,8217.558146,9861.655498,5660749,22734,5.3713457,3.2946986,5.0148581,5.0148581,0.34,0.12,8.074058217,4.378149493,7.934043856,1.059482007,0.574502993,1.041109252,40.1,34.51,137.43,36.95,8.07,37.99,10.96,28.41,14.97,0.07,0.44,169.05,3.75,19.7,22.3,17,7.515,1588.9,4,28.16634,46312.3443,NA,26.44,NA,1492.02,5.672,-0.00146216485031388,38.89,2,0,56.55,1.815271616,20451,100,5083.20928,85.7,0.05,0.11,2.34,2.42,1.43,NA,NA,NA,0.04,57.6,NA,18.23,6.22,0.47,0.19,NA,0.63,2.5,10.95,697.55823,NA,10.5,3.5,4.05,3.4,4.3,322.1204886,9.804800291,80.898,80,26.27862334,24.55769869,2.5,0,194,130,5813302,11,0,970,0,6194,109.2608926,1968.724643,0,11,32,936
