"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_healthy_diet_2017_usd_per_day","healthy_diet_cost_percent_cannot_afford","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","liver_disease_ihme_2017","hepatitis_ihme_2017","prevalence_of_obesity_male_who_2019"
"136","Peru",1038.977,3.591001371,22.43048,7.4633108,108.51,21.3,0.29,15.2
"137","Philippines",64.363,4.07534677,64.24689,6.129182,427.92,19.18,1.21,5.2
"138","Poland",121.94,3.097216182,0.449238,9.2658867,283.08,15.09,0.09,23.7
"139","Portugal",232.526,2.688893108,0.9322764,7.7590325,155.11,12.6,0.18,20.3
"140","Qatar",79.832,3.55678598555,63.6051708,13.1857956,187.72,12.09,0.37,32.5
"141","Romania",341.725,3.306929619,11.02077,8.3916512,430.29,33.93,0.45,23.4
"142","Russia",182.198,3.398629889,2.541048,10.2981062,562.81,25.92,0.15,18.1
"143","Rwanda",2.702,3.607720503,91.14971,2.9881491,268.13,26.66,4.55,1.9
"144","Saint Kitts and Nevis",392.08724,3.50610046561,60.65144118,16.9508768,497.4616,28.5464,1.5873,15.3
"145","Saint Lucia",213.74471,3.481056905,17.73234,15.4551671,215.09,15.82,0.15,12
"146","Saint Vincent and the Grenadines",321.03958,3.49810274562,61.926054,11.666134,366.32,15.88,0.1,16.6
"147","Samoa",119.75637,3.52017157501,63.09972978,25.1065113,389.59,18.22,0.86,39.9
"148","San Marino",1237.551,3.52961935069,59.3781944,7.833078244,353.5399,31.0606,1.3047,14.15
"149","Sao Tome and Principe",68.443,3.2009921,81.26451,5.7104621,293.65,69.35,1.83,7.2
"150","Saudi Arabia",153.071,3.52363660941,55.53731743,13.8250458,301.43,19.1,0.97,30.8
"151","Senegal",19.231,3.178888156,77.24802,5.2602757,356.79,32.31,3.85,4
"152","Serbia",117.274,4.336531784,23.87022,8.4988801,398.67,9.24,0.06,21.1
"153","Seychelles",193.58351,3.840847424,5.710876,10.5117947,289.36,22.32,1,7.6
"154","Sierra Leone",9.277,2.770219681,85.57656,4.6419825,386.95,36.69,4.91,3.8
"155","Singapore",4.786,3.56320321273,69.22835298,7.6571868,111.1,3.59,0.09,5.8
"156","Slovakia",32.237,3.333447784,2.348883,8.1008882,356.91,21.04,0.08,21
"157","Slovenia",92.355,3.041276348,0.01920434,9.8495225,190.44,16.27,0.03,19.4
"158","Solomon Islands",131.9457,3.55310133639,64.4181018,11.7706089,666.43,26.4,2,17.9
"159","Somalia",6.544,3.64113053391,73.8623148,4.5081573,473.9,40.43,6.26,3.9
"160","South Africa",321.251,4.276109309,61.10259,11.7505881,249.35,11.73,0.54,15.4
"161","South Korea",8.992,4.860810844,1.228063,8.4375467,123.61,14.51,0.21,4.4
"162","South Sudan",5.003,3.60241988229,76.4522437000001,4.605612312,326.17,26.75,4.32,3.815
"163","Spain",754.96,2.715095317,1.480493,8.2329689,117.28,9.64,0.18,24.6
"164","Sri Lanka",0.887,4.050519973,45.437,8.4048689,226.84,21.57,0.07,2.9
"165","Sudan",19.088,4.232425264,81.57917,7.1762183,449.28,20.8,0.84,9.987
"166","Suriname",189.215,3.55147958532,61.1614889,13.4875486,331.98,20.81,0.38,18.9
"167","Sweden",585.983,2.889616398,0.3404294,5.9741604,166.31,6.35,0.06,23.1
"168","Switzerland",222.887,2.45778473,0.02182594,4.3539265,130.34,6.87,0.65,22.2
"169","Syria",15.714,3.65534503638,67.9691092,12.6454502,432.24,12.48,0.06,20.9
"170","Tajikistan",8.493,3.217305785,34.01277,7.597814,515.37,28.61,1.53,11.6
"171","Tanzania",0.352,2.670800338,84.53875,4.455715,327,29.07,5.21,4
"172","Thailand",0.845,5.012801356,19.70135,10.1013816,132.19,15.63,0.49,7
"173","Timor",50.84214,3.63906348204,67.2570462,4.1040317,329.97,16.14,0.85,2.6
"174","Togo",6.523,6.206968342,97.28955,4.9975307,386.86,34.26,4.32,3.9
"175","Tonga",223.98023,3.5048226199,61.81588358,24.5182123,274.78,18.7,8.97,41.4
"176","Trinidad and Tobago",75.742,4.08868259,7.340323,14.0860047,304.78,12.6,0.3,10.8
"177","Tunisia",83.174,3.447835621,13.31939,12.6824945,282.73,12.18,0.44,19.1
"178","Turkey",117.976,3.440223518,6.668437,14.205187,193.37,7.08,0.7,24.4
"179","Turkmenistan",61.59934,3.62729922179,67.0990574,10.3663717,602.58,54.07,1.45,15.9
