"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"67","Grenada",13.678,1.100676758,3.338161179,4.582558116,25.25250389,47.62601951,85.57756047,0.996795,3.472017,12.04238,8825.577048,61.55602964,181760.3028,104687,2136
"68","Guatemala",204.571,0.87682579,2.324307773,3.665605709,13.88320642,66.25018108,81.01324794,15.93032,24.74539,48.85315,76381.42315,0,44919.50634,10385302,5867127
"69","Guinea",5.406,0.903217626,2.214249044,4.147675709,24.58392943,60.2678033,112.8921358,8.894817,59.42562,90.28445,1073385.51,7171209.869,10895111.21,2430398,9661135
"70","Guinea-Bissau",20.833,0.925029393,1.857224191,3.778343141,26.10351682,52.4092351,106.6215241,45.31672,78.24714,92.62132,828455.804,1430471.96,1693252.957,368269,1402257
"71","Guyana",151.292,0.726962015,3.605647519,4.771648186,18.50998834,91.80740137,121.4962411,3.969284,25.4164,39.30348,30770.72312,197033.2702,304688.8307,643246,125268
"72","Haiti",20.346,1.094127898,2.928761213,4.698406729,41.09860075,110.0127216,176.4857132,14.42873,60.68664,82.16744,1584615.938,6664828.918,9023928.994,2956253,7754808
"73","Honduras",266.442,1.145273549,3.471640373,3.649055412,32.60270703,98.82780761,103.8783133,12.80576,46.9657,48.85315,1207456.775,4428401.959,4606369.864,7401645,1559184
"74","Hungary",163.348,0.45006955,2.342294252,3.721089004,6.690511856,34.81939065,55.31587313,0.3069299,1.281289,3.021302,30042.19426,125412.1317,295724.0125,9646167,196861
"75","Iceland",32.234,0.382420976,2.450969495,2.386684087,4.271764756,27.37811411,26.66002552,0,0.01792546,0.01792546,0,61.55602964,61.55602964,326845,3970
"76","India",86.963,0.788195593,2.124408033,3.219106537,27.32972627,73.66127208,111.6186151,0.6541131,42.66327,71.48567,8756342.804,571115633.2,956949237.2,518385376,790668604
"77","Indonesia",49.4,1.020366482,2.663409884,5.056987635,20.86858118,54.47217871,103.4257385,1.066842,35.58759,71.30388,2823353.463,94181092.86,188702785,156962565,101199548
"78","Iran",396.45,0.870882295,2.008571733,3.459457249,21.81011213,50.30206145,86.63759836,0.03890009,2.204791,10.49139,31382.23955,1778692.011,8463818.828,71424438,7936049
"79","Iraq",266.617,1.164338457,2.504804723,3.919958686,25.02542643,53.83641323,84.25268194,0.706506,18.24499,50.81578,265312.6509,6851501.138,19082738.58,30914996,5200653
"80","Ireland",382.762,0.577231411,2.058216272,2.470563485,11.81372843,42.12384777,50.56302468,0.1854279,0.3040497,0.3353735,8914.238613,14616.84879,16122.70539,4232536,444299
"81","Israel",286.868,0.508129071,1.918522938,2.675549201,6.230197422,23.52311126,32.80505032,0,0.4831344,0.9977683,0,42096.94968,86938.54528,8380100,0
"82","Italy",623.534,0.316287353,2.256911343,3.093535301,3.563861467,25.43041726,34.85732559,0.996795,1.881131,2.472911,603426.8885,1138774.799,1497018.936,60426929,303653
"83","Jamaica",66.19,1.014786055,4.057104501,5.497522295,15.58050759,62.29071352,84.40615377,0.876297,34.51796,52.39908,25595.34721,1008218.87,1530500.1,2349242,522692
"84","Japan",13.678,3.034385921,3.649771285,5.199124462,35.14447641,42.27191404,60.21663419,0.9434035,1.209406,1.616443,1196101.646,1533355.036,2049420.141,127141000,0
"85","Jordan",65.47,0.643548024,1.610624012,4.130602626,13.79841212,34.53363704,88.5648859,0,0.3593719,19.90089,0,35143.59981,1946142.462,9031072,128230
"86","Kazakhstan",118.285,0.652794041,1.759645705,2.796565717,7.72641415,20.82701529,33.09991139,0,0.1029689,1.16534,0,18573.29953,210201.4188,17105523,438603
"87","Kenya",17.37,0.766345623,1.851108442,3.084440941,21.26219634,51.35885164,85.57756047,10.6535,55.18997,78.95827,5350344.626,27717215.88,39654006.25,14218114,33018145
"88","Kiribati",114.487,0.677560681,2.521965051,2.768451443,9.50114393,28.80645084,32.48230717,0.1681227,0.01792546,0.02182594,7844.028316,32787.82392,1327312.851,44626,67781
"89","Kuwait",177.026,0.449308988,2.174897893,3.041276348,5.952627554,33.80316664,40.5431238,0,0.2406784,0.3404294,0,605.2049781,605.2049781,3935794,0
"90","Kyrgyzstan",174.428,0.964181593,2.45844371,3.641826927,21.95190177,55.97235545,82.91490687,0.2792233,22.42636,57.584,17306.81858,1390030.646,3569171.488,5557788,399112
"91","Laos",9.566,0.723769965,2.901042564,5.015950742,17.14388809,68.71679056,118.8124714,0.5873047,57.43221,83.7078,40835.50135,3993281.663,5820232.632,4724753,1939214
"92","Latvia",33.4,0.448210108,2.058050542,3.328510193,6.133481535,28.16316446,45.54862871,0.1421721,1.378721,2.62944,2761.334769,26778.18105,51070.24581,1736269,241258
"93","Lebanon",86.441,0.581570659,2.270001586,1.887692082,9.986639878,19.22181205,33.09991139,0.1356052,0.4716394,1.807866,1956.844828,592576.2305,19979.73279,4722144,1129335
"94","Lesotho",20.072,0.607529939,2.306327231,4.189361766,23.5681349,89.47021014,162.5194693,6.356867,51.53199,76.94296,132948.2793,1077746.223,1609194.299,658917,1515728
