"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","total_confirmed_deaths_due_to_covid_19_per_million_people.y","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"53","El Salvador",148.315,9.3025743,10.6596175,9.6655712,0.42,0.16,28.81949485,8.679004675,22.25008242,31.99449956,5.95,41.37,179.53,25.27,69.3,23.07,25.7,116.48,15.27,0.14,1.83,98.27,2.47,24.6,18.9,28.9,148.315,1.459323301,5.867017476,4.686519279,121.9150627,490.1434817,391.5220784,27.08448184,108.8895985,86.98000382,2.749257,54.69082,41.0972,175625.8913,3493716.304,2625339.275,4734359,1578120,148.315,5.462
"54","Equatorial Guinea",59.16,9.4867882,9.1859882,7.3285951,1.08,0.31,17.85461943,96.82594982,91.53464588,191.6530649,4.6,49.24,238.66,65.36,11.01,32.48,29.25,60.57,28.6,1.8,9.17,129.09,2.54,8,3.8,12.6,59.16,0.652794041,3.019520007,4.08868259,NA,NA,NA,10.43814427,34.90636262,50.56302468,0,2.007663,2.62944,66258.81917,65943.66745,127761.1958,875665,299724,59.16,4.803
"55","Eritrea",30.065,5.9635541,5.0479592,3.3054191,0.95,0.19,212.6662146,308.4783183,447.8212194,580.3169254,3.5,42.32,386.59,134.02,13.53,51.58,35.39,70.74,55.09,5.12,26.25,157.28,2.19,5,2,7.6,118.173,0.613036548,2.557932049,3.481056905,NA,NA,NA,17.28115243,43.74850452,84.40615377,0,2.216301,12.04238,48673.25643,1430471.96,3020425.13,666729,3807961,222.887,6.998
"56","Estonia",55.03,7.7077688,6.5439834,9.507434,0.19,0.07,0.079756048,0.044648951,0.125347926,0.279568036,60.51,27.81,326.4,45.83,8.79,10.48,14.09,19.43,12.91,0.05,0.41,144.09,4.19,21.2,20.3,21.8,55.03,0.424691275,2.599478188,3.287714057,35.47963869,217.1660976,274.6628285,5.054385528,30.93721416,39.12812747,0.1485402,0.6071837,0.7833411,1956.844828,7998.940914,10319.61032,1278576,36831,55.03,6.453
"57","Eswatini",35.49,7.3902467,5.7613617,5.2926449,0.35,0.11,0.629721401,2.566411094,0.027228763,0.576094822,16,39.46,282.73,60.52,24.71,19.5,15.03,64.99,10.1,0.23,0.9,127.98,3.78,22.7,22.3,23.1,86.963,0.930994443,2.243610657,3.202414589,77.7773135,187.4361451,267.5367242,15.26028991,36.77588985,52.49201585,15.93032,52.68501,66.43794,179176.7521,592576.2305,747262.7233,4722144,444299,8.812,4.396
"58","Ethiopia",12.569,5.7992061,5.0238509,3.5951689,1,0.19,4641.117043,271.5362876,404.0582705,497.6970731,2.6,39.37,360.35,106.98,17.09,47.16,39.55,70.74,50.53,5.17,23.59,151.75,2.13,4.5,1.9,6.9,12.569,0.720331215,2.003412194,3.647435865,60.17804634,167.3694398,304.7147757,50.71781197,141.0582811,256.8123699,5.599133,52.99223,87.36121,5957478.856,56383745.44,92952348.41,27964449,71908584,12.569,4.549
"59","Fiji",2.231,15.946039,18.8754833,18.30089,0.47,0.22,3.306182604,11.43925761,36.19642133,80.6124833,0.4,41.41,482.67,101.87,83.75,70.5,10.82,459.95,19.12,1.05,3.64,122.79,2.63,30.2,25.1,35.3,2.231,0.848623732,2.557932049,3.955216302,70.89588406,213.6952422,330.4274271,10.98752775,33.11874072,51.21003245,0.03736218,7.515299,28.74499,327.837811,65943.66745,252225.5018,812748,79401,2.231,7.137
"60","Finland",63.891,6.4035424,4.3160987,6.8101355,0.24,0.1,1.141119764,0.140951943,0.097920714,0.127576953,31.41,52.29,179.76,43.04,4.09,14.58,12.59,11.61,11.9,0.03,0.22,116.43,4.39,22.2,23.7,20.6,63.891,0.281521543,2.48,2.574301349,23.51892593,207.1846282,215.0627693,3.962456887,34.90636262,36.2336679,0.06272282,0.09872849,0.09872849,3454.907152,5438.176508,5438.176508,5348022,131509,63.891,7.889
"61","France",544.493,7.4588522,4.425538,6.6258572,0.23,0.08,29.55886606,0.333688042,0.291784228,0.595821029,43.64,36.62,109.08,25.02,6.13,14.64,10.57,21.03,10.35,0.07,0.3,148.79,3.76,21.6,22,21.1,544.493,0.319270299,1.903125749,2.994268773,26.67253963,158.9912906,250.1477672,4.059037715,24.19535799,38.06758693,0.002388263,0.02060666,0.0396873,1596.915494,13778.67288,26536.97029,65757955,866113,544.493,6.714
"62","Gabon",24.262,10.0069996,9.9846067,8.3337097,0.6,0.21,45.21394737,102.0798828,134.5923536,193.4492121,9.5,55.58,308.36,94.28,16.72,36.52,51.18,77.36,41.84,2.7,11.49,146.79,2.59,15,9.6,20.3,24.262,0.9553951,2.569921043,3.759603537,79.8157978,214.696829,314.0855085,21.99218217,59.15685746,86.54208702,1.150285,15.18224,32.0472,23751.34925,313486.3834,661717.9565,808743,1121432,24.262,4.914
"63","Gambia",49.241,9.4400826,7.9299876,5.2351226,0.24,0.07,60.67364177,135.5411193,186.2397262,255.1472221,4.9,34.41,320.01,92.04,19.24,45.93,29.34,61.6,29.59,2.55,22.42,123.15,2.22,10.3,5.6,14.8,49.241,0.98305743,2.529438269,3.849925952,82.12676944,211.3148095,321.6312408,38.99404664,100.3329315,152.7115177,3.858992,47.66144,73.06253,85433.99235,1055173.76,1617526.968,1164801,812789,49.241,5.164
"64","Georgia",63.422,13.278765,12.0605641,14.9822181,0.28,0.11,0.536494789,0.153549655,0.786544498,0.828590963,31.6,27.94,490.35,149.05,12.9,30.94,24.49,35.78,9.26,0.64,0.84,123.01,3.68,21.7,19.2,23.8,63.422,1.046312885,2.504804723,3.641826927,NA,NA,NA,8.387502822,35.75432177,55.31587313,0.2792233,18.24499,27.84136,17333.63315,42096.94968,524216.9584,3207857,509243,63.422,5.123
"65","Germany",121.539,6.0163501,3.9049721,6.401131,0.29,0.12,94.47881279,0.735746351,0.632591931,0.837584097,39.52,37.13,186.93,29.92,12.41,23.73,13.28,30.6,12.76,0.15,0.24,143.53,3.57,22.3,24.2,20.4,121.539,0.266420584,2.258621347,2.778415742,22.25735877,188.690171,232.1149325,3.672619731,31.13519677,38.30058588,0,0.2406784,0.2406784,0,198937.5499,198937.5499,81033118,653493,121.539,7.312
"66","Ghana",10.17,6.4065812,6.6002139,4.9698628,0.25,0.08,584.1093525,93.04392962,129.186803,182.6035317,2.4,33.12,362.74,144.5,18.77,39.15,39.88,86.46,30.99,3.01,23.06,122.03,2.4,10.9,4.5,16.6,10.17,0.823971445,2.514906339,4.250567979,68.83637802,210.1007802,355.1017527,50.05460845,152.7755032,258.2134578,5.28721,34.26132,60.90227,1539713.327,9977400.368,17735636.9,4109840,23472981,10.17,5.319
"67","Greece",56.893,7.2485658,6.015919,8.8226583,0.19,0.08,0.826121662,0.049080746,0.070613049,0.04444547,46.22,40.43,215.53,56.54,11.93,24.69,6.23,21.49,8.24,0.61,0.34,138.73,3.68,24.9,24.2,25.4,56.893,0.677560681,2.580448916,3.085863011,56.60490235,215.5763506,257.7997503,7.706613058,29.35017021,35.09877836,0.45555,2.04858,2.895735,48992.94018,220318.2031,311427.0039,10712674,108209,56.893,5.788
"68","Grenada",16.048,8.8060987,13.254356,12.1055568,0.59,0.24,0.200695424,1.80703512,3.165020311,6.961865065,18.6,32.62,340.45,109.34,44.15,24.6,19.14,153.24,21.94,0.25,1.33,201.04,2.74,21.3,13.3,29,16.642,0.615534816,2.243610657,3.2009921,NA,NA,NA,38.52634765,89.47021014,118.7355716,14.84323,54.05105,87.36121,603426.8885,3493716.304,5820232.632,104687,2136,234.833,4.947
"69","Guatemala",204.571,8.933383,10.3592865,8.225591,0.61,0.22,157.2738973,27.16939881,55.69319736,94.25357628,5.7,41.48,165.83,38.57,50.47,21.5,43.44,118.24,25.61,0.47,2.16,112.08,2.33,21.2,15.1,26.4,204.571,0.619501806,1.610624012,2.976252719,NA,NA,NA,30.79742586,52.4092351,99.38059775,3.748323,10.93528,32.42308,30042.19426,0,1327312.851,10385302,5867127,204.571,6.262
"70","Guinea",5.406,6.7504811,6.0544232,4.5085532,0.35,0.09,475.096115,192.2882471,275.6474018,371.0414196,7.5,34.31,382.26,137.19,19.77,61.4,39.63,83.14,41.02,4.09,28.13,139.54,2.17,7.7,3.7,11.5,5.406,0.903217626,2.214249044,4.147675709,75.45677748,184.9832117,346.5059072,24.58392943,60.2678033,112.8921358,8.894817,59.42562,90.28445,1073385.51,7171209.869,10895111.21,2430398,9661135,5.406,4.768
"71","Guinea-Bissau",20.833,7.3624409,6.8439213,5.0856492,0.28,0.08,74.40035852,289.0878517,418.1746838,560.6500587,2.4,33.85,495.16,170.77,32.36,73.71,52.51,112.28,47.53,5.28,33.15,165.51,2.14,9.5,5,13.7,20.833,0.925029393,1.857224191,3.778343141,77.27898019,155.156574,315.651056,26.10351682,52.4092351,106.6215241,45.31672,78.24714,92.62132,828455.804,1430471.96,1693252.957,368269,1402257,20.833,4.472
"72","Guyana",151.292,9.0633936,12.596474,10.9003648,0.6,0.24,3.6719118,14.14279139,15.44795689,35.62518264,7.2,32.8,495.73,155.97,36.09,24.93,36.36,159.01,26.08,0.9,1.54,128.21,2.71,20.2,12.7,27.1,151.292,0.726962015,3.605647519,4.771648186,60.73199795,301.2236858,398.6339337,18.50998834,91.80740137,121.4962411,3.969284,25.4164,39.30348,30770.72312,197033.2702,304688.8307,643246,125268,151.292,5.993
"73","Haiti",20.346,8.5517711,8.7666628,7.0955362,0.35,0.14,92.30855875,34.04920955,53.43482525,71.94072837,10.1,32.61,544.45,184.3,38.25,55.62,22.18,134.81,38.48,0.93,8.02,176.74,2.36,22.7,17.9,26.9,20.346,1.094127898,2.928761213,4.698406729,91.4058394,244.6751222,392.515182,41.09860075,110.0127216,176.4857132,14.42873,60.68664,82.16744,1584615.938,6664828.918,9023928.994,2956253,7754808,20.346,3.615
"74","Honduras",266.442,8.4891994,9.972857,7.8857192,0.49,0.18,60.75258714,19.99434854,59.69227316,91.65929217,14.7,48.16,315.58,56.11,58.97,56.37,34.33,104.03,50.69,0.52,2.61,118.55,2.65,21.4,15.6,26.9,266.442,1.145273549,3.471640373,3.649055412,95.67865908,290.0284355,304.8500762,32.60270703,98.82780761,103.8783133,12.80576,46.9657,48.85315,1207456.775,4428401.959,4606369.864,7401645,1559184,266.442,5.93
"75","Hungary",163.348,8.9001676,6.6882506,9.4248907,0.26,0.11,4.840916635,0.389035322,1.772578876,3.750201704,78.66,30.13,361.76,74.59,8.6,32.23,26.66,27.37,17.64,0.06,0.51,202.73,4.43,26.4,28.2,24.6,163.348,0.45006955,2.342294252,3.721089004,37.59979528,195.6803887,310.8679202,6.690511856,34.81939065,55.31587313,0.3069299,1.281289,3.021302,30042.19426,125412.1317,295724.0125,9646167,196861,163.348,6.038
"76","Iceland",32.234,7.6316878,4.1564257,5.2995146,0.27,0.1,0.133755738,0.413668974,0.249223918,0.372312934,25.06,43.88,147.84,31.21,5.54,22.17,3.55,15.54,9.83,0.04,0.39,144.51,4.33,21.9,24.2,19.4,32.234,0.382420976,2.450969495,2.386684087,31.94828534,204.7593563,199.3888126,4.271764756,27.37811411,26.66002552,0,0.01792546,0.01792546,0,61.55602964,61.55602964,326845,3970,32.234,7.575
"77","India",86.963,9.053893,8.3259159,7.5498721,2.58,0.5,118987.3967,232.1997819,357.3986305,627.3343008,7.9,26.27,344.27,85.07,27.09,138.8,19.45,80.67,23.45,6.53,5.71,86.89,2.74,3.9,2.7,5.1,86.963,0.788195593,2.124408033,3.219106537,65.84758505,177.477697,268.9312061,27.32972627,73.66127208,111.6186151,0.6541131,42.66327,71.48567,8756342.804,571115633.2,956949237.2,518385376,790668604,86.963,4.225
"78","Indonesia",49.4,7.4193282,7.9842802,7.347647,1,0.24,7272.128659,82.43602785,141.0874781,324.0416058,18.6,48.38,384.93,149.73,20.78,62.84,27.91,83.27,45.3,2.98,1.84,82.91,3.06,6.9,4.8,8.9,49.4,1.020366482,2.663409884,5.056987635,85.24364932,222.5070914,422.4718158,20.86858118,54.47217871,103.4257385,1.066842,35.58759,71.30388,2823353.463,94181092.86,188702785,156962565,101199548,49.4,5.347
"79","Iran",396.45,11.3852069,12.860293,11.0630794,0.41,0.17,43.26512702,1.328461976,1.717950402,6.331786323,6.7,47.64,352.24,67.36,20.78,31.62,8.54,59.15,10.94,1.48,1.41,104.48,4.73,25.8,19.3,32.2,396.45,0.870882295,2.008571733,3.459457249,72.75541312,167.800479,289.0106306,21.81011213,50.30206145,86.63759836,0.03890009,2.204791,10.49139,31382.23955,1778692.011,8463818.828,71424438,7936049,396.45,4.865
"80","Iraq",266.617,17.2299941,17.4914421,13.7771144,0.35,0.16,3.099555605,0.310474336,1.206877849,2.430517449,21.1,50.31,613.13,129.92,50.48,41.87,10.24,142.58,6.93,1.52,3.37,99.31,3.12,30.4,23.4,37,266.617,1.164338457,2.504804723,3.919958686,97.27138321,209.2568691,327.4819287,25.02542643,53.83641323,84.25268194,0.706506,18.24499,50.81578,265312.6509,6851501.138,19082738.58,30914996,5200653,266.617,4.785
"81","Ireland",382.762,7.3088405,5.1438133,6.2155942,0.17,0.07,0.851403099,0.191230184,0.301368238,0.190721865,35.14,42.09,159.45,29.93,9.19,34.72,6.61,22.99,11.65,0.15,0.32,152.01,3.92,25.3,25.1,25.5,382.762,0.577231411,2.058216272,2.470563485,48.22317552,171.9478924,206.3962812,11.81372843,42.12384777,50.56302468,0.1854279,0.3040497,0.3353735,8914.238613,14616.84879,16122.70539,4232536,444299,382.762,7.035
"82","Israel",286.868,7.0922374,5.7613617,6.7878403,0.29,0.12,6.588797326,0.961916049,1.312140647,1.318646414,28.12,40.79,119.21,26.23,22.52,18.42,7.31,56.8,10.34,0.16,0.37,134.5,3.95,26.1,25.9,26.2,286.868,0.508129071,1.918522938,2.675549201,42.45021475,160.2776055,223.5212365,6.230197422,23.52311126,32.80505032,0,0.4831344,0.9977683,0,42096.94968,86938.54528,8380100,0,286.868,7.195
"83","Italy",623.534,7.0540891,4.6222522,7.4494739,0.23,0.08,21.33296377,0.215294503,0.244277146,0.348357987,44.23,49.15,144.02,31.69,8.78,19.04,10.14,26.86,9.26,0.39,0.22,143.27,3.96,19.9,20.1,19.5,623.534,0.316287353,2.256911343,3.093535301,26.42333779,188.5473135,258.4407102,3.563861467,25.43041726,34.85732559,0.996795,1.881131,2.472911,603426.8885,1138774.799,1497018.936,60426929,303653,623.534,6.488
"84","Jamaica",66.19,9.2817333,14.4098648,14.500917,0.49,0.21,3.770326911,2.305956156,3.554869136,6.261661563,22.1,31.1,248.65,105.69,30.32,27.8,8.43,147.02,13.58,0.27,1.73,158.63,2.78,24.7,15.3,33.4,66.19,1.014786055,4.057104501,5.497522295,84.77744822,338.9393902,459.2750456,15.58050759,62.29071352,84.40615377,0.876297,34.51796,52.39908,25595.34721,1008218.87,1530500.1,2349242,522692,66.19,6.309
"85","Japan",13.678,8.3588827,5.0036277,8.4964572,1.36,0.2,139.8796285,0.552538258,0.371552068,1.682813956,30.22,48.28,94.69,31.75,9.7,12.67,8.24,16.2,6.87,0.23,0.2,120.91,2.69,4.3,4.8,3.7,13.678,3.034385921,3.649771285,5.199124462,253.4992416,304.9098818,434.3462374,35.14447641,42.27191404,60.21663419,0.9434035,1.209406,1.616443,1196101.646,1533355.036,2049420.141,127141000,0,13.678,6.118
"86","Jordan",65.47,16.510798,17.1804625,13.4508012,0.36,0.18,1.704340143,0.692248746,0.58631406,2.296069241,15.3,49.27,297.16,72.66,40.39,22.19,11.8,95.57,11.48,0.6,0.78,97.41,3.4,35.5,28.2,43.1,65.47,0.643548024,1.610624012,4.130602626,53.76341055,134.5550553,345.0795845,13.79841212,34.53363704,88.5648859,0,0.3593719,19.90089,0,35143.59981,1946142.462,9031072,128230,65.47,4.094
"87","Kazakhstan",118.285,12.3560972,11.3681004,11.6856272,0.31,0.12,0.629721401,0.084860287,0.451968472,0.457529495,52.04,26.4,534.53,136.11,11.76,46.9,49.78,25.93,13.69,0.22,1.06,121.92,3.41,21,18.9,22.7,118.285,0.652794041,1.759645705,2.796565717,54.53584305,147.0046538,233.6312211,7.72641415,20.82701529,33.09991139,0,0.1029689,1.16534,0,18573.29953,210201.4188,17105523,438603,118.285,6.168
"88","Kenya",17.37,5.8172238,6.1624503,4.2423771,0.42,0.11,1989.655712,243.664114,343.3062231,451.5044224,4.1,35.16,225.89,74.35,8.37,34.06,19.56,41.49,38.5,3.54,17.21,85.11,2.21,7.1,2.8,11.1,17.37,0.766345623,1.851108442,3.084440941,64.0221907,154.645651,257.6809474,21.26219634,51.35885164,85.57756047,10.6535,55.18997,78.95827,5350344.626,27717215.88,39654006.25,14218114,33018145,17.37,4.547
"89","Kiribati",6.716,22.0139868,22.5987826,22.2192174,0.41,0.24,2.445712242,105.530253,343.5105764,489.2744147,5.7,66.53,498.79,196.77,50.5,131.29,33.35,312.45,67.44,2.95,13.01,143.87,3.06,46,41.6,50.4,33.4,0.661079505,2.528955099,2.994268773,NA,NA,NA,11.10858749,29.56698225,41.17649176,0.005172975,1.281289,6.668437,0,42096.94968,1078818.998,44626,67781,114.487,6.25
"90","Kuwait",177.026,19.6593654,19.6190961,14.6246098,0.55,0.28,0.205670854,0.229314705,0.160623725,0.998644482,12.28,49.61,245.7,47.47,19.5,13.71,8.96,48.74,8.11,0.23,0.55,81.8,4.34,37.9,33.3,45.6,177.026,0.870882295,2.110779841,3.267034795,NA,NA,NA,14.4642141,48.68151357,77.30379553,0.5017389,17.94588,22.43048,48992.94018,2022778.206,9023928.994,3935794,0,177.026,6.106
"91","Kyrgyzstan",174.428,9.9323155,10.8247126,9.3400427,0.43,0.14,0.319665999,0.184566349,1.077467215,0.967095582,22.15,27.53,574.47,143.43,11.18,52.89,49.2,26.46,8.96,0.69,1.08,96.57,3.36,16.6,14,18.6,174.428,0.964181593,2.45844371,3.641826927,80.54984068,205.3837686,304.2461928,21.95190177,55.97235545,82.91490687,0.2792233,22.42636,57.584,17306.81858,1390030.646,3569171.488,5557788,399112,174.428,6.25
"92","Laos",124.564,7.7291924,7.5895286,5.7492174,0.86,0.17,85.56568558,49.4408897,115.8351563,158.6960986,16.9,49.87,443.23,171.64,29.84,84.9,25.05,93.03,33.9,1.24,4.86,123.14,2.8,5.3,3.7,6.7,0.352,0.723769965,2.901042564,5.015950742,60.46532703,242.3594456,419.0435039,17.14388809,68.71679056,118.8124714,0.5873047,57.43221,83.7078,40835.50135,3993281.663,5820232.632,4724753,1939214,7.353,5.284
"93","Latvia",33.4,7.8315259,6.5982073,9.5992022,0.21,0.09,0.144786768,0.052108848,0.206219792,0.3503851,56.63,28.15,423.55,112.19,6.1,9.69,14.14,22.42,15.36,0.41,0.43,153.46,4.08,23.6,21.6,25.1,33.4,0.448210108,2.058050542,3.328510193,37.44445349,171.9340469,278.071027,6.133481535,28.16316446,45.54862871,0.1421721,1.378721,2.62944,2761.334769,26778.18105,51070.24581,1736269,241258,33.4,6.229
"94","Lebanon",86.441,14.4658527,12.2357376,11.051152,0.43,0.2,3.794317521,1.219445717,0.463239709,6.350863084,29.1,47.34,217.53,25.17,11.09,19.23,9.24,37.54,5.66,0.25,0.64,134.32,3.62,32,27.4,37,86.441,0.723769965,2.309871612,4.148056121,NA,NA,NA,59.09355178,149.197478,188.4768469,8.035439,49.44025,77.60098,9117.761038,3493716.304,3020425.13,4722144,1129335,86.441,4.024
"95","Lesotho",20.072,7.3050801,9.8530791,7.5376578,0.3,0.12,129.9835286,243.4497465,345.873382,454.2913849,11.3,32.64,501.31,199.94,33.31,144.87,18.68,197.82,37.26,1.08,8.64,168.44,1.86,16.6,4.6,26.7,20.072,0.607529939,2.306327231,4.189361766,50.75438087,192.675625,349.9884516,23.5681349,89.47021014,162.5194693,6.356867,51.53199,76.94296,132948.2793,1077746.223,1609194.299,658917,1515728,20.072,3.512
"96","Liberia",16.213,7.7892159,7.6008282,5.6957736,0.28,0.08,223.6108744,288.1781619,391.603142,544.7433448,1.6,32.67,346.06,114.1,26.69,36.09,41.05,87.07,34.95,3.46,19.99,134.02,2.07,9.9,5.5,14.2,16.213,0.970414826,2.982044337,5.066444218,81.07057863,249.126511,423.2618395,127.3360987,391.2985269,664.809753,26.97557,87.50218,97.57058,1268452.806,4114552.009,4587991.133,760436,3739185,16.213,5.121
"97","Libya",118.173,15.1971092,16.5917053,14.2216907,0.34,0.16,3.875513026,1.984116402,2.615814739,6.556766564,10.1,55.55,310.43,62.95,43.25,30.58,16.93,87.13,9.96,0.5,0.98,129.9,4.15,32.5,25,39.6,118.173,0.577231411,1.881483827,2.961332191,NA,NA,NA,16.00626804,43.74850452,77.30379553,0.1291701,0.6200612,13.31939,25595.34721,168569.868,1457.19819,6022967,211988,118.173,5.33
"98","Liechtenstein",26.221,10.4106402,7.0877929,8.3916512,0.35,0.13,5.146238766,1.305280137,0.249223918,9.29212759,44,42.09,245.7,61.04,24.86,36.09,12.59,41.69,15.67,0.9,1.88,149.49,3.62,19.7,22.9,16.9,26.221,0.573611327,1.657867923,3.439233172,NA,NA,NA,58.73564044,159.820176,195.902166,0.823905,70.88705,91.14971,2425105.21,13002262.99,19861604.39,4109840,10368428,26.221,4.094
"99","Lithuania",51.795,8.9232895,7.0877929,9.5350186,0.14,0.06,0.347867144,0.087075621,0.365151358,0.588003554,55.21,27.63,382.11,75.98,4.51,13.87,22.88,13.75,18.61,0.28,0.57,149.49,4.15,26.3,24.2,27.8,51.795,0.512512295,1.999557172,3.215128148,42.81639892,167.0473828,268.5988427,4.492018174,17.52552523,28.1796441,0.8064244,1.322372,2.856601,22808.93192,37402.00932,80796.18838,2684137,220773,51.795,6.391
"100","Luxembourg",234.833,6.9729089,3.9014333,5.2535003,0.2,0.08,0.36267577,0.618367412,0.348511136,0.624142128,44,35.63,150.35,35.46,8.54,24.54,11.32,20.95,11.3,0.11,0.19,139.45,4.15,22.6,24.5,20.7,234.833,0.334489337,2.038379917,2.491222593,27.94397138,170.2907199,208.1221882,4.005149997,24.40740677,29.82971067,0.1291701,0.3475719,0.4126038,770.2878075,2072.696366,2460.504997,555934,13670,234.833,7.404
"101","Madagascar",8.812,6.3172086,4.780814,3.3602759,0.95,0.2,886.1082513,260.5951733,399.0220236,498.0656703,3.5,31.48,505.29,192.37,10.56,89.87,25.66,55.94,43.67,3.04,21.16,124.25,1.8,5.3,3,7.5,8.812,1.07819951,2.588895697,3.45983533,90.07514702,216.2820131,289.0422163,58.73564044,141.031827,188.4768469,70.25125,93.5762,96.73974,17963623.98,23927939.65,24736873.91,2908091,21325997,8.812,4.339
"102","Malawi",9.566,6.6198552,6.0038419,4.2931328,0.8,0.18,884.421835,239.6245676,350.0196453,454.9529353,2.4,42.38,312.91,88.49,14.34,44.41,28.02,64.29,49.16,6.16,25.65,178.75,2.29,5.8,2.2,9.1,9.566,0.28486552,1.615605276,2.703610821,23.79828901,134.971201,225.8655657,21.90721089,124.2460146,207.9176606,1.302718,79.03726,92.84431,230193.6577,13966089.34,16405830.97,7205179,10368428,9.566,3.869
"103","Malaysia",7.353,11.4416249,10.7315988,9.4710603,1.22,0.44,21.1943955,1.824511488,1.927553882,15.72237156,27.9,51.62,320.97,81.91,19.58,38.62,12.67,57.6,24.14,1.57,2,119.42,3.44,15.6,13,17.9,7.353,0.908167921,2.383309207,3.962462647,75.87033594,199.1068677,331.0328026,10.43814427,27.3928695,45.54307174,0,0.3087978,2.754231,0,96051.64215,856704.3237,29494229,1228926,7.353,5.428
"104","Maldives",68.45,11.063976,10.7239682,8.3438318,1.26,0.34,0.304899155,2.369895313,3.534251004,10.8625214,20.8,45.12,239.27,43.94,36.26,57.62,9.63,68.04,4.77,0.45,0.53,71.97,3.29,8.6,5.8,11.4,68.45,0.422614866,2.68616602,3.638542468,35.30617095,224.4081888,303.9718019,14.46101393,91.9150918,124.5034605,0,0.5116307,2.729918,0,2539.745027,13551.36755,400571,8592,68.45,5.198
"105","Mali",6.716,8.3645204,6.3847485,4.522811,0.32,0.09,1131.928963,322.0978258,479.8438342,625.5202878,2.8,34.49,318.64,104.47,19.54,65.31,24.55,70.88,32.04,3.05,28.3,133.06,2.08,8.6,4.6,12.4,6.716,0.599600045,1.98490498,3.25869826,50.09190015,165.8233066,272.2387853,23.27170321,77.03821906,126.4767397,4.556961,70.88705,90.62164,843602.5747,13122889.99,16776235.05,4314573,13153332,6.716,4.988
"106","Malta",124.564,9.0493557,6.3757008,8.7500336,0.32,0.14,0.066645901,0.114238034,0.134828344,0.136514045,41.35,41.06,181.96,33.49,10.76,20,6.18,30.21,10.1,0.1,0.32,122.9,3.8,28.9,29.2,28.5,124.564,0.763473885,2.727949045,3.932199898,63.78227948,227.8988341,328.5045863,11.18872343,39.97814199,57.62645976,0.1004015,0.2212111,0.3113678,469.878016,1035.265736,1457.19819,431874,0,124.564,6.157
"107","Marshall Islands",0.084,20.7581138,21.4743119,21.0801125,0.41,0.26,0.062633444,6.972972934,22.03584265,41.70423062,4.1,36.2,421.9,132.85,79.67,77.94,22.21,615.23,22.15,1.43,2.76,105.6,2.06,52.9,48.4,57.3,382.762,0.870882295,1.857224191,1.887692082,NA,NA,NA,11.10858749,24.40740677,34.30442909,0.001276778,0.3475719,1.027703,843.3419311,102129.9662,311427.0039,40752,12242,5.506,2.375
"108","Mauritania",35.056,8.4635263,9.4024279,7.3046722,0.21,0.07,145.0730909,156.5157742,252.7360612,329.9861193,2.4,35.6,288.87,82.95,20.46,33.92,27.09,67.83,26.1,2.28,15.9,126.87,2.39,12.7,6.6,18.5,35.056,0.87682579,2.813919311,4.429886868,73.25194567,235.0809784,370.0824451,26.33259037,84.50684894,133.0371411,1.558018,38.10409,68.03631,66723.27378,1631835.851,2913705.323,1672936,2509405,35.056,4.153
