"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"59",63.891,6.4035424,4.3160987,6.8101355,6.8101355,0.24,0.1,1.141119764,0.792747225,1.032838419,0.140951943,0.097920714,0.127576953,31.41,52.29,179.76,43.04,4.09,14.58,12.59,11.61,11.9,0.03,0.22,116.43,4.39,22.2,23.7,20.6
"60",544.493,7.4588522,4.425538,6.6258572,6.6258572,0.23,0.08,29.55886606,25.84692835,52.77921822,0.333688042,0.291784228,0.595821029,43.64,36.62,109.08,25.02,6.13,14.64,10.57,21.03,10.35,0.07,0.3,148.79,3.76,21.6,22,21.1
"61",24.262,10.0069996,9.9846067,8.3337097,8.3337097,0.6,0.21,45.21394737,59.61460208,85.68390025,102.0798828,134.5923536,193.4492121,9.5,55.58,308.36,94.28,16.72,36.52,51.18,77.36,41.84,2.7,11.49,146.79,2.59,15,9.6,20.3
"62",49.241,9.4400826,7.9299876,5.2351226,5.2351226,0.24,0.07,60.67364177,83.36837184,114.214131,135.5411193,186.2397262,255.1472221,4.9,34.41,320.01,92.04,19.24,45.93,29.34,61.6,29.59,2.55,22.42,123.15,2.22,10.3,5.6,14.8
"63",63.422,13.278765,12.0605641,14.9822181,14.9822181,0.28,0.11,0.536494789,2.748147005,2.895055244,0.153549655,0.786544498,0.828590963,31.6,27.94,490.35,149.05,12.9,30.94,24.49,35.78,9.26,0.64,0.84,123.01,3.68,21.7,19.2,23.8
"64",121.539,6.0163501,3.9049721,6.401131,6.401131,0.29,0.12,94.47881279,81.23252609,107.5560226,0.735746351,0.632591931,0.837584097,39.52,37.13,186.93,29.92,12.41,23.73,13.28,30.6,12.76,0.15,0.24,143.53,3.57,22.3,24.2,20.4
"65",10.17,6.4065812,6.6002139,4.9698628,4.9698628,0.25,0.08,584.1093525,811.0063725,1146.344862,93.04392962,129.186803,182.6035317,2.4,33.12,362.74,144.5,18.77,39.15,39.88,86.46,30.99,3.01,23.06,122.03,2.4,10.9,4.5,16.6
"66",56.893,7.2485658,6.015919,8.8226583,8.8226583,0.19,0.08,0.826121662,1.188550991,0.748101222,0.049080746,0.070613049,0.04444547,46.22,40.43,215.53,56.54,11.93,24.69,6.23,21.49,8.24,0.61,0.34,138.73,3.68,24.9,24.2,25.4
"67",141.64844,8.8060987,13.254356,12.1055568,12.1055568,0.59,0.24,0.200695424,0.351517846,0.773208248,1.80703512,3.165020311,6.961865065,17.16675,32.62,340.45,109.34,44.15,24.6,19.14,153.24,21.94,0.25,1.33,201.04,2.74,21.3,13.3,29
"68",204.571,8.933383,10.3592865,8.225591,8.225591,0.61,0.22,157.2738973,322.3879284,545.6001207,27.16939881,55.69319736,94.25357628,5.7,41.48,165.83,38.57,50.47,21.5,43.44,118.24,25.61,0.47,2.16,112.08,2.33,21.2,15.1,26.4
"69",5.406,6.7504811,6.0544232,4.5085532,4.5085532,0.35,0.09,475.096115,681.0557156,916.7504496,192.2882471,275.6474018,371.0414196,7.5,34.31,382.26,137.19,19.77,61.4,39.63,83.14,41.02,4.09,28.13,139.54,2.17,7.7,3.7,11.5
"70",20.833,7.3624409,6.8439213,5.0856492,5.0856492,0.28,0.08,74.40035852,107.6224622,144.2902741,289.0878517,418.1746838,560.6500587,2.4,33.85,495.16,170.77,32.36,73.71,52.51,112.28,47.53,5.28,33.15,165.51,2.14,9.5,5,13.7
"71",151.292,9.0633936,12.596474,10.9003648,10.9003648,0.6,0.24,3.6719118,4.010773659,9.249413705,14.14279139,15.44795689,35.62518264,7.2,32.8,495.73,155.97,36.09,24.93,36.36,159.01,26.08,0.9,1.54,128.21,2.71,20.2,12.7,27.1
"72",20.346,8.5517711,8.7666628,7.0955362,7.0955362,0.35,0.14,92.30855875,144.8636186,195.0337479,34.04920955,53.43482525,71.94072837,10.1,32.61,544.45,184.3,38.25,55.62,22.18,134.81,38.48,0.93,8.02,176.74,2.36,22.7,17.9,26.9
"73",266.442,8.4891994,9.972857,7.8857192,7.8857192,0.49,0.18,60.75258714,181.3742528,278.5056549,19.99434854,59.69227316,91.65929217,14.7,48.16,315.58,56.11,58.97,56.37,34.33,104.03,50.69,0.52,2.61,118.55,2.65,21.4,15.6,26.9
"74",163.348,8.9001676,6.6882506,9.4248907,9.4248907,0.26,0.11,4.840916635,22.05688295,46.66520692,0.389035322,1.772578876,3.750201704,78.66,30.13,361.76,74.59,8.6,32.23,26.66,27.37,17.64,0.06,0.51,202.73,4.43,26.4,28.2,24.6
"75",32.234,7.6316878,4.1564257,5.2995146,5.2995146,0.27,0.1,0.133755738,0.080584068,0.120383674,0.413668974,0.249223918,0.372312934,25.06,43.88,147.84,31.21,5.54,22.17,3.55,15.54,9.83,0.04,0.39,144.51,4.33,21.9,24.2,19.4
"76",86.963,9.053893,8.3259159,7.5498721,7.5498721,2.58,0.5,118987.3967,183143.7234,321468.3266,232.1997819,357.3986305,627.3343008,7.9,26.27,344.27,85.07,27.09,138.8,19.45,80.67,23.45,6.53,5.71,86.89,2.74,3.9,2.7,5.1
"77",49.4,7.4193282,7.9842802,7.347647,7.347647,1,0.24,7272.128659,12446.09086,28585.46572,82.43602785,141.0874781,324.0416058,18.6,48.38,384.93,149.73,20.78,62.84,27.91,83.27,45.3,2.98,1.84,82.91,3.06,6.9,4.8,8.9
"78",396.45,11.3852069,12.860293,11.0630794,11.0630794,0.41,0.17,43.26512702,55.9499208,206.2125559,1.328461976,1.717950402,6.331786323,6.7,47.64,352.24,67.36,20.78,31.62,8.54,59.15,10.94,1.48,1.41,104.48,4.73,25.8,19.3,32.2
"79",266.617,17.2299941,17.4914421,13.7771144,13.7771144,0.35,0.16,3.099555605,12.04861261,24.26456267,0.310474336,1.206877849,2.430517449,21.1,50.31,613.13,129.92,50.48,41.87,10.24,142.58,6.93,1.52,3.37,99.31,3.12,30.4,23.4,37
"80",382.762,7.3088405,5.1438133,6.2155942,6.2155942,0.17,0.07,0.851403099,1.341764391,0.849139936,0.191230184,0.301368238,0.190721865,35.14,42.09,159.45,29.93,9.19,34.72,6.61,22.99,11.65,0.15,0.32,152.01,3.92,25.3,25.1,25.5
"81",286.868,7.0922374,5.7613617,6.7878403,6.7878403,0.29,0.12,6.588797326,8.987716548,9.032278833,0.961916049,1.312140647,1.318646414,28.12,40.79,119.21,26.23,22.52,18.42,7.31,56.8,10.34,0.16,0.37,134.5,3.95,26.1,25.9,26.2
"82",623.534,7.0540891,4.6222522,7.4494739,7.4494739,0.23,0.08,21.33296377,24.20477728,34.517873,0.215294503,0.244277146,0.348357987,44.23,49.15,144.02,31.69,8.78,19.04,10.14,26.86,9.26,0.39,0.22,143.27,3.96,19.9,20.1,19.5
"83",66.19,9.2817333,14.4098648,14.500917,14.500917,0.49,0.21,3.770326911,5.812347618,10.23805723,2.305956156,3.554869136,6.261661563,22.1,31.1,248.65,105.69,30.32,27.8,8.43,147.02,13.58,0.27,1.73,158.63,2.78,24.7,15.3,33.4
"84",13.678,8.3588827,5.0036277,8.4964572,8.4964572,1.36,0.2,139.8796285,94.0614781,426.0182665,0.552538258,0.371552068,1.682813956,30.22,48.28,94.69,31.75,9.7,12.67,8.24,16.2,6.87,0.23,0.2,120.91,2.69,4.3,4.8,3.7
"85",65.47,16.510798,17.1804625,13.4508012,13.4508012,0.36,0.18,1.704340143,1.443525314,5.65300118,0.692248746,0.58631406,2.296069241,15.3,49.27,297.16,72.66,40.39,22.19,11.8,95.57,11.48,0.6,0.78,97.41,3.4,35.5,28.2,43.1
"86",118.285,12.3560972,11.3681004,11.6856272,11.6856272,0.31,0.12,0.629721401,3.35391534,3.395181939,0.084860287,0.451968472,0.457529495,52.04,26.4,534.53,136.11,11.76,46.9,49.78,25.93,13.69,0.22,1.06,121.92,3.41,21,18.9,22.7
"87",17.37,5.8172238,6.1624503,4.2423771,4.2423771,0.42,0.11,1989.655712,2803.290055,3686.789729,243.664114,343.3062231,451.5044224,4.1,35.16,225.89,74.35,8.37,34.06,19.56,41.49,38.5,3.54,17.21,85.11,2.21,7.1,2.8,11.1
"88",144.23484,22.0139868,22.5987826,22.2192174,22.2192174,0.41,0.24,2.445712242,7.961015904,11.33916003,105.530253,343.5105764,489.2744147,11.5531,66.53,498.79,196.77,50.5,131.29,33.35,312.45,67.44,2.95,13.01,143.87,3.06,46,41.6,50.4
