"","Entity","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"19","Azerbaijan",31.7,38.24,38.24,17,3.8,3196.537872,NA,73.005,10048000,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.24688161,28.15375814,18.2,6,5233,3410,10223344,9192141,0.0013
"20","Bahamas",12.1,13.61,13.61,8.7,6.3,1062.501087,NA,73.918,389000,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.28640266,29.0596084,6.9,0,50,31,396914,460116,1e-04
"21","Bahrain",6.2,7.52,7.52,5.6,19,533.1194641,NA,77.292,1641000,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.895558,24.79195613,1.1,0,107,55,1748295,2251891,2e-04
"22","Bangladesh",37.6,34.26,34.26,17.3,37.3,3186.298445,NA,72.591,163046000,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.40108169,22.05260608,23.3,108,90109,68140,166303494,151393018,0.0211
"23","Barbados",13,13.59,13.59,7,5.5,1116.610777,8.070839579,79.19,287000,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.51546778,29.41101997,8,0,32,24,287708,214788,0
"24","Belarus",4.4,7.34,7.34,4.9,3.7,488.1843388,NA,74.791,9452000,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.629948,26.91237453,1.9,1,512,351,9442867,7429673,0.0012
"25","Belgium",4.1,4.12,4.12,3.6,8.7,296.4014971,9.605525429,81.628,11539000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8013405,25.74971353,2.2,0,361,236,11632334,12492831,0.0015
"26","Belize",16.5,19.67,19.67,10.1,15.9,1652.2555,NA,74.623,390000,69.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63242364,30.75287977,8.3,0,126,86,404915,620439,1e-04
"27","Benin",99.5,89.8,89.8,35,43.7,5390.388716,NA,61.771,11801000,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.66670723,24.57959394,31.8,34,21620,12085,12451031,47208998,0.0016
"28","Bermuda",NA,5.82,5.82,NA,NA,369.7922125,NA,82.593,63000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.73477278,29.42757663,NA,0,2,2,62092,36933,0
