"","Entity","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"105","French Polynesia",6.8,NA,NA,NA,NA,NA,NA,77.657,279000,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.66396429,29.55761733,NA,NA,NA,NA,282534,261545,0
"106","Gabon",52.2,40.51,40.51,23.1,23.5,3404.89869,NA,66.467,2173000,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14419589,26.69545578,23.2,2,1368,901,2278829,5859225,3e-04
"107","Gambia",68.9,51.2,51.2,28.5,49.3,3450.537925,NA,62.05,2348000,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.55791801,24.65288872,29.9,3,2279,1512,2486937,8175553,3e-04
"108","Georgia",11.9,12.34,12.34,8.1,2.2,943.1186411,NA,73.767,3997000,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.68977139,27.87763074,7.2,1,467,318,3979773,2514130,5e-04
"109","Germany",3.7,3.88,3.88,3,2.7,325.4044188,NA,81.326,83517000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.48449232,26.00994709,2.1,3,2346,1588,83900471,74740596,0.0107
"110","Ghana",61.6,62.76,62.76,26.2,34.9,3779.929326,NA,64.074,30418000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.59033672,25.38987538,28.3,44,32021,21363,31732128,79011409,0.004
"111","Gibraltar",NA,NA,NA,NA,NA,NA,NA,79.927,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33691,27242,0
"112","Greece",4.1,4.92,4.92,3.5,13.1,352.2865839,9.600140959,82.239,10473000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.65624943,26.9157422,2.9,0,318,214,10370747,6583364,0.0013
"113","Greenland",NA,14.79,14.79,NA,NA,1065.540877,NA,71.704,57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1378054,26.77422067,NA,0,9,6,56868,40524,0
"114","Grenada",11.8,15.55,15.55,8,NA,1052.882554,NA,72.397,112000,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.26649583,28.99880771,6,0,16,12,113015,86183,0
"115","Guadeloupe",5.77,NA,NA,NA,NA,NA,6.912407885,82.138,4e+05,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400013,338669,1e-04
"116","Guam",10.36,14.78,14.78,NA,NA,1165.799169,NA,80.074,167000,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,24,170184,167922,0
"117","Guatemala",29.1,26.83,26.83,16,35,2194.79736,5.134811372,74.302,17581000,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.83059531,27.49113119,13.4,12,9219,4557,18249868,31270073,0.0023
"118","Guinea",93.7,103.06,103.06,31.2,48.3,6132.247871,NA,61.602,12771000,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.46822914,23.48420628,31.3,41,25401,13444,13497237,45256876,0.0017
"119","Guinea-Bissau",92.5,80.62,80.62,38.4,41.9,5215.989147,NA,58.322,1921000,54.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.85539546,24.15697009,39.7,5,3390,2178,2015490,5706289,3e-04
"120","Guyana",39.4,28.64,28.64,19.5,10.7,2003.709588,6.637814579,69.906,783000,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.18206707,27.95808006,22.8,0,306,225,790329,530598,1e-04
"121","Haiti",69,63.54,63.54,28.6,38.3,4916.711501,NA,64.001,11263000,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.62422204,24.34822336,25.4,19,15258,8030,11541683,14760450,0.0015
"122","Hawaii",NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","High human development",NA,NA,NA,9.2,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","High SDI",NA,5.26,5.26,NA,NA,408.3159926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,47340,31232,NA,NA,NA
"125","High-income",NA,5.73,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
"126","High-income Asia Pacific",NA,NA,NA,NA,NA,208.7075685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.94882543,22.25840762,NA,NA,2998,NA,NA,NA,NA
"127","High-income Asia-Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"128","High-income countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","High-income North America",NA,7.23,7.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
"130","High-income Western countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.83353642,27.06545421,NA,NA,NA,NA,NA,NA,NA
"131","High-middle SDI",NA,11.54,11.54,NA,NA,830.4893801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,147743,91267,NA,NA,NA
"132","Honduras",20.4,15.92,15.92,18.1,22.7,1091.73737,5.6,75.27,9746000,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.00910489,27.85207042,11,3,2633,1725,10062994,14325309,0.0013
"133","Hong Kong",2.42,NA,NA,2.5,10.2,NA,NA,84.857,7436000,83.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.64910835,23.92107456,NA,NA,NA,NA,7552800,7647231,0.001
"134","Hungary",6.2,5.23,5.23,4.7,3.2,394.3886029,13.04478867,76.875,9685000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.39520228,26.65430385,3.5,0,346,217,9634162,6856920,0.0012
"135","Iceland",2,2.46,2.46,2.4,2.6,150.2604665,NA,82.993,339000,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.16196688,25.5912036,0.9,0,6,4,343360,353291,0
"136","India",47.7,40.83,40.83,21.4,38.7,3622.58324,7.4,69.656,1366418048,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.81452731,22.00366557,27.7,1040,876086,571527,1393409033,1447025612,0.1769
"137","Indonesia",27.2,29.15,29.15,14.8,16.5,2249.603275,NA,71.716,270625984,68.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58718339,23.90401041,13.5,109,90145,56952,276361788,320782426,0.0351
"138","Iran",15.5,15.91,15.91,9,4.9,1392.306919,NA,76.677,82914000,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.39401948,27.2634146,9.5,21,17961,12000,85028760,98587985,0.0108
"139","Iraq",32,25.65,25.65,17.3,27.2,1913.346863,NA,70.604,39310000,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9517395,29.94273994,18.4,30,23339,15085,41179351,107711273,0.0052
"140","Ireland",3.6,3.73,3.73,2.8,2.9,310.7764911,6.237350568,82.305,4882000,80.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.09450077,27.20344034,2.3,0,199,138,4982904,5684962,6e-04
"141","Isle of Man",NA,NA,NA,NA,NA,NA,NA,81.396,85000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85410,96202,0
"142","Israel",4,3.85,3.85,3.3,7,285.1116599,5.162098361,82.972,8519000,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.82790048,27.12482237,2.1,1,510,338,8789776,18127523,0.0011
"143","Italy",3.4,3.5,3.5,2.9,10.5,265.355629,9.713207516,83.512,60550000,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.64890335,24.85762136,2.1,1,1243,875,60367471,39992910,0.0077
"144","Jamaica",15.7,15.6,15.6,11,5.6,1665.110074,6.7,74.475,2948000,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.97758141,29.86594518,11.6,1,625,504,2973462,1793106,4e-04
"145","Japan",2.7,2.76,2.76,2.9,1.6,182.5704198,8.951731761,84.629,126860000,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.68088582,21.82460637,0.9,2,1720,966,126050796,74959378,0.016
"146","Jordan",17.9,14.91,14.91,10.7,16.9,1573.533901,NA,74.526,10102000,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.50538669,30.08778993,10.6,4,3764,2656,10269022,13644110,0.0013
"147","Kazakhstan",14.1,15.82,15.82,10.1,3.2,1142.521387,NA,73.597,18551000,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.48649063,26.66546632,7,5,4070,2466,18994958,27917815,0.0024
"148","Kenya",50.6,48.15,48.15,22.8,22.9,3504.208152,NA,66.699,52574000,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22532695,24.58874859,22.2,60,46373,26742,54985702,125423855,0.007
"149","Kiribati",55.9,45.25,45.25,24.5,21.4,2960.079696,NA,68.369,118000,65.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.16996617,31.3037358,23.7,0,101,57,121388,239471,0
"150","Korea",NA,NA,NA,3.2,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Kuwait",8.6,8.36,8.36,6.3,17.8,640.673225,NA,75.489,4207000,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.19359451,30.66093207,3.2,0,384,274,4328553,6188983,5e-04
"152","Kyrgyzstan",21.3,22.07,22.07,12.1,5,1820.068974,NA,71.45,6416000,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.13858825,27.43290879,11.5,3,2754,2101,6628347,10984938,8e-04
"153","Laos",66.7,63.44,63.44,23.1,34.1,5244.643207,NA,67.923,7169000,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.79560541,23.20833965,30.1,10,8803,4599,7379358,8423978,9e-04
"154","Latin America and Caribbean",NA,NA,NA,NA,NA,1467.077878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.79361101,27.53337426,NA,180,150174,84406,NA,NA,NA
"155","Latin America and the Caribbean",NA,20.4,20.4,12.1,18.4,NA,NA,NA,NA,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Latvia",7.9,5.54,5.54,5.9,3.7,374.9379534,NA,75.292,1907000,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19496331,26.45084333,5.2,0,76,48,1866934,1114401,2e-04
"157","Least developed countries",NA,NA,NA,27.1,36.2,NA,NA,NA,NA,62.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Lebanon",8.3,7.81,7.81,6.7,6.2,582.5027634,NA,78.93,6856000,78.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1243274,27.64767452,4.8,1,1030,635,6769151,5707209,9e-04
"159","Lesotho",97.1,76.76,76.76,28.5,21.9,4508.359369,NA,54.331,2125000,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.81298191,27.1352051,32.7,3,2078,1106,2159067,2695438,3e-04
"160","Less developed regions",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Less developed regions, excluding China",NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Less developed regions, excluding least developed countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Liberia",69.9,78.9,78.9,27.5,42.9,4654.678674,NA,64.104,4937000,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.17230055,25.19952427,24.1,10,6860,3503,5180208,15525036,7e-04
"164","Libya",13.4,14.6,14.6,14.1,NA,685.4828238,NA,72.913,6777000,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.05258408,29.56632955,7.2,1,842,511,6958538,8011540,9e-04
"165","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,82.494,38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38254,45212,0
"166","Lithuania",4,5.17,5.17,5.4,4.5,387.5722797,NA,75.933,2760000,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21831369,26.05921691,2.5,0,114,65,2689862,1524086,3e-04
"167","Low human development",NA,NA,NA,31.2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Low SDI",NA,67.25,67.25,NA,NA,4886.621734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2480,1780450,1015921,NA,NA,NA
"169","Low-income countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Low-middle SDI",NA,55.63,55.63,NA,NA,3950.694869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,1542251,943507,NA,NA,NA
"171","Lower-middle-income countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Luxembourg",1.9,2.37,2.37,3.4,9.4,166.9540009,NA,82.25,616000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.24497208,25.75479558,0.9,0,11,7,634814,985168,1e-04
"173","Macao",4.81,NA,NA,NA,NA,NA,NA,84.244,640000,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658391,1011617,1e-04
"174","Macedonia",5.5,10.22,10.22,6.5,10.5,806.9977338,NA,75.797,2083000,75.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.47787553,26.403139,3.5,0,190,140,NA,NA,NA
"175","Madagascar",49.6,78.11,78.11,21.3,35,5515.980977,NA,67.041,26969000,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.57781202,21.14453119,19.7,72,50976,25725,28427333,99957340,0.0036
"176","Malawi",65.4,70.85,70.85,30.3,28.4,4574.614403,NA,64.263,18629000,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.59813348,23.26532312,21.8,38,26610,15299,19647681,66559386,0.0025
"177","Malaya",NA,NA,NA,NA,NA,NA,4.623067401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Malaysia",8.2,7.79,7.79,5.9,15.6,573.4911005,NA,76.156,31950000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.40068289,26.30422774,3.9,4,2978,2002,32776195,40078167,0.0042
"179","Maldives",8.6,8.47,8.47,5.7,40,627.7546001,NA,78.921,531000,76.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.84316797,26.55675736,4.9,0,43,33,543620,490058,1e-04
"180","Mali",114.7,127.42,127.42,36.8,46.2,7457.332333,NA,59.306,19658000,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.99991795,23.18221551,37.8,104,61503,34654,20855724,80382697,0.0026
"181","Malta",5.9,6.56,6.56,4,6.9,510.3950935,NA,82.53,440000,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9549695,26.59676335,4.4,0,22,17,442790,357732,1e-04
"182","Marshall Islands",36,24.75,24.75,NA,NA,1727.648439,NA,73.696,59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.07705261,30.66769672,16.7,0,22,14,59618,63211,0
"183","Martinique",6.58,NA,NA,NA,NA,NA,7.11537978,82.545,376000,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374743,234041,0
"184","Mauritania",84.7,49.27,49.27,32.6,40.8,3387.681805,NA,64.925,4526000,62.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.36943897,26.75406167,35.7,5,3897,2580,4775110,17064607,6e-04
"185","Mauritius",13.5,14.74,14.74,8.9,13.2,1223.68286,7.128447902,74.991,1270000,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.67017349,26.06693249,8.4,0,151,112,1273428,827303,2e-04
"186","Mayotte",4.27,NA,NA,NA,NA,NA,NA,79.455,266000,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279507,745691,0
"187","Medium human development",NA,NA,NA,20.3,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Melanesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Mexico",13.2,17.38,17.38,12.3,17.1,1090.74491,5.239538336,75.054,127576000,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.63516419,28.5927059,7,33,26935,14311,130262220,141509942,0.0165
"190","Micronesia",NA,19.48,19.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Micronesia (country)",34.7,NA,NA,19,NA,1388.69648,NA,67.883,114000,72.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33833847,31.53416098,18.8,0,29,18,116255,114734,0
"192","Middle Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Middle SDI",NA,20.68,20.68,NA,NA,1425.754705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,465841,282741,NA,NA,NA
"194","Middle-income countries",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Moldova",15.8,16.36,16.36,9.6,7.3,1415.151935,NA,71.901,4043000,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78111685,27.58411562,11.9,1,509,420,4024025,2011568,5e-04
"196","Monaco",3.5,NA,NA,NA,NA,NA,NA,86.751,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,39520,64364,0
"197","Mongolia",22.4,29.35,29.35,13.4,11.9,2250.578859,NA,69.87,3225000,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.05091403,26.76993285,11.1,2,1719,1119,3329282,5387208,4e-04
"198","Montenegro",4.7,4.26,4.26,4.4,7.4,322.9366836,NA,76.884,628000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.17491841,26.29841226,3.1,0,23,17,628051,453656,1e-04
"199","Montserrat",NA,NA,NA,NA,NA,NA,NA,74.158,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4981,2878,0
"200","More developed regions",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Morocco",27.6,21.93,21.93,14,NA,1974.792896,NA,76.68,36472000,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5612347,26.69405022,17.6,14,11758,8099,37344787,44707864,0.0047
"202","Mozambique",80.6,79.13,79.13,35.6,33.8,5656.85676,NA,60.854,30366000,54.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.06723557,23.49925099,27.1,73,53899,25060,32163045,123646947,0.0041
"203","Myanmar",50,48.97,48.97,24,26.9,3744.050998,NA,67.134,54045000,65.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.31810837,23.16920511,26.4,39,32114,18485,54806014,55298929,0.007
"204","Namibia",46.7,43.6,43.6,20.2,25,2983.073149,NA,63.708,2495000,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.05884274,25.54331027,15.9,2,1737,964,2587344,5373589,3e-04
"205","Nauru",35.4,NA,NA,NA,NA,NA,NA,59.962,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.28321941,32.94599814,22.7,NA,NA,NA,10873,5794,0
"206","Nepal",35.8,32.46,32.46,16.6,40.9,2634.820986,NA,70.778,28609000,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.62258358,22.54971901,22.2,19,16232,11568,29674920,23708193,0.0038
"207","Netherlands",3.8,4.27,4.27,3,5.3,331.5925856,8.188873369,82.283,17097000,81.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1427578,25.25583137,2.4,1,571,427,17173094,15759617,0.0022
"208","Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321292,321292,0
"209","New Caledonia",14.18,NA,NA,NA,NA,NA,NA,77.55,283000,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288217,355991,0
"210","New Zealand",5.7,4.96,4.96,4.3,1.7,385.6312521,6.711154363,82.288,4783000,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.29108535,28.1097167,3.1,0,229,148,4860642,6008350,6e-04
"211","Newfoundland",NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Nicaragua",22.1,17.19,17.19,12.9,25.7,1309.024948,NA,74.485,6546000,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67507287,28.13943727,9.8,2,1783,1173,6702379,8124405,9e-04
"213","Niger",95.5,112,112,34.9,35,4907.39445,NA,62.42,23311000,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.45848169,22.38324661,26.8,97,46965,22565,25130810,164947337,0.0032
"214","Nigeria",108.8,109.47,109.47,37.4,38.1,6546.835153,NA,54.687,200964000,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.64855815,24.03240199,34.3,789,483195,268744,211400704,732941596,0.0268
"215","Niue",23,NA,NA,NA,NA,NA,NA,73.708,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.58898981,33.50940163,12.5,NA,NA,NA,1614,1726,0
"216","North Africa and Middle East",NA,27.96,27.96,NA,NA,2301.026764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,293552,170615,NA,NA,NA
"217","North America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596581283,741570641,0.0758
"218","North Korea",24.9,24.92,24.92,11.6,NA,2109.195655,NA,72.274,25666000,69.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.35311105,24.08519001,13.5,7,5373,2821,25887045,22792833,0.0033
"219","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082661,1249361,3e-04
"220","Northern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Northern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
