"","Entity","Share of people who disagree vaccines are important for children to have","Share of people who agree vaccines are safe","Share of people who disagree vaccines are safe","Share of people who agree vaccines are effective","Share of people who disagree vaccines are effective","Share of people who agree vaccines are important for children to have","Standard deviation of life satisfaction","All causes - Disability Adjusted Life Years (WHO (2015))","Share of population covered by health insurance (ILO (2014))","Public Expenditure on Health (Tanzi & Schuktnecht (2000))","Health Expenditure and Financing (per capita) (OECDstat (2017))","Current health expenditure per capita, PPP (current international $)","Health expenditure per capita, PPP (World Bank (2016))","HAQ Index (IHME (2017))","Beds in for-profit privately owned hospitals (number) (OECD)","Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in not-for-profit privately owned hospitals (number) (OECD)","Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in publicly owned hospitals (number) (OECD)","Beds in publicly owned hospitals (per 1,000 population) (OECD)","Acute care beds (number) (OECD)","Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)","Dentists (headcount) (OECD)","For-profit privately owned hospitals (number) (OECD)","For-profit privately owned hospitals (per million population) (OECD)","General hospitals (number) (OECD)","General hospitals (per million population) (OECD)","Hospitals (number) (OECD)","Hospitals (per million population) (OECD)","Long-term care beds (number) (OECD)","Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)","Midwives (headcount) (OECD)","Midwives (per 1,000 live births) (OECD)","Not-for-profit privately owned hospitals (number) (OECD)","Not-for-profit privately owned hospitals (per million population) (OECD)","Nurses (per 1,000 population) (OECD)","Nurses (headcount) (OECD)","Physicians (per 1,000 population) (OECD)","Physicians (headcount) (OECD)","Psychiatric care beds (number) (OECD)","Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)","Psychiatrists (headcount) (OECD)","Publicly owned hospitals (number) (OECD)","Publicly owned hospitals (per million population) (OECD)","Surgical specialists (per 1,000 population) (OECD)","Surgical specialists (headcount) (OECD)","Hospital beds (number) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)","Healthy Life Expectancy (IHME)","Life Expectancy (IHME)","Years Lived With Disability (IHME)","Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017))","Health","Old Age","Out-of-pocket expenditure per capita on healthcare (PPP USD) (WHO Global Health Expenditure)","Percentage of persons without health insurance (%)","How much we think we spend on health expenditure (IPSOS (2016))","How much we actually spend on health expenditure (IPSOS (2016))","Public expenditure on health %GDP (OWID extrapolated series)","Total gross official disbursements for medical research and basic heath sectors","BCG immunization coverage among 1-year-olds (WHO 2017)","Hepatitis B (HepB3) immunization coverage among 1-year-olds (WHO 2017)","DTP3 immunization coverage among 1-year-olds (WHO 2017)","Polio (Pol3) immunization coverage among 1-year-olds (WHO 2017)","Measles (MCV) immunization coverage among 1-year-olds (WHO 2017)","Number of confirmed tetanus cases (WHO 2017)","Number confirmed polio cases (WHO 2017)","Number of confirmed pertussis cases (WHO 2017)","Number of confirmed measles cases (WHO 2017)","Number of confirmed diphtheria cases (WHO 2017)","Estimated deaths due to tuberculosis per 100,000 population, excluding HIV (WHO 2017)","Estimated number of deaths due to tuberculosis, excluding HIV (WHO 2017)"
"79","East Asia & Pacific (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.0661412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.0763501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Eastern Africa",1,92,5,90,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20887e+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0793e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Eastern Europe",7,50,17,65,8,80,NA,NA,NA,NA,NA,NA,NA,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.36,71.42,9.06,NA,NA,NA,NA,NA,NA,NA,NA,6.382e+10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Eastern Mediterranean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,80,80,80,76,885,363,1358,21336,43,12,80000
"85","Eastern Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.65,63.39,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Ecuador",0.895799755,85.87054365,5.392728845,86.18514637,5.772119139,98.1566526,NA,29357,22.8,NA,NA,980.2299724,788.92,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2,77.83,9.63,518.7177101,NA,NA,428.47943,NA,NA,NA,4.50815657,2.73e+09,88,78,78,84,84,49,0,7,0,0,3.1,490
"87","Egypt",0.309066032,97.1536923,0.588238907,96.04877244,0.599805509,99.41408505,NA,35784,51.1,NA,NA,495.1650809,539.13,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.04,72.13,10.09,228.1501341,NA,NA,306.79916,NA,NA,NA,2.1553845,1.337e+10,96,93,93,93,92,8,0,0,5432,0,0.2,220
"88","El Salvador",0.827741254,77.96172392,11.38611622,82.106565,8.155796274,96.41792479,NA,36007,21.6,NA,NA,578.4609406,539.19,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.48,75.47,8.99,373.1684974,NA,NA,161.16724,NA,NA,NA,4.46950833,3.15e+09,96,91,91,92,95,6,0,0,0,0,1.9,120
"89","England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.24,81.18,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,82201,NA,NA,NA,789.5788502,1170.09,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.66,65.47,8.81,1326.115878,NA,NA,568.37732,NA,NA,NA,2.93271044,8.8e+08,48,16,16,17,27,1,5,0,1250,0,7.5,63
"91","Eritrea",NA,NA,NA,NA,NA,NA,NA,57089,NA,NA,NA,56.22672246,36.29,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.16,63.66,7.5,NA,NA,NA,29.448942,NA,NA,NA,1.52746401,1.188e+10,97,95,95,95,85,7,0,31,198,2,12,600
"92","Estonia",5.720150799,50.21347153,13.48992364,61.8998173,6.580439926,77.49983822,NA,26242,92.9,NA,"1613.1031",1886.814387,1452.64,81.4,313,0.24,152,0.12,5720,4.34,4539,3.45,1.38,1823,7,5.31,21,15.94,30,22.77,1203,0.91,4.73,972,68.36,3,2.28,10.45,13786,5.15,6787,692,0.53,0.18,243,20,15.18,0.85,1119,6185,0.79,4.69,67.16,77.58,10.41,NA,"..","..",429.6655,NA,NA,NA,5.0283959,NA,95,91,93,93,93,0,0,77,4,0,1.9,25
"93","Ethiopia",0.14044208,96.12753998,2.54309192,97.06544075,1.943768403,99.67081396,NA,54964,NA,NA,NA,65.60194586,68.53,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.91,65.63,7.72,43.22003541,NA,NA,24.804361,NA,NA,NA,2.86756675,3.9209e+11,75,86,86,85,78,0,1,733,17745,125,26,25000
"94","Euro area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4162.582161,3870.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.347e+10,89,81,93,94,94,122,0,37038,25958,54,3.5,32000
"96","Europe & Central Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2645.851841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Europe & Central Asia (all income levels)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2463.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Europe & Central Asia (developing only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Europe & Central Asia (excluding high income)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.922125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Europe & Central Asia (IDA & IBRD countries)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087.092666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3752.988466,3389.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.51,65.5,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Fiji",NA,NA,NA,NA,NA,NA,NA,39681,100,NA,NA,331.3576231,328.38,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.21,65.38,8.17,259.7041295,NA,NA,70.953873,NA,NA,NA,2.95320811,1.428e+10,99,99,99,99,94,0,0,0,0,0,7.1,64
"104","Finland",1.680263603,72.84051343,7.991680632,83.40066361,4.230976916,93.88415206,1.746749282,19843,100,NA,"3627.9559",3996.436879,3604.12,89.6,813.9,0.15,NA,NA,17258.1,3.13,15397.4,2.8,1.01,5528,79,14.34,130,23.6,247,44.84,2247.7,0.41,1.95,4768,85.96,NA,NA,19.69,107912,3.84,20995,2150.5,0.39,0.24,1293,168,30.5,0.56,3088,18071.9,NA,3.28,70.53,81.74,11.21,NA,"..","..",794.92712,NA,NA,NA,7.28981427,NA,98,NA,98,98,97,0,0,165,2,1,0.7,37
"105","Fragile and conflict affected situations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.1809803,179.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","France",9.758586958,47.03626005,33.29384552,67.9628897,18.27989793,76.15425916,1.926970959,19104,99.9,7.6,"4027.949",4542.307106,4333.58,87.9,96988,1.45,56482,0.84,246395,3.68,206619,3.09,NA,NA,1002,14.99,1916,28.65,3046,45.55,31507,0.47,2.45,NA,NA,680,10.17,NA,NA,NA,NA,56014,0.84,0.23,15315,1364,20.4,0.48,32030,399865,0.89,5.98,71.71,82.34,10.64,NA,"..","..",308.73276,NA,22,12,9.02451437,NA,78,83,98,98,91,10,0,36,157,14,0.8,520
"107","Gabon",2.645818692,62.64785775,25.85800036,79.14494466,11.6396426,95.29926592,NA,58498,57.6,NA,NA,480.8514802,734.68,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.58,66.53,8.94,458.9874768,NA,NA,124.56293,NA,NA,NA,2.35058092,3.29e+09,98,80,80,79,68,0,0,0,27,0,65,1100
"108","Gambia",2.818174006,87.50210734,4.782896295,87.22423468,5.213783925,92.74473434,NA,62697,99.9,NA,NA,114.0747188,98.78,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.27,67.34,9.07,82.67680977,NA,NA,23.163185,NA,NA,NA,5.04561252,2.127e+10,98,97,97,96,97,0,0,0,71,0,20,400
"109","Georgia",3.634566646,69.49966185,9.573974821,77.59259553,5.148996766,89.91528431,NA,29323,25,NA,NA,717.7162423,696.99,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.01,73.92,8.9,143.1046901,NA,NA,411.42606,NA,NA,NA,1.55273054,3.98e+09,96,94,94,91,96,4,0,176,431,1,3.9,160
"110","Germany",4.291943979,67.15740011,12.87886921,83.00843987,3.21214016,88.76598762,NA,19224,100,7,"4772.328",5356.811177,4811.82,86.4,200889,2.43,191111,2.31,269448,3.26,497182,6.02,1.18,97339,1329,16.08,1592,19.26,3084,37.31,0,0,0,NA,NA,970,11.74,NA,NA,6.1,503864,106176,1.28,0.27,22632,785,9.5,1.18,97707,661448,0.58,8,70.23,80.93,10.7,NA,"..","..",671.1239,NA,20,11,8.69723732,NA,NA,88,96,95,97,8,0,9000,2464,14,0.4,320
"111","Ghana",2.763845301,87.18449314,3.492985667,88.1140543,5.966645583,95.39723777,NA,58375,73.9,NA,NA,249.328504,214.25,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.92,66.01,8.08,87.32533546,NA,NA,90.020622,NA,NA,NA,2.12888509,1.4816e+11,97,88,88,88,89,0,0,21,23,0,37,10000
"112","Great Britain",NA,NA,NA,NA,NA,NA,1.643955588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Greece",1.679683227,78.51626394,3.587050176,84.70523902,2.464642189,94.14578654,NA,19627,100,NA,"1994.1161",2204.354384,2512.67,87,14878,1.38,894,0.08,29495,2.74,38747,3.6,1.23,13261,147,13.67,174,16.18,277,25.76,6181,0.57,2.66,NA,NA,5,0.46,NA,NA,6.07,65240,7915,0.74,0.25,2738,125,11.62,1.32,14149,45267,NA,4.21,70.63,80.97,10.34,NA,"..","..",781.69025,NA,NA,NA,4.98503919,NA,50,96,99,99,97,6,0,17,1,0,0.8,92
"114","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.26,70,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,677.4662958,728.8,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.69,71.56,8.87,358.6275771,NA,NA,386.43213,NA,NA,NA,2.82735742,2e+07,NA,92,92,99,99,0,0,0,0,0,1,1
"116","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.31,72.34,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Guatemala",0.842762166,87.26356488,7.285190797,86.70960649,7.372393618,97.91416321,NA,37079,30,NA,NA,443.9018463,466.59,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.86,72.75,8.89,174.7741773,NA,NA,247.54504,NA,NA,NA,2.33472902,4.64e+10,89,74,74,90,99,0,0,83,0,1,2,320
"118","Guinea",3.588067094,78.28265399,14.05135618,86.72317424,7.321238014,91.28956166,NA,72518,0.2,NA,NA,57.19135929,58.92,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.92,60.68,7.76,33.5831067,NA,NA,31.166372,NA,NA,NA,2.73624478,1.3984e+11,72,51,51,42,52,75,0,0,243,0,28,3600
"119","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,83441,1.6,NA,NA,100.2957262,78.51,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.39,58.75,7.37,16.12130603,NA,NA,37.274281,NA,NA,NA,1.14512231,1.847e+10,94,80,80,78,69,0,0,0,153,0,85,1600
"120","Guyana",NA,NA,NA,NA,NA,NA,NA,55470,23.8,NA,NA,336.1484296,425.81,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.17,67.74,8.57,226.3245947,NA,NA,136.16254,NA,NA,NA,3.11969809,1.79e+09,99,95,95,92,99,0,0,0,0,0,14,110
"121","Haiti",1.717215017,71.62930719,20.39307286,84.26116016,10.22286769,97.9966925,NA,61717,3.1,NA,NA,120.1457421,160.45,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9,63.97,8.07,27.15050735,NA,NA,43.579815,NA,NA,NA,1.55951642,5.685e+10,81,60,60,56,53,13,0,4,0,32,18,2000
"122","Heavily indebted poor countries (HIPC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.1610594,120.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5279.911242,4456.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","High income: nonOECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1589.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","High income: OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5236.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","High SDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.94,80.74,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","High-income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.12,80.91,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
