"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","daily_new_confirmed_cases_of_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"77",2.68,5.429,100.949,-2.15450035435861,90.48,222,3.408,228,12.869,1449.432,156962565,1,68.98
"78",7.711,50.349,501.875,34.7591189539976,69.68,240,5.723,245,82.959,6927.057,71424438,1,74.54
"79",1.615,18.746,629.25,0.277337559429469,141.91,150,2.332,226,112.126,11434.097,30914996,1,75.93
"80",0.442,12.151,1318.604,-19.5875015437816,490.23,215,3.216,227,141.764,11901.464,4232536,2,48.15
"81",1.153,49.448,637.857,-40.1777007259725,45.47,208,0.796,231,135.52,36049.047,8380100,1,52.78
"82",2.561,24.048,2155.558,88.9318952770288,158.95,239,6.675,248,363.684,9341.067,60426929,2,75.46
"83",2.757,16.885,139.472,-10.9913793103448,39.71,69.43,2.231,196,12.833,2967.417,2349242,0,66.67
"84",1.382,0.727,33.073,10.2820986026892,188.3,196,1.763,237,4.886,775.765,127141000,2,50.46
"85",2.454,43.418,1752.696,39.2214869599066,9.78,25,1.135,214,372.434,5768.322,9031072,0,51.85
"86",2.137,4.261,110.296,18.4782608695652,143.28,132,1.5,215,22.475,7884.077,17105523,0,57.41
"87",3.493,2.734,96.446,39.7843665768194,50.06,131,1.837,177,15.547,945.356,14218114,0,62.96
"89",0.928,19.67,1258.382,7.8899819313391,129.96,168,0.614,206,181.475,28823.366,3935794,1,49.07
"90",0.803,6.744,585.053,17.1577655003069,590.56,117,1.987,205,82.462,8779.019,5557788,2,57.41
"92",2.496,11.664,680.733,66.9700910273082,13.49,67.25,1.288,218,72.103,2594.102,1736269,0,41.67
"93",0.665,16.263,1415.146,14.078185898193,42.77,63,0.797,220,265.038,10841.056,4722144,1,65.74
"94",0.667,0.467,53.215,307.142857142857,88.37,78.08,2.209,114,1.867,908.857,658917,0,60.19
"95",0,0,6.92,169.230769230769,169.47,104,5.779,134,0.593,280.564,760436,0,46.3
"96",1.046,22.703,1028.774,19.3886167877048,75.71,85,1.401,144,109.441,8437.284,6022967,0,72.22
"97",0,0,6135.774,148.936170212766,50.7745,58.62,0.207,4,1835.488,12664.866,4629880.14,0,44.44
"98",2.25,12.857,1261.438,119.846350832266,23.38,85.95,1.241,220,151.71,4173.69,2684137,2,29.63
"99",1.207,22.365,5819.712,160.028551034975,100.85,149.06,0.988,226,774.79,23777.269,555934,0,37.96
"100",4.959,0.253,5.706,182.142857142857,83.52,103,1.438,164,0,612.762,2908091,0,53.7
