"","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
"91",2113.2,4,35.36809,57427.5003,NA,32.39,NA,2155,8.736,NA
"92",46.939999,1,42.64818,1427.6004,6270.58539,1.62,66.9,46.66,NA,NA
"93",61.68,1,44.69431,1116.6402,3664.742496,1.27,56,57.94,NA,NA
"94",850.15997,3,41.0664,24842.3559,2.0437445,3.38,NA,627.05,NA,-0.000521720124063215
"95",198.52,3,31.28565,NA,2.70465,NA,5.2,198.52,NA,NA
"96",72.610001,1,33.03796,1667.2951,1917.911006,1.82,77.7,73.1,NA,NA
"97",1294.25,4,28.66509,32028.9124,NA,NA,NA,NA,NA,NA
"98",174.63,2,32.61935,3457.515,45.088596,3.7,52.2,175.37,NA,NA
"99",351.48999,3,36.76121,20138.5723,0.786429,NA,NA,351.49,NA,NA
"100",415.89999,3,45.37549,16494.079,635.021306,8.02,2.8,341.5,19.664,-0.000145610036297862
"101",286.64999,2,25.66165,6746.7285,0.246886,4.86,0.8,284.48,NA,NA
"102",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"103",441.22,3,38.48795,19504.1588,0.988931,6.06,0.3,441.22,NA,NA
"104",305.10001,2,39.54851,8451.1355,55.67418,2.55,15.4,238.74,NA,NA
"105",81.559998,1,53.99668,1132.7709,4635.128613,1.45,69.6,59.56,NA,NA
"106",172.39,2,30.69687,5838.2173,NA,NA,NA,NA,NA,NA
"107",342.70999,3,59.06661,9043.1202,83.767865,2.14,42,237.07,NA,NA
"108",119.01,1,32.84059,2727.4238,312.661701,2.2,28.6,119.01,NA,NA
"109",1585.92,4,28.12108,47474.1095,NA,26.31,NA,1496.93,6.184,-0.000524075474088864
"110",NA,4,NA,35336.1363,NA,NA,NA,NA,NA,NA
"111",329.39001,2,46.15629,4952.4772,80.87597,4.49,16.1,288.89,NA,NA
"112",78.699997,1,34.27658,964.6601,1720.182366,1.86,89.3,77.62,NA,NA
"113",75.860001,2,35.12774,5237.6623,23490.73132,1.65,53.2,75.86,NA,-2.88551540707234e-05
"114",2162.8799,4,27.55783,84580.1362,NA,35.12,NA,2000.46,7.662,-0.000975421131690217
"115",NA,4,NA,36477.6365,NA,NA,NA,NA,NA,NA
"116",150.3,2,31.60009,5510.3967,1281.683703,2.05,44.2,134.53,NA,NA
"117",747.06,3,49.83834,22637.1482,21.13788,6.96,NA,630.31,22.666,NA
"118",96.879997,2,41.85079,NA,604.282612,1.92,NA,97.63,NA,NA
"119",520.39001,3,45.65064,9338.9484,39.0364215,6.32,NA,570.91,21.394,NA
"120",401.73999,3,41.5109,12310.0847,199.282773,5.52,10.5,424.12,24.442,-0.000906364922193787
