"","indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
"163",2444,2175,2695,2212,42366.3,82.4371973616,2937.82537522,3251,9738,3521,10791
"164",16,2,47,5,344,63.35174954,1715.101289,7,39,20,120
"165",87,0,855,0,8233,84.19060393,1315.983095,2,66,22,596
"166",46,0,1325,1,8570,103.2654537,1659.139655,1,32,43,821
"167",3,0,1415,93,13516,73.05155804,2014.717219,3,10,1148,4250
"168",466,620,868,911,5023,59.2195237,2154.185334,430,1285,683,2284
"169",4423,9236,1998,3540,17222,32.20871276,1365.805022,4387,14977,1949,6957
"170",2898,26,8640,65,80456,118.3890252,2886.400539,924,4800,2915,15075
"172",412,762,328,592,6366,87.14579055,3799.000684,867,2551,706,2053
"174",2,0,115,2,1249,91.83823529,2341.617647,0,5,45,310
"175",12,0,1646,19,14759,131.144482,2938.777324,3,22,416,2995
"176",235,7,9094,205,62681,79.67990748,1938.688764,76,453,2544,16941
"179",2609,5771,1896,4233,19024,48.7394983,2288.004831,3169,8477,2366,6203
"180",1432,5,17285,30,76502,170.6719729,3675.792232,287,3061,2788,34243
"181",1,0,140,10,3633,39.67456157,1453.073992,11,12,1413,1663
"182",350,0,13959,15,63665,98.37599033,1681.976792,15,261,690,10909
"183",317,1,44035,51,283228,88.02077411,1766.364066,36,451,4440,57089
"184",42,0,561,3,2247,65.47202797,1248.222611,3,42,45,590
"185",981,582,4533,1965,26115,87.36158382,2745.870087,750,2551,2875,11106
"187",50,7,2199,213,13437,43.19467522,1133.534746,25,116,1056,5231
"188",12937,663,16082,648,87519,93.65529593,2348.54039,2650,17327,3203,21739
"189",682,656,1344,1058,25210,93.95497913,3519.063059,1359,4063,2443,7864
"190",1218,2964,687,1466,4645,28.65161432,1347.310551,1750,4741,973,2721
"191",1355,1555,846,828,5379,34.47413738,1596.359572,1370,3395,819,2178
"192",114,0,3054,3,16941,160.6848146,3016.835815,6,140,160,3497
