"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"37","Congo",16.672,NA,70611,NA,202.6585841,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,88.853043,9.32e+09
"38","Costa Rica",260.889,NA,23017,100,1286.462817,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,9.82,276.40625,3.3e+08
"39","Cote d'Ivoire",4.625,NA,88856,1.2,189.6011903,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,68.291847,5.166e+10
"40","Croatia",114.487,NA,24063,97,1656.426156,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94,251.05083,8e+07
"41","Cuba",11.301,NA,25180,100,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.73,NA,2.01e+09
"42","Cyprus",28.542,NA,15789,65,2136.797759,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28,937.77203,NA
"43","Democratic Republic of Congo",3.394,NA,92831,10,33.97361777,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,12.715207,5.183e+11
"44","Denmark",122.406,1.815271616,20451,100,5083.20928,85.7,0.05,0.11,2.34,2.42,1.43,NA,NA,NA,0.04,57.6,NA,18.23,6.22,0.47,0.19,NA,0.63,2.5,10.95,697.55823,NA
"45","Djibouti",61.741,NA,64677,30,146.6987696,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,29.903355,6.23e+09
"46","Dominican Republic",205.201,NA,29597,26.5,873.1177009,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,381.37183,3.73e+09
"47","Ecuador",713.482,NA,29357,22.8,980.2299724,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.63,428.47943,2.73e+09
"48","Egypt",60.801,NA,35784,51.1,495.1650809,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.09,306.79916,1.337e+10
"49","El Salvador",148.315,NA,36007,21.6,578.4609406,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.99,161.16724,3.15e+09
"50","Equatorial Guinea",59.16,NA,82201,NA,789.5788502,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,568.37732,8.8e+08
"51","Estonia",55.03,NA,26242,92.9,1886.814387,81.4,0.24,0.12,4.34,3.45,1.38,5.31,15.94,22.77,0.91,68.36,2.28,10.45,5.15,0.53,0.18,15.18,0.85,4.69,10.41,429.6655,NA
"52","Ethiopia",12.569,NA,54964,NA,65.60194586,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.72,24.804361,3.9209e+11
"53","Fiji",2.231,NA,39681,100,331.3576231,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,70.953873,1.428e+10
"54","Finland",63.891,1.746749282,19843,100,3996.436879,89.6,0.15,NA,3.13,2.8,1.01,14.34,23.6,44.84,0.41,85.96,NA,19.69,3.84,0.39,0.24,30.5,0.56,3.28,11.21,794.92712,NA
"55","France",544.493,1.926970959,19104,99.9,4542.307106,87.9,1.45,0.84,3.68,3.09,NA,14.99,28.65,45.55,0.47,NA,10.17,NA,NA,0.84,0.23,20.4,0.48,5.98,10.64,308.73276,NA
