"","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"28",NA,77369,2,162.8401984,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.49,60.14,7.65,113.57147,9.525e+10
"29",1.710261106,18838,100,4600.088285,87.6,0.02,NA,2.49,1.95,0.67,0.19,16.05,19.67,0.43,4.49,NA,11.6,2.93,0.34,0.18,19.48,0.43,2.5,71.2,81.85,10.66,670.91956,NA
"30",NA,31195,NA,310.4060324,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.18,73.59,9.41,71.923409,NA
"31",NA,97115,6,31.85577603,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.65,50.16,6.51,12.615376,2.319e+10
"32",NA,94563,NA,99.77119413,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.72,59.83,8.11,56.241741,2.234e+10
"33",NA,21333,93.1,1903.118645,76,0.55,NA,1.56,1.99,1.27,8.05,13.44,19.48,0,49.85,NA,2.99,2.62,0.1,0.1,11.43,0.45,2.11,69.9,80.32,10.42,613.57904,3.4e+08
"34",NA,24811,96.9,762.2437789,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,67.85,76.36,8.51,246.86253,7.943e+10
"35",NA,27188,87.7,852.8121654,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,69.09,78.26,9.17,156.01645,4.45e+09
"36",NA,59673,NA,121.0422012,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.29,67.54,8.25,90.556938,2.28e+09
"37",NA,70611,NA,202.6585841,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.63,62.89,8.25,88.853043,9.32e+09
"38",NA,23017,100,1286.462817,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,71.16,80.98,9.82,276.40625,3.3e+08
"39",NA,88856,1.2,189.6011903,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.15,59.87,7.72,68.291847,5.166e+10
"40",NA,24063,97,1656.426156,81.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.42,77.36,9.94,251.05083,8e+07
"41",NA,25180,100,NA,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.19,78.91,9.73,NA,2.01e+09
"42",NA,15789,65,2136.797759,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.2,80.48,10.28,937.77203,NA
"43",NA,92831,10,33.97361777,40.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.11,61.56,8.45,12.715207,5.183e+11
"44",1.815271616,20451,100,5083.20928,85.7,0.05,0.11,2.34,2.42,1.43,NA,NA,NA,0.04,57.6,NA,18.23,6.22,0.47,0.19,NA,0.63,2.5,69.88,80.82,10.95,697.55823,NA
"45",NA,64677,30,146.6987696,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.58,66.68,8.1,29.903355,6.23e+09
"46",NA,29597,26.5,873.1177009,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.41,75.64,9.22,381.37183,3.73e+09
"47",NA,29357,22.8,980.2299724,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2,77.83,9.63,428.47943,2.73e+09
"48",NA,35784,51.1,495.1650809,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.04,72.13,10.09,306.79916,1.337e+10
"49",NA,36007,21.6,578.4609406,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.48,75.47,8.99,161.16724,3.15e+09
"50",NA,82201,NA,789.5788502,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.66,65.47,8.81,568.37732,8.8e+08
"51",NA,26242,92.9,1886.814387,81.4,0.24,0.12,4.34,3.45,1.38,5.31,15.94,22.77,0.91,68.36,2.28,10.45,5.15,0.53,0.18,15.18,0.85,4.69,67.16,77.58,10.41,429.6655,NA
"52",NA,54964,NA,65.60194586,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.91,65.63,7.72,24.804361,3.9209e+11
"53",NA,39681,100,331.3576231,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.21,65.38,8.17,70.953873,1.428e+10
"54",1.746749282,19843,100,3996.436879,89.6,0.15,NA,3.13,2.8,1.01,14.34,23.6,44.84,0.41,85.96,NA,19.69,3.84,0.39,0.24,30.5,0.56,3.28,70.53,81.74,11.21,794.92712,NA
"55",1.926970959,19104,99.9,4542.307106,87.9,1.45,0.84,3.68,3.09,NA,14.99,28.65,45.55,0.47,NA,10.17,NA,NA,0.84,0.23,20.4,0.48,5.98,71.71,82.34,10.64,308.73276,NA
"56",NA,58498,57.6,480.8514802,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.58,66.53,8.94,124.56293,3.29e+09
"57",NA,62697,99.9,114.0747188,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.27,67.34,9.07,23.163185,2.127e+10
"58",NA,29323,25,717.7162423,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.01,73.92,8.9,411.42606,3.98e+09
"59",NA,19224,100,5356.811177,86.4,2.43,2.31,3.26,6.02,1.18,16.08,19.26,37.31,0,NA,11.74,NA,6.1,1.28,0.27,9.5,1.18,8,70.23,80.93,10.7,671.1239,NA
"60",NA,58375,73.9,249.328504,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.92,66.01,8.08,90.020622,1.4816e+11
"61",NA,19627,100,2204.354384,87,1.38,0.08,2.74,3.6,1.23,13.67,16.18,25.76,0.57,NA,0.46,NA,6.07,0.74,0.25,11.62,1.32,4.21,70.63,80.97,10.34,781.69025,NA
"62",NA,37079,30,443.9018463,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.86,72.75,8.89,247.54504,4.64e+10
"63",NA,72518,0.2,57.19135929,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.92,60.68,7.76,31.166372,1.3984e+11
"64",NA,83441,1.6,100.2957262,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.39,58.75,7.37,37.274281,1.847e+10
"65",NA,55470,23.8,336.1484296,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.17,67.74,8.57,136.16254,1.79e+09
"66",NA,61717,3.1,120.1457421,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.9,63.97,8.07,43.579815,5.685e+10
"67",NA,33106,12,353.3645701,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.27,72.67,8.4,173.59322,3.594e+10
"68",NA,28707,100,1912.069053,79.6,0.02,0.21,6.96,4.27,1,1.2,14.64,16.86,1.22,62.57,2.91,11.8,5.68,0.87,0.15,13.24,0.68,7.02,65.82,75.75,9.92,555.2157,NA
"69",NA,17257,100,4116.171894,93.6,0,0,2.91,2.37,1.21,0,22.96,22.96,0.36,127.52,0,29.55,7.74,0.37,0.24,22.96,0.74,2.91,71.48,82.27,10.79,700.42822,NA
"70",NA,47950,12.5,237.7234161,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,58.89,68.55,9.66,154.66501,3.9127e+11
"71",NA,36015,59,369.2864404,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,62.95,71.66,8.71,189.93916,9.857e+10
"72",NA,30911,90,1261.730503,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.79,75.94,11.15,500.40799,3.48e+09
"73",NA,38798,NA,481.0398448,60.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.43,67.6,10.17,367.85107,1.166e+10
"74",1.82536912,19319,100,5334.947576,88.4,NA,NA,NA,2.77,0.67,3.95,11.65,17.89,0.15,291.99,NA,14.76,4.82,0.34,0.17,NA,0.47,2.96,70.45,81.14,10.7,809.01556,NA
"75",NA,17719,100,2819.111414,85.5,0.37,0.59,2.03,2.19,1.31,2.48,5.07,9.58,0.53,14.65,2.93,7.41,4.37,0.4,0.16,4.17,0.61,2.99,71.44,82.14,10.7,686.99359,NA
"76",1.741591692,16957,100,3350.575515,88.7,0.93,0.13,2.12,2.62,1.02,9.91,14.83,17.56,0.14,44.33,0.53,7.44,6.55,0.09,0.17,7.12,0.99,3.18,71.75,82.34,10.59,765.02649,NA
"77",NA,32646,20.1,511.3773951,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.34,74.9,9.55,121.21803,1.8e+08
"78",NA,15700,100,4405.131829,89,NA,NA,3.55,7.79,NA,NA,58.03,66.39,2.64,NA,NA,NA,NA,2.62,0.12,12.14,NA,13.05,73.16,83.94,10.78,576.96307,NA
"79",NA,30626,75,568.122532,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,76.29,11.19,142.87909,3.763e+10
"80",NA,42084,70,903.3240914,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.67,71.75,9.08,350.55191,4.23e+09
"81",NA,62578,39.4,157.1920959,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.59,66.84,8.25,52.449409,1.9222e+11
"82",NA,22687,100,2977.514144,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.24,79.7,11.46,428.12521,NA
