"indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","excess_mortality_from_fossil_fuels","excess_mortality_from_all_anthropogenic_pollution","total_years_life_lost_from_air_pollution_all_sources","total_years_life_lost_from_fossil_fuels","total_years_life_lost_from_all_anthropogenic_pollution","death_rates_from_all_air_pollution_per_100_000","death_rates_from_air_pollution_from_fossil_fuels_per_100_000","death_rates_from_all_anthropogenic_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","yll_rates_from_air_pollution_from_fossil_fuels_per_100_000","yll_rates_from_anthropogenic_air_pollution_per_100_000","deaths_from_fossil_pollution_as_a_share_of_total_air_pollution_deaths","deaths_from_fossil_pollution_as_a_share_of_total_anthropogenic_air_pollution_deaths","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
154,0,2323,1,14328,3470,6954,241177,58143,116595,138.434796,33.52657329,67.18841229,2330.212786,561.7681702,1126.521848,24.21831379,49.89933851,48.53433836,7,92,106,1411
0,0,25,3,680,80,95,23740,2830,3350,30.42505593,3.579418345,4.250559284,1062.192394,126.6219239,149.8881432,11.76470588,84.21052632,13.97058824,0,0,96,171
1955,35,6862,76,35895,22879,29462,729676,464731,598705,183.9731434,117.2620573,151.0019989,3739.818564,2381.892266,3068.551074,63.73868227,77.65596361,82.07828388,284,3000,820,9570
498,5,37663,207,186086,113708,151680,4320968,2638562,3521172,129.715501,79.26276124,105.732012,3012.02954,1839.269971,2454.513451,61.10508045,74.9657173,81.51069935,142,1174,8321,80306
921,1830,576,1125,4935,254,2287,200408,9853,92728,42.50646361,2.187769353,19.69853744,1726.167246,84.86650171,798.6908526,5.146909828,11.10625273,46.34245187,799,2567,501,1609
5443.62,2911.24,9405.18,1923.8,76051.08,26843.05,47779.18,2001059.08,616354.74,1218878.68,113.7469273689,36.85519140825,69.5212621165,3246.27364703,952.607122613999,1758.585009735,35.70889839912,50.2615483433,65.0261689010999,4482.09,19707.82,3281.93,19054.49
24,10,13,4,80,3,31,3197,106,1288,42.10526316,1.578947368,16.31578947,1682.631579,55.78947368,677.8947368,3.75,9.677419355,38.75,12,39,6,21
24,0,2637,21,21720,1944,2471,576908,50350,64054,68.8649356,6.163601971,7.834496127,1829.13132,159.6385593,203.0881485,8.950276243,78.67260219,11.37661142,12,57,1557,7106
917,1407,767,1124,13060,438,1217,486729,13769,38760,86.32427788,2.895102122,8.044153612,3217.192148,91.01064181,256.1967083,3.353751914,35.99013969,9.318529862,1214,3961,1020,3341
1342,5,2229,5,16114.62,6748.05,11851.25,349330.64,138428.7,247116.09,123.4268444955,51.20148563734,76.94486524322,2612.47489225,1010.6348308,1600.24383809,45.5031799884,73.3403512941,66.5542068986,193,2489,270,3674
269,1880,152,996,8969,144,1730,412656,5770,70858,138.9896172,2.231520223,26.80923601,6394.793119,89.41577561,1098.062916,1.605530159,8.323699422,19.28866094,878,2499,504,1433
0,0,567,2,3138,1095,2096,67255,23380,44854,55.99571734,19.53961456,37.40185582,1200.124911,417.2019986,800.3925767,34.89483748,52.24236641,66.79413639,0,0,66,766
85,0,1490,5,7724,5378,7135,162683,113144,150234,142.3516403,99.11537044,131.4964983,2998.212311,2085.219314,2768.779948,69.6271362,75.3749124,92.3744174,8,122,133,2046
65,0,527,0,2659,1736,2112,47560,31008,37742,128.5783366,83.94584139,102.1276596,2299.806576,1499.419729,1825.048356,65.28770214,82.1969697,79.42835653,3,51,19,401
893,2925,371,1063,8456,646,1557,535544,38356,95675,78.39065542,5.98869009,14.43404098,4964.716789,355.5761565,886.9472513,7.639545885,41.49004496,18.41296121,1500,4600,630,1970
1723,584,5077,1317,40627,14802,30723,1207805,438839,912854,74.55863598,27.16461786,56.38282357,2216.562713,805.356961,1675.268887,36.43389864,48.17888878,75.62212322,1241,3385,3526,11657
2,0,8069,10,58905,31180,42904,1180077,621370,856998,117.1236531,61.99669811,85.30809287,2346.404025,1235.499946,1704.010465,52.93268823,72.67387656,72.83592225,0,1,744,8793
1050,5689,590,3094,15271.86,4140.82,8455.62,603832.79,107767.47,239773.13,108.2618500908,36.3717710822,58.4086692428,3281.03934983,845.010682323,1408.11596032,34.20804771974,53.24970272946,60.9825862712,1291,4565,740,2591
326,0,9078,3,48429,14504,21396,779593,231864,342618,105.0019559,31.44703315,46.39001112,1690.284536,502.7188978,742.8515998,29.9489975,67.78837166,44.18014,16,180,405,4682
1843,32,1773,23,18337,2911,7922,451399,70761,193741,88.52039158,14.0526182,38.24281737,2179.09234,341.593032,935.2690835,15.87500682,36.74577127,43.20226864,663,5168,632,5122
2444,2175,2695,2212,53688.51,19125.31,33408.25,1350511.23,456729.35,916533.14,110.7296698599,36.78463595965,65.4091759282,3060.91107167,938.235372073,1687.67105329,35.8759855735,51.4248576602,67.3297371621999,3251,9738,3521,10791
16,2,47,5,344,10,54,9313,285,1481,63.35174954,1.841620626,9.944751381,1715.101289,52.48618785,272.7440147,2.906976744,18.51851852,15.69767442,7,39,20,120
87,0,855,0,8233,4092,6909,128690,63894,107928,84.19060393,41.84476512,70.65138862,1315.983095,653.3796244,1103.671019,49.7024171,59.22709509,83.91837726,2,66,22,596
46,0,1325,1,8570,5645,7506,137692,90588,120531,103.2654537,68.0202434,90.44463188,1659.139655,1091.553199,1452.355706,65.86931155,75.20650147,87.58459743,1,32,43,821
3,0,1415,93,13516,3240,3610,372763,88182,98348,73.05155804,17.51161942,19.51140312,2014.717219,476.6079085,531.5533169,23.97158923,89.75069252,26.70908553,3,10,1148,4250
466,620,868,911,5023,780,1256,182718,26909,44046,59.2195237,9.195944353,14.80782834,2154.185334,317.2482905,519.2879038,15.52856858,62.10191083,25.00497711,430,1285,683,2284
4423,9236,1998,3540,17222,924,7751,730296,39364,332260,32.20871276,1.728071687,14.49597797,1365.805022,73.61884619,621.3951284,5.365230519,11.92104245,45.00638718,4387,14977,1949,6957
2898,26,8640,65,80456,25277,52293,1961569,613089,1269776,118.3890252,37.19448382,76.94786336,2886.400539,902.1453847,1868.444154,31.41717212,48.33725355,64.99577409,924,4800,2915,15075
412,762,328,592,6366,171,1718,277517,6458,67830,87.14579055,2.340862423,23.51813826,3799.000684,88.40520192,928.5420945,2.686145146,9.953434226,26.98711907,867,2551,706,2053
2,0,115,2,1249,51,131,31846,1336,3379,91.83823529,3.75,9.632352941,2341.617647,98.23529412,248.4558824,4.083266613,38.93129771,10.48839071,0,5,45,310
12,0,1646,19,14759,1509,1896,330730,33219,41778,131.144482,13.40856584,16.84734317,2938.777324,295.1750489,371.2280078,10.22426994,79.58860759,12.84639881,3,22,416,2995
235,7,9094,205,62681,26231,32633,1525089,635461,790355,79.67990748,33.34477199,41.48297603,1938.688764,807.7962012,1004.69701,41.84840701,80.38182208,52.06202837,76,453,2544,16941
2609,5771,1896,4233,19024,724,6714,893054,31368,307273,48.7394983,1.854888392,17.20127163,2288.004831,80.36483298,787.2335923,3.805719092,10.78343759,35.29226241,3169,8477,2366,6203
1432,5,17285,30,76502,50691,65400,1647637,1090921,1408120,170.6719729,113.0889778,145.9039898,3675.792232,2433.787866,3141.442295,66.26101278,77.50917431,85.4879611,287,3061,2788,34243
1,0,140,10,3633,423,517,133058,15267,18686,39.67456157,4.619416335,5.645953298,1453.073992,166.7248917,204.0624436,11.64327002,81.81818182,14.23066336,11,12,1413,1663
350,0,13959,15,63665,27905,40091,1088508,475884,684429,98.37599033,43.11917082,61.94913733,1681.976792,735.3421783,1057.588639,43.83099034,69.60415056,62.97180554,15,261,690,10909
317,1,44035,51,283228,193617,230348,5683701,3881726,4617018,88.02077411,60.17172815,71.5868815,1766.364066,1206.351517,1434.863426,68.36082591,84.0541268,81.32952957,36,451,4440,57089
42,0,561,3,2247,331,1140,42839,6227,21680,65.47202797,9.644522145,33.21678322,1248.222611,181.4393939,631.7016317,14.73075211,29.03508772,50.73431242,3,42,45,590
981,582,4533,1965,26115,3478,5108,820823,106631,157544,87.36158382,11.63483012,17.08761134,2745.870087,356.7089046,527.0263589,13.31801647,68.08927173,19.55964005,750,2551,2875,11106
50,7,2199,213,13437,1804,3710,352620,46282,96485,43.19467522,5.799151157,11.92619224,1133.534746,148.7784445,310.1613633,13.42561584,48.62533693,27.61032969,25,116,1056,5231
12937,663,16082,648,87519,34890,61201,2194664,854156,1522630,93.65529593,37.33627298,65.49203905,2348.54039,914.0441841,1629.387484,39.86562918,57.0088724,69.92881546,2650,17327,3203,21739
682,656,1344,1058,25210,1838,3032,944235,62192,103518,93.95497913,6.850029815,11.29994037,3519.063059,231.7829457,385.8005367,7.290757636,60.62005277,12.02697342,1359,4063,2443,7864
1218,2964,687,1466,4645,348,3213,218426,16966,152504,28.65161432,2.146557973,19.81865163,1347.310551,104.6508694,940.6858536,7.491926803,10.83099907,69.17115178,1750,4741,973,2721
1355,1555,846,828,5379,407,3180,249080,19592,148573,34.47413738,2.608472562,20.38069471,1596.359572,125.5655883,952.2078477,7.566462168,12.79874214,59.11879532,1370,3395,819,2178
114,0,3054,3,16941,11534,16509,318065,216295,309937,160.6848146,109.3996016,156.5873091,3016.835815,2051.550792,2939.742009,68.08334809,69.86492216,97.44997344,6,140,160,3497
