"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.78398382193,94563,14.7098756998655,99.77119413,37.7,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,1.99347333333333,8.11,56.241741,2.234e+10
1.72101695066,21333,93.1,1903.118645,76,0.55,0.6881,1.56,1.99,1.27,8.05,13.44,19.48,0,49.85,3.1158,2.99,2.62,0.1,0.1,11.43,0.45,2.11,10.42,613.57904,3.4e+08
1.81046860461,24811,96.9,762.2437789,74.2,0.7839,0.4168,3.9833,3.9023,1.1557,9.47190000000001,14.3453,27.0955,0.5662,58.1265,2.5778,10.6526,4.8564,0.755300000000001,0.1777,14.7025,0.658799999999999,4.34,8.51,246.86253,7.943e+10
1.70245190386,27188,87.7,852.8121654,67.8,0.6387,0.2726,2.5431,2.5058,1.146,11.4394,15.2622,26.2792,0.4938,61.5238,1.886,8.49560000000001,4.181,0.4467,0.113,13.5094,0.5205,1.71,9.17,156.01645,4.45e+09
1.70793252235,59673,38.7712610565259,121.0422012,47.7,0.6639,0.2401,2.8049,2.4741,1.1744,10.9686,15.6888,26.5802,0.5119,62.0733,1.6122,8.5625,4.1864,0.4569,0.113,15.6453,0.5286,1.85724833333333,8.25,90.556938,2.28e+09
1.72000221136,70611,22.5824974080773,202.6585841,43.5,0.6495,0.2617,2.878,2.7567,1.164,10.3827,15.5373,26.4719,0.517,64.038,1.7009,9.3162,4.3005,0.4868,0.1265,16.5585,0.5507,1.80134833333333,8.25,88.853043,9.32e+09
1.73949581265,23017,100,1286.462817,72.9,0.6381,0.2399,2.7196,2.7659,1.1351,9.83970000000001,14.7109,26.0743,0.4598,61.1318,2.1078,8.76060000000001,4.5222,0.4935,0.1232,13.8503,0.5829,1.13,9.82,276.40625,3.3e+08
1.78398382193,88856,1.2,189.6011903,42.4,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5669,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,2.03187333333333,7.72,68.291847,5.166e+10
1.7369159961,24063,97,1656.426156,81.6,0.6141,0.1812,2.7595,3.0696,1.096,8.68930000000001,14.8222,25.3616,0.393,62.2678,1.8256,9.9867,4.6159,0.5269,0.1414,13.0801,0.6353,3.18786666666667,9.94,251.05083,8e+07
1.74320748686,25180,100,1430.38070286096,73.5,0.5618,0.132,2.8355,2.798,1.0876,8.56060000000001,14.3076,25.5286,0.4657,59.42,1.5408,9.30860000000001,4.6219,0.4854,0.1259,13.7429,0.6263,2.7495,9.73,348.526757953102,2.01e+09
1.78776499514,15789,65,2136.797759,85.3,0.6116,0.3324,2.8789,3.623,1.1769,9.20870000000001,20.5197,30.035,0.4043,67.1633,2.5414,12.2443,5.2563,0.813300000000001,0.1927,15.0269,0.7456,3.9528,10.28,937.77203,11888989876.4931
