"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
174.63,"2",32.61935,3457.515,45.088596,3.7,52.2,32,21.4,46.5,175.37,16.01501,-0.000902790392347438
351.48999,"3",36.76121,20138.5723,0.786429,5.5563,0.871,41.829,27.571,29.053,351.49,13.99499,-0.00204704546016101
415.89999,"3",45.37549,16494.079,635.021306,8.02,2.8,35,24.8,40.2,341.5,19.664,-0.000145610036297862
286.64999,"2",25.66165,6746.7285,0.246886,4.86,0.8,31.2,21.5,47.3,284.48,14.56406,-0.00230069472817632
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
441.22,"3",38.48795,19504.1588,0.988931,6.06,0.3,57.4,12.9,29.7,441.22,15.52853,-0.00205732152335716
305.10001,"2",39.54851,8451.1355,55.67418,2.55,15.4,47.3,18.5,34.2,238.74,17.17619,-0.000599234731161116
81.559998,"1",53.99668,1132.7709,4635.128613,1.45,69.6,29.1,20.7,50.2,59.56,18.58072,-0.000262936905337945
172.39,"2",30.69687,5838.2173,393.3312854,3.3775,27.003,29.742,29.878,39.943,178.2874,16.19834,-0.000578327635554461
342.70999,"3",59.06661,9043.1202,83.767865,2.14,42,11.5,38.7,49.8,237.07,21.05221,-0.00045986992023498
119.01,"1",32.84059,2727.4238,312.661701,2.2,28.6,27.3,28.3,44.3,119.01,16.15462,-0.000648466715236775
1585.92,"4",28.12108,47474.1095,52.26579394,26.31,7.214,19.829,64.1100000000001,17.334,1496.93,6.184,-0.000524075474088864
1283.9972894,"4",30.4417972,35336.1363,6.37233570999997,22.9131,1.104,27.387,57.381,14.694,1211.6648,10.32468,-0.00417479401501433
