"school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","effectiveness_larson_et_al_2016","population_with_access_to_improved_sanitation_x","population_without_access_to_improved_sanitation_x","daily_icu_occupancy","daily_icu_occupancy_per_million","daily_hospital_occupancy","daily_hospital_occupancy_per_million","weekly_new_icu_admissions_per_million","weekly_new_hospital_admissions_per_million","importance_larson_et_al_2016","safety_larson_et_al_2016"
"1","1","2","1","2","2","2","0","0","0","0",67.59,"3","2","0","1","0","3",63.57,"3","2",6.299,808743,1121432,2021.79,29.7733,7528.07,227.38669,22.55995,100.57644,3.131,10.409
"1","1","0","0","2","0","2","0","0","0","2",24.07,"0","0","0","1","0","3",42.26,"3","5",13.928,1164801,812789,944.2,51.61343,3208.82,590.484995,68.50787,306.26862,9.22533333333334,17.6352
"0","2","2","0","2","2","2","0","0","0","2",64.81,"4","2","1","0","0","2",66.55,"3","2",6.556,3207857,509243,1686.83,18.4034,6729.31,159.25617,9.74433,56.069315,3.213,8.228
"1","2","2","1","2","0","2","0","0","0","2",59.26,"4","1","2","0","0","3",67.86,"2","5",8,81033118,653493,1617,19.273,4278.65,101.25273,7.96048,25.479,5.8,10.5
"0","2","2","0","2","0","1","0","0","0","0",42.59,"3","1","0","0","0","2",43.57,"4","3",8.4,4109840,23472981,1213.23,39.5496,3530.32,504.424015,33.91731,187.34442,4,5.1
"1","1","1","1","2","1","1","0","0","0","2",48.61,"4","1","2","2","0","3",58.99,"3","4",17,10712674,108209,1225.92,35.95599,5372.91,227.91062,14.181,149.274,11.7,25.4
"1","1","2","0","2","1","3","0","0","0","1",52.78,"4","0","0","2","0","3",57.5,"4","4",6.176,10385302,5867127,1680.71,28.47138,3479.07,234.80903,19.08203,89.58885,3.958,11.471
"1","2","2","0","2","2","2","0","0","0","2",62.04,"3","2","0","0","0","3",67.62,"3","4",5.909,2430398,9661135,2344.4,27.80323,8143.81,218.21594,21.76291,94.25934,2.316,9.63
"1","1","1","1","2","0","1","0","0","0","0",47.87415,"3","2","0","0","0","3",53.9201,"3","3",7.517,368269,1402257,781.11,27.65361,3317.5,200.2406,24.33507,98.01815,4.3,12.542
"2","1","2","0","2","0","3","0","0","0","2",60.19,"4","2","1","1","0","2",68.81,"3","4",6.508,643246,125268,814.73,16.96823,4816.1,91.02802,10.16858,62.79024,3.6785,8.533
"1","1","2","0","2","0","2","0","0","0","2",53.7,"4","2","1","1","0","3",63.21,"3","3",5.638,2956253,7754808,549.47,15.26687,3130.28,130.466636666667,9.94327,51.98392,2.7125,7.528
"3","3","2","0","2","2","3","0","0","0","0",76.85,"4","1","1","2","0","3",72.38,"3","4",6.638,7401645,1559184,1687.38,19.623175,6514.46,164.69333,8.17434,51.397735,4.059,8.637
"0","0","0","0","2","0","3","9875370","0","0","1",27.78,"3","0","0","1","0","3",44.05,"2","5",10.393,9646167,196861,528.66,29.63507,1233,127.982,32.58067,194.89407,7.839,15.612
"2","1","1","0","2","0","3","0","0","0","2",41.67,"2","0","2","2","0","3",51.79,"2","5",2.3,326845,3970,341.905,12.17077,7,20.387,0,19.224,1,5.5
"2","2","2","2","2","2","3","0","0","0","1",70.83,"4","2","0","1","0","2",72.68,"4","4",7.5,518385376,790668604,4173.41,46.34723,13852.66,343.37453,35.89391,181.89407,4.9,8.5
"3","2","2","1","2","2","3","0","0","0","2",68.98,"4","2","1","1","0","3",72.44,"4","3",7,156962565,101199548,1602.59,21.23894,9570.83,142.19795,8.60099,59.01479,2,3.4
"2","3","2","1","2","2","3","0","0","0","1",74.54,"3","1","1","1","0","2",67.08,"3","3",8.5,71424438,7936049,3661.12,42.48353,11705.77,298.34423,19.58876,107.88441,0.4,22.6
"3","2","2","0","2","2","3","0","0","0","0",75.93,"3","2","1","1","0","3",69.35,"4","5",6.51,30914996,5200653,1686.15,25.33187,8688.64,167.97791,9.76818,57.74518,3.82,8.673
"1","2","1","0","2","0","3","0","0","0","2",48.15,"3","1","2","2","0","2",62.5,"3","5",6.2,4232536,444299,97,19.467,471,94.523,2.619,71.71,5.4,10.9
"1","2","2","0","2","0","4","0","0","0","2",52.78,"3","0","2","1","0","2",61.31,"2","5",5.773,8380100,0,142,16.155,285,32.424,9.67,19.682,4.813,10.514
"3","3","2","1","2","2","3","0","0","0","2",75.46,"4","2","1","2","0","3",81.55,"3","5",18.3,60426929,303653,341,5.649,2814,46.615,15.3022,15.996,15.3,21.4
"1","2","2","1","1","2","3","0","0","0","2",66.67,"3","2","0","0","0","3",75.36,"3","4",6.304,2349242,522692,1885.45,27.41589,7575.42,192.14776,20.27927,90.7702,4.292,10.695
"1","2","1","0","2","1","4","0","0","0","1",50.46,"2","1","2","2","0","1",50.65,"1","4",9.9,127141000,0,1416.99,32.69971,6590.71,365.645985,16.9679,130.0319,4.7,25.1
"1","1","1","1","2","0","3","0","0","0","1",51.85,"3","2","1","0","0","3",53.33,"2","4",6.327,9031072,128230,159.21,12.05429,841.33,68.10776,7.47325,41.70772,4.81,10.2895
"2","2","2","0","2","1","3","0","0","0","0",57.41,"4","0","0","0","0","1",51.79,"3","5",7.104,17105523,438603,1752.39,35.22825,3646.77,329.023005,20.63143,127.24229,4.686,11.743
"2","1","2","0","2","2","2","0","0","0","2",62.96,"3","2","1","0","0","2",64.76,"4","2",5.595,14218114,33018145,2121.82,33.01236,6956.92,191.42983,10.64328,86.87693,2.186,6.153
"3","1","2","0","2","0","2","0","0","0","2",49.07,"3","0","1","1","0","3",58.33,"3","5",5.71,3935794,0,76.22,11.06878,952.58,77.62673,8.653814,42.06615,4.441,8.397
"2","2","2","1","2","1","1","0","0","0","1",57.41,"4","0","1","2","0","3",58.33,"2","5",7.881,5557788,399112,1932.59,32.74455,4057.73,242.87829,12.35566,95.97469,5.118,12.3065
"2","1","1","0","2","0","2","0","0","0","1",41.67,"3","0","0","0","0","2",45.83,"2","5",14.3,1736269,241258,731.4,52.8579,1200,642.765,123.711,632.707,8.4,18.6
"1","2","1","1","2","2","2","0","0","0","1",65.74,"3","2","0","1","0","3",68.81,"3","4",8,4722144,1129335,2491.56,41.80689,9369.03,356.83616,26.21147,137.62884,2.6,12.5
"1","2","2","1","2","0","1","0","0","0","1",60.19,"4","2","0","0","0","2",60,"3","2",7.638,658917,1515728,1377.92,31.81145,3951.62,191.84839,22.79946,105.55638,4.419,11.433
"0","1","1","1","2","0","3","0","0","0","2",46.3,"3","1","1","0","0","3",59.29,"4","4",6.497,760436,3739185,590.63,20.319795,3388.36,153.944153333333,10.95005,52.48093,3.977,9.156
"2","2","2","0","2","2","2","0","0","0","0",72.22,"4","2","0","0","0","1",63.21,"3","3",6.028,6022967,211988,2360.52,30.37658,5871.75,219.6711,21.70579,107.27959,2.879,10.572
"1","1","1","0","2","0","3","0","0","0","2",44.44,"3","1","0","0","0","3",52.5,"3","3",5.908,12880739.6083333,3572776.635,402.73,16.90923,3151.22,133.266743333333,17.20495,25.808,3.614,9.302
"1","1","1","0","2","0","2","0","0","0","2",29.63,"0","0","2","2","0","2",48.81,"2","5",12.866,2684137,220773,591.98,39.5500199999999,1720,639.438,37.84456,186.8592,9.49433333333334,16.919
"1","1","1","0","2","0","3","0","0","0","2",37.96,"2","0","1","0","0","3",51.79,"2","5",5.541,555934,13670,8,12.602,27,42.532,7.304194,31.943,4.597,9.0735
"2","2","1","0","2","0","4","0","0","0","1",53.7,"2","2","0","0","0","3",51.79,"3","0",8.39299999999999,2908091,21325997,1605,39.39172,3765.21,312.116025,25.44786,140.11888,4.478,13.475
"0","1","2","0","2","0","3","0","0","0","2",42.59,"3","0","1","1","0","3",56.55,"3","5",6.193,7205179,10368428,859.2,18.66093,3560.63,155.16275,11.18563,52.73529,4.133,8.384
"0","3","2","2","2","2","3","0","0","0","1",80.56,"4","2","1","2","0","3",80.71,"3","4",6.799,29494229,1228926,1683.16,22.72642,7323.68,169.75383,8.71653,56.05405,5.074,11.206
"1","1","1","0","2","0","1","0","0","0","2",43.6397,"3","0","1","1","0","3",53.41114,"2","5",8.38599999999999,400571,8592,304.31,18.68123,1869.15,120.033,13.947924,62.32269,5.854,11.8175
"0","0","0","0","1","0","1","0","0","0","2",8.33,"0","0","0","0","0","2",30.71,"3","4",16.095,4314573,13153332,1122.89,57.27117,3480.44,529.754845,61.57248,266.30615,10.855,21.871
"3","3","2","0","2","2","3","0","0","0","2",75,"4","0","2","1","0","3",80.12,"4","4",7.183,431874,0,3,5.83,12,23.321,1.943,13.604,5.496,9.73100000000001
"0","1","2","0","2","0","1","0","0","0","1",36.11,"0","2","0","0","0","3",43.57,"3","3",14.29,1672936,2509405,1425.75,53.59947,3696.22,534.992845,71.74393,298.82847,9.056,18.8702
"2","2","1","0","2","1","3","0","0","0","2",51.85,"3","1","2","2","0","3",61.07,"3","4",7.63,1175485,87120,1260.31,29.23701,3491.86,215.62989,11.02544,90.44516,4.521,11.688
"3","3","2","1","2","2","1","0","0","0","1",67.13,"4","2","0","1","0","1",64.88,"4","5",13.9,107259089,18631860,2314.14,57.50116,9705.83,577.30797,55.87191,201.72754,11.9,14.3
"2","1","0","0","2","0","2","0","0","0","1",33.33,"2","0","1","1","0","3",48.93,"3","3",7.612,2715339,838769,1594.2,31.82905,3866.19,229.15233,16.98874,136.10602,4.189,12.366
"0","1","1","0","2","0","2","0","0","0","2",37.04,"4","0","2","0","0","3",53.57,"2","5",6.3765,38307,0,137.32,12.43231,546.62,65.14805,4.974934,35.85485,5.268,9.152
"1","1","1","0","2","0","1","0","0","0","2",43.5401,"3","0","1","1","0","3",53.24224,"2","5",7.655,596650,25509,390.47,18.86303,2225.97,129.32143,13.80211,72.91745,5.891,11.7855
"2","2","1","1","1","2","2","0","0","0","1",66.67,"4","2","1","0","0","3",64.17,"3","2",5.2,26694148,8109174,1805.38,27.90125,7777.71,166.65117,9.23686,72.43019,1.3,5.7
"2","1","2","1","2","0","1","0","0","0","1",53.7,"3","2","0","0","0","3",57.26,"3","3",7.084,5742192,22268499,1784.81,35.50985,3629.12,296.88275,21.78548,125.32154,3.149,10.453
"3","2","2","1","2","1","2","0","0","0","1",66.2,"4","2","1","2","0","2",66.13,"4","4",6.501,41713321,10690348,2658.37,30.46755,9270.72,233.11867,10.47832,88.71816,2.301,7.427
"0","1","1","1","2","0","1","0","0","0","2",44.44,"3","2","0","0","0","3",57.26,"3","3",7.108,834393,1591168,711.03,24.04707,3032.97,184.01598,21.01054,82.078,4.482,11.357
"3","2","2","1","2","2","2","0","0","0","1",68.52,"4","1","1","1","0","3",69.52,"4","2",6.563,13124577,15531705,2517.28,29.63378,10120.41,171.935,9.86574,67.60803,2.346,6.84
"1","2","1","1","2","0","3","0","0","0","2",41.67,"0","0","2","0","0","2",51.79,"2","5",6.7,16550305,389618,185,10.773,563,32.784,6.319,33.549,5.7,11.2
"0","0","0","0","2","0","4","0","0","0","2",22.22,"0","0","1","2","0","2",35.48,"2","4",12.931,8038048.87,12017229.16,903.2,40.57698,2760.73,471.248285,30.05725,217.58328,9.534,15.55
