"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
13.648,68.9,51.2,28.5,49.3,3450.537925,7.02172373907,62.05,2348000,59.8,23.55791801,24.65288872,29.9,3,2279,1512,2486937,8175553,3e-04
9.03299999999999,11.9,12.34,8.1,2.2,943.1186411,9.49648854521,73.767,3997000,74.6,27.68977139,27.87763074,7.2,1,467,318,3979773,2514130,5e-04
8.8,3.7,3.88,3,2.7,325.4044188,8.66083974487,81.326,83517000,80.6,27.48449232,26.00994709,2.1,3,2346,1588,83900471,74740596,0.0107
10.1,61.6,62.76,26.2,34.9,3779.929326,7.42737417689,64.074,30418000,61,22.59033672,25.38987538,28.3,44,32021,21363,31732128,79011409,0.004
19.4,4.1,4.92,3.5,13.1,352.2865839,9.600140959,82.239,10473000,80.6,27.65624943,26.9157422,2.9,0,318,214,10370747,6583364,0.0013
16.545,29.1,26.83,16,35,2194.79736,5.134811372,74.302,17581000,71.5,25.83059531,27.49113119,13.4,12,9219,4557,18249868,31270073,0.0023
11.079,93.7,103.06,31.2,48.3,6132.247871,7.55003962336,61.602,12771000,58,22.46822914,23.48420628,31.3,41,25401,13444,13497237,45256876,0.0017
13.147,92.5,80.62,38.4,41.9,5215.989147,7.13203153502,58.322,1921000,54.7,22.85539546,24.15697009,39.7,5,3390,2178,2015490,5706289,3e-04
15.186,39.4,28.64,19.5,10.7,2003.709588,6.637814579,69.906,783000,66.3,25.18206707,27.95808006,22.8,0,306,225,790329,530598,1e-04
11.539,69,63.54,28.6,38.3,4916.711501,7.59675072834,64.001,11263000,62.3,26.62422204,24.34822336,25.4,19,15258,8030,11541683,14760450,0.0015
16.721,20.4,15.92,18.1,22.7,1091.73737,5.6,75.27,9746000,72.8,26.00910489,27.85207042,11,3,2633,1725,10062994,14325309,0.0013
10.89,6.2,5.23,4.7,3.2,394.3886029,13.04478867,76.875,9685000,75,28.39520228,26.65430385,3.5,0,346,217,9634162,6856920,0.0012
12,2,2.46,2.4,2.6,150.2604665,7.17106186315001,82.993,339000,82.3,27.16196688,25.5912036,0.9,0,6,4,343360,353291,0
20.8,47.7,40.83,21.4,38.7,3622.58324,7.4,69.656,1366418048,67.5,21.81452731,22.00366557,27.7,1040,876086,571527,1393409033,1447025612,0.1769
8.4,27.2,29.15,14.8,16.5,2249.603275,7.49156632821,71.716,270625984,68.6,22.58718339,23.90401041,13.5,109,90145,56952,276361788,320782426,0.0351
