"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"32",5.844,83.21726,0.708813159,268.7256318,4.251,7.893766,328.47,30,8.9,22.88,72.58,98.139999,-0.000603147268832296,87.1,44.7,18.51491,94563,1.4037,0.9304,16.0512,0.623,7102.314108,0,32.98,7924.570777,135.8766118
"33",733.723,1.807866,0.622463862,256.8955987,6.151,10.1604348,138.67,0.67,31,18.62,43.92,727.16998,-0.00071218592030412,5.351,38.394,17.20258,21333,0.7315,0,11.43,0.45,627.4581196,1,69.7,982.8727982,47.70448227
"34",3.293,17.94347,0.847186882,301.5002801,5.771,9.8981826,307.9,0.61,6.5,12.13,25.64,332.12,2.21573487824284e-06,5.2,34.4,25.015,24811,0.5968,1.3134,14.0107,0.6994,720.4156658,1,75.89,4470.598062,202.2828099
"35",600.693,22.39919,1.024257877,272.856847,5.709,8.3281758,185.27,1.09,26.6,22.02,50.39,431.25,-0.000306246786847,5.4,34.7,19.592,27188,0.4661,0.5747,12.8121,0.4923,1160.255384,1,53.57,399.1229509,15.55703065
"36",8.05,60.2145,1.100676758,280.4729195,4.609,7.863303,312.61,19.82,12.2,12.07,64.6,180.10001,-0.000513290762897032,36,46.3,19.00657,59673,1.4279,0.7739,15.4011,0.4969,3404.656635,0.35,54.142,1626.142132,33.75634518
"37",16.672,90.04419,0.986611486,323.8801868,5.213,7.7231127,374.62,13.14,13.5,15.38,69.02,117.42,-0.000528808835532379,39.7,56.7,19.10729,70611,1.4235,0.8245,16.1591,0.4881,3457.201389,0,54.17,1653.073593,44.1991342
"38",260.889,10.59034,0.942631128,324.069996,6.998,8.8486617,130.93,0.85,30.4,24.85,39.65,731.75,-0.000569731624264509,8.808,40.746,17.05491,23017,1.0766,0.53,13.0478,0.4435,704.711585,0,61.67,724.0224626,31.23960067
"39",4.625,68.84484,0.814961923,241.3577406,5.257,7.3379487,422.34,21.59,15.2,27.81,101.94,116.93,-0.000508810621867853,58.7,35.9,19.14414,88856,1.4682,0.7803,16.356,0.6147,5579.573984,1,35.71,5049.576685,111.4307011
"40",114.487,5.311003,0.673078637,365.3334068,6.508,8.3590648,325.58,0.31,24.5,8.95,27.81,569.42999,-0.0030582474432756,0.615,18.99,12.12436,24063,0.1096,1.3203,14.4819,0.8209,356.288517,1,45.89,3205.613208,175.3773585
"41",11.301,5.5735888014,0.60580191087,279.562743118,5.418,7.2850055,214.01,0.8,30.3,13.13,28.74,630.4273963,-0.000701118632139272,5.543,31.482,15.64301,25180,0.3141,0.6736,14.5228,0.6769,381.9394847,0,71.13,1583.371378,75.84723442
"42",28.542,0.05130247,0.581570659,254.9310472,6.26,8.2802862,187.14,0.32,21.6,17.83,63.02,1319.55,-0.00978953326137889,3.136,19.701,12.90005,15789,0.2088,0.6343,15.3189,0.7357,251.0092208,2,57.74,1832.532189,100
"43",3.394,95.51018,0.560192577,271.1929958,4.311,6.2299002,353.13,16.71,9.7,11.47,55.64,46.470001,-0.000637439871269276,75.1,53.3,18.3967,92831,1.4676,0.9118,16.195,0.6085,5794.176295,0,33.57,3014.548138,60.24046254
