"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"70",86.963,71.48567,0.788195593,268.9312061,4.225,9.053893,344.27,5.71,5.1,27.09,80.67,111.83,NA,53.7,42.5,19.656,47950,NA,NA,NA,NA,3622.58324,0,72.68,4197.1737,141.3716697
"71",49.4,71.30388,1.020366482,422.4718158,5.347,7.4193282,384.93,1.84,8.9,20.78,83.27,190.66,-1.94231993357779e-05,15.5,26.7,NA,36015,NA,NA,NA,NA,2249.603275,1,72.44,2047.758529,67.7047358
"72",396.45,10.49139,0.870882295,289.0106306,4.865,11.3852069,352.24,1.41,32.2,20.78,59.15,493.39001,NA,NA,NA,NA,30911,NA,NA,NA,NA,1392.306919,1,67.08,1982.833862,85.17994375
"73",266.617,50.81578,1.164338457,327.4819287,4.785,17.2299941,613.13,3.37,37,50.48,142.58,178.81,NA,11.6,10.3,NA,38798,NA,NA,NA,NA,1913.346863,1,69.35,2528.138952,79.51844052
"74",382.762,0.3353735,0.577231411,206.3962812,7.035,7.3088405,159.45,0.32,25.5,9.19,22.99,1408.09,NA,NA,NA,9.403,19319,NA,0.15,NA,0.47,310.7764911,2,62.5,1171.906997,65.0383959
"75",286.868,0.9977683,0.508129071,223.5212365,7.195,7.0922374,119.21,0.37,26.2,22.52,56.8,1097.22,-0.00088353545836332,NA,NA,19.317,17719,0.59,0.53,4.17,0.61,285.1116599,2,61.31,1675.868056,94.69246032
"76",623.534,2.472911,0.316287353,258.4407102,6.488,7.0540891,144.02,0.22,19.5,8.78,26.86,1227.58,-0.00028657815200724,NA,NA,12.9,16957,0.13,0.14,7.12,0.99,265.355629,1,81.55,2077.96101,136.2470453
"77",66.19,52.39908,1.014786055,459.2750456,6.309,9.2817333,248.65,1.73,33.4,30.32,147.02,366.34,NA,1.8,41.6,NA,32646,NA,NA,NA,NA,1665.110074,0,75.36,1208.77193,56.56999642
"78",13.678,1.616443,3.034385921,434.3462374,6.118,8.3588827,94.69,0.2,3.7,9.7,16.2,1212.01,-7.93440397254428e-05,NA,NA,10.938,15700,NA,2.64,12.14,NA,182.5704198,2,50.65,2422.696688,160.2324287
"79",65.47,19.90089,0.643548024,345.0795845,4.094,16.510798,297.16,0.78,43.1,40.39,95.57,331.66,NA,1.7,2.4,NA,30626,NA,NA,NA,NA,1573.533901,1,53.33,1706.34628,61.38248848
"80",118.285,1.16534,0.652794041,233.6312211,6.168,12.3560972,534.53,1.06,22.7,11.76,25.93,340.60999,NA,0.2,19.6,NA,42084,NA,NA,NA,NA,1142.521387,0,51.79,2241.095035,87.44397163
"81",17.37,78.95827,0.766345623,257.6809474,4.547,5.8172238,225.89,17.21,11.1,8.37,41.49,100.36,NA,39.9,57.2,NA,62578,NA,NA,NA,NA,3504.208152,1,64.76,1375.87408,32.25190081
"82",177.026,NA,NA,NA,6.106,19.6593654,245.7,0.55,45.6,19.5,48.74,NA,NA,NA,NA,NA,22687,NA,NA,NA,NA,640.673225,1,58.33,1891.341213,63.33504625
"83",174.428,57.584,0.964181593,304.2461928,6.25,9.9323155,574.47,1.08,18.6,11.18,26.46,161.92,NA,0.5,25.9,NA,39969,NA,NA,NA,NA,1820.068974,1,58.33,1998.164983,71.66666667
"84",33.4,2.62944,0.448210108,278.071027,6.229,7.8315259,423.55,0.43,25.1,6.1,22.42,706.84998,-0.00514209868330136,NA,NA,NA,29932,0,0.63,23.17,0.7,374.9379534,0,45.83,3059.512938,155.3018772
"85",86.441,NA,NA,NA,4.024,14.4658527,217.53,0.64,37,11.09,37.54,705.17999,NA,NA,NA,NA,20828,NA,NA,NA,NA,582.5027634,0,68.81,2259.425353,103.0934707
"86",20.072,76.94296,0.607529939,349.9884516,3.512,7.3050801,501.31,8.64,26.7,33.31,197.82,75.699997,NA,32,55.3,NA,99421,NA,NA,NA,NA,4508.359369,0,60,2108.52459,54.66042155
"87",16.213,97.57058,0.970414826,423.2618395,5.121,7.7892159,346.06,19.99,14.2,26.69,87.07,83.059998,NA,71.2,46.4,NA,62373,NA,NA,NA,NA,4654.678674,1,59.29,3174.46147,74.92782589
"88",118.173,NA,NA,NA,5.33,15.1971092,310.43,0.98,39.6,43.25,87.13,NA,NA,1.5,7.8,NA,28906,NA,NA,NA,NA,685.4828238,0,63.21,2609.971328,98.7575661
"89",26.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52.5,NA,NA
"90",51.795,2.856601,0.512512295,268.5988427,6.391,8.9232895,382.11,0.57,27.8,4.51,13.75,756.90002,-0.00137553525050728,NA,NA,12.39,30215,0,0.5,30.05,1.07,387.5722797,2,48.81,3244.440584,166.2960389
"91",234.833,0.4126038,0.334489337,208.1221882,7.404,6.9729089,150.35,0.19,20.7,8.54,20.95,2113.2,NA,NA,NA,8.736,18648,NA,0,8.57,0.68,166.9540009,1,51.79,1516.931217,83.95061728
"92",8.812,96.73974,1.07819951,289.0422163,4.339,6.3172086,505.29,21.16,7.5,10.56,55.94,46.939999,NA,66.9,49.1,NA,54971,NA,NA,NA,NA,5515.980977,0,51.79,1414.355271,34.07468537
"93",9.566,92.84431,0.28486552,225.8655657,3.869,6.6198552,312.91,25.65,9.1,14.34,64.29,61.68,NA,56,57,NA,70678,NA,NA,NA,NA,4574.614403,1,56.55,1694.371188,41.42898635
"94",7.353,2.754231,0.908167921,331.0328026,5.428,11.4416249,320.97,2,17.9,19.58,57.6,850.15997,-0.00052172012406321,NA,NA,NA,29765,NA,NA,NA,NA,573.4911005,1,80.71,1124.367771,44.13636068
"95",68.45,2.729918,0.422614866,303.9718019,5.198,11.063976,239.27,0.53,11.4,36.26,68.04,198.52,NA,5.2,5.3,NA,25036,NA,NA,NA,NA,627.7546001,NA,NA,925,37.08791209
"96",6.716,90.62164,0.599600045,272.2387853,4.988,8.3645204,318.64,28.3,12.4,19.54,70.88,72.610001,NA,77.7,38.9,NA,75910,NA,NA,NA,NA,7457.332333,0,30.71,4670.454015,97.19885259
"97",124.564,0.3113678,0.763473885,328.5045863,6.157,9.0493557,181.96,0.32,28.5,10.76,30.21,1294.25,NA,NA,NA,NA,19507,NA,NA,NA,NA,510.3950935,2,80.12,2280.190931,137.4701671
"98",35.056,68.03631,0.87682579,370.0824451,4.153,8.4635263,288.87,15.9,18.5,20.46,67.83,174.63,NA,52.2,46.5,NA,58285,NA,NA,NA,NA,3387.681805,0,43.57,4527.851524,117.7236971
"99",7.863,12.04238,0.813268366,310.7602209,6.015,12.8618866,271.8,0.91,15.7,67.1,222.12,351.48999,NA,NA,NA,NA,30076,NA,NA,NA,NA,1223.68286,2,61.07,1685.781618,64.33621367
"100",696.596,17.93763,0.661079505,272.9306122,5.964,10.869791,158.3,0.64,32.8,62.13,139.43,415.89999,-0.00014561003629786,2.8,40.2,19.664,26763,NA,NA,11.26,0.16,1090.74491,0,64.88,1106.267613,43.21704764
"101",423.901,4.655106,0.801924017,240.434778,5.812,7.7593317,543.97,0.75,21.1,4.48,17.44,286.64999,NA,0.8,47.3,NA,35472,NA,NA,NA,NA,1415.151935,1,48.93,3120.496436,132.5387073
"102",25.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,53.57,NA,NA
"103",437.855,14.87213,0.560815752,314.3971323,5.722,7.5727608,412.62,0.26,23.1,13.84,33.47,441.22,NA,0.3,29.7,NA,26702,NA,NA,NA,NA,322.9366836,NA,NA,NA,NA
"104",93.334,13.70442,0.607821254,241.386196,4.803,14.0416698,319.37,2.28,32.2,37.14,91.46,305.10001,NA,15.4,34.2,NA,38061,NA,NA,NA,NA,1974.792896,1,64.17,2137.163364,87.08476604
"105",2.848,90.62317,0.382520329,291.419903,4.932,6.5621686,338.52,18.32,10.5,13.58,65.91,81.559998,NA,69.6,50.2,NA,88491,NA,NA,NA,NA,5656.85676,0,57.26,2489.934771,53.81728116
"106",21.081,51.92937,0.909689542,306.2327242,4.431,6.9114952,285.17,3.28,7.3,29.02,82.14,172.39,NA,NA,NA,NA,48793,NA,NA,NA,NA,3744.050998,1,66.13,3949.238362,131.7234725
"107",52.343,45.98487,1.008157292,266.2691713,4.451,7.3191306,330.6,5.68,25.4,21.52,105.85,342.70999,NA,42,49.8,NA,48404,NA,NA,NA,NA,2983.073149,0,57.26,1138.755592,31.27287515
"108",30.065,72.0897,0.986364173,320.5217644,5.449,11.6872047,330.7,4.62,5.4,26.46,80.96,119.01,NA,28.6,44.3,NA,43324,NA,NA,NA,NA,2634.820986,1,69.52,2608.413502,93.42428608
"109",416.227,0.3128131,0.300922706,231.2824932,7.504,5.1717566,127.71,0.41,20,7.93,26.32,1585.92,-0.00052407547408886,NA,NA,6.184,18770,3.32,0.29,0,0.42,331.5925856,2,51.79,2046.310192,118.7828656
"110",5.184,NA,NA,NA,7.257,7.9042936,155.77,0.34,31.4,10.75,26.13,NA,NA,NA,NA,NA,18742,0.1,0.02,17.27,0.71,385.6312521,1,35.48,849.2603224,46.85361007
"111",23.549,27.84136,1.43555517,294.0000802,6.113,9.2258635,180.52,1.44,29,58.52,99.69,329.39001,NA,16.1,47.8,NA,33239,NA,NA,NA,NA,1309.024948,0,21.55,1085.662611,36.30384742
"112",2.85,91.94135,0.608233806,301.3851715,5.004,5.9408535,334.07,33.31,8.7,19.47,70.73,78.699997,NA,89.3,40.1,NA,70093,NA,NA,NA,NA,4907.39445,0,33.1,5173.637126,97.31142757
