"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"126",182.198,39906,88,NA,NA,NA,NA,NA,NA,515.22107,NA
"127",2.702,54160,91,NA,NA,NA,NA,NA,NA,37.179249,8.313e+10
"128",1237.551,NA,NA,NA,NA,NA,NA,NA,NA,673.5119,NA
"129",68.443,NA,2.1,NA,NA,NA,NA,NA,NA,35.996059,3.65e+09
"130",153.071,27174,NA,NA,NA,NA,NA,NA,NA,467.57504,1e+07
"131",19.231,53970,20.1,NA,NA,NA,NA,NA,NA,42.894653,8.352e+10
"132",117.274,28151,92.1,NA,NA,NA,NA,NA,NA,537.25604,1.15e+09
"133",9.277,117683,0,NA,NA,NA,NA,NA,NA,98.019753,1.4083e+11
"134",4.786,14354,100,NA,NA,NA,NA,NA,NA,1161.4761,NA
"135",32.237,25991,94.8,NA,NA,NA,0.81,NA,NA,380.29736,NA
"136",92.355,21200,100,0,4.45,NA,0.66,12.58,0.62,342.3797,NA
"137",6.544,89247,NA,NA,NA,NA,NA,NA,NA,NA,5.67e+10
"138",321.251,67514,100,NA,NA,NA,NA,NA,NA,83.637741,8.779e+10
"139",8.992,17921,100,NA,NA,NA,NA,NA,NA,940.44543,NA
"140",5.003,80319,NA,NA,NA,NA,NA,NA,NA,43.657784,1.1859e+11
"141",754.96,16984,99.2,0.36,2.04,6.24,0.36,7.38,0.96,771.09918,NA
"142",0.887,28527,100,NA,NA,NA,NA,NA,NA,135.6982,3.374e+10
"143",19.088,59210,29.7,NA,NA,NA,NA,NA,NA,175.13531,1.0946e+11
"144",189.215,29901,NA,NA,NA,NA,NA,NA,NA,103.195,1.77e+09
"145",585.983,18308,100,NA,NA,19.73,0.43,NA,0.66,804.94183,NA
