,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
39326,ETH,Africa,Ethiopia,2021-11-16,369244.0,265.0,228.143,6638.0,8.0,11.0,3132.472,2.248,1.935,56.313,0.068,0.09300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876226.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
42317,FIN,Europe,Finland,2021-11-16,171222.0,937.0,845.7139999999999,1233.0,3.0,3.429,30859.924,168.87900000000002,152.42600000000002,222.22799999999998,0.541,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5548361.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
41659,FJI,Oceania,Fiji,2021-11-16,52429.0,0.0,18.714000000000002,694.0,0.0,2.714,58067.403,0.0,20.726999999999997,768.635,0.0,3.0060000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
41002,FLK,South America,Falkland Islands,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4407.0,2632.0,1775.0,,,12.0,124.91,74.6,50.31,,3401.0,4.0,0.113,,3528.0,,,,,,,,,,,,,81.44,,,,,
42980,FRA,Europe,France,2021-11-16,7413180.0,19884.0,11264.0,119225.0,48.0,36.429,109720.45,294.298,166.715,1764.6170000000002,0.71,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67564251.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999,,,,
40935,FRO,Europe,Faeroe Islands,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78347.0,40205.0,38142.0,,,140.0,159.72,81.96,77.76,,2854.0,90.0,0.183,38.89,49053.0,35.308,,,,,,,,,,,,80.67,,,,,
79046,FSM,Oceania,Micronesia (country),2021-11-16,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.77700000000002,23.0,4.81,2.392,3299.4640000000004,16.0,454.343,12.02,,,,,67.88,0.62,,,,
43880,GAB,Africa,Gabon,2021-11-16,36787.0,0.0,65.286,268.0,0.0,1.286,16142.94,0.0,28.649,117.604,0.0,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278829.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
126271,GBR,Europe,United Kingdom,2021-11-16,9686363.0,37130.0,39168.286,143598.0,214.0,148.857,142013.969,544.371,574.255,2105.323,3.138,2.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68207114.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
45120,GEO,Asia,Georgia,2021-11-16,791115.0,5204.0,4292.571,11140.0,83.0,79.429,198783.951,1307.612,1078.597,2799.155,20.855,19.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979773.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
49161,GGY,Europe,Guernsey,2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104070.0,,,,,28.0,164.19,,,,442.0,,,,63385.0,,,,,,,,,,,,,,,,,,
46393,GHA,Africa,Ghana,2021-11-16,130727.0,17.0,17.0,1207.0,0.0,0.5710000000000001,4119.705,0.536,0.536,38.037,0.0,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
46702,GIB,Europe,Gibraltar,2021-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94019.0,40786.0,39815.0,13418.0,1001.0,349.0,279.06,121.06,118.18,39.83,10359.0,30.0,0.08900000000000001,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,,
49775,GIN,Africa,Guinea,2021-11-16,30715.0,0.0,0.857,387.0,0.0,0.0,2275.651,0.0,0.064,28.673000000000002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.47700000000000004,,,,
44490,GMB,Africa,Gambia,2021-11-16,9986.0,6.0,1.0,341.0,0.0,0.0,4015.381,2.4130000000000003,0.402,137.116,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2486937.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
50377,GNB,Africa,Guinea-Bissau,2021-11-16,6431.0,29.0,40.143,146.0,2.0,0.429,3190.7870000000003,14.389000000000001,19.917,72.439,0.992,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
36840,GNQ,Africa,Equatorial Guinea,2021-11-16,13519.0,34.0,8.571,169.0,1.0,0.14300000000000002,9324.149,23.45,5.912000000000001,116.56,0.69,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.5920000000000001,,,,
47339,GRC,Europe,Greece,2021-11-16,847188.0,8364.0,6568.571,16923.0,85.0,72.714,81690.162,806.4989999999999,633.375,1631.8010000000002,8.196,7.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370747.0,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
48226,GRD,North America,Grenada,2021-11-16,5865.0,0.0,0.28600000000000003,200.0,0.0,0.0,51895.765999999996,0.0,2.528,1769.6770000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.0,317.132,29.4,7.303999999999999,5.021,13593.877,,243.96400000000003,10.71,,,,3.7,72.4,0.779,,,,
47621,GRL,North America,Greenland,2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77383.0,40125.0,37258.0,,,35.0,136.07,70.56,65.52,,615.0,1.0,0.002,29.63,56868.0,0.13699999999999998,,,,,,199.94099999999997,2.16,,,,,71.7,,,,,
48865,GTM,North America,Guatemala,2021-11-16,610591.0,557.0,549.714,15749.0,19.0,32.714,33457.282999999996,30.521,30.122,862.965,1.041,1.7930000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18249868.0,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,,,76.665,0.6,74.3,0.6629999999999999,,,,
50992,GUY,South America,Guyana,2021-11-16,36916.0,44.0,94.14299999999999,961.0,2.0,2.286,46709.66099999999,55.673,119.119,1215.9489999999998,2.531,2.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790329.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,69.91,0.682,,,,
53544,HKG,Asia,Hong Kong,2021-11-16,12388.0,1.0,2.714,213.0,0.0,0.0,1640.1860000000001,0.132,0.359,28.201,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.9490000000000001,,,,
52880,HND,North America,Honduras,2021-11-16,377102.0,0.0,60.857,10361.0,0.0,3.714,37474.135,0.0,6.047999999999999,1029.614,0.0,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
29145,HRV,Europe,Croatia,2021-11-16,544330.0,4443.0,5256.429,9986.0,50.0,54.428999999999995,133360.055,1088.529,1287.817,2446.555,12.25,13.335,,,,,,,,,,,3288144.0,805.59,,12937.0,3.17,,,people tested,,,,,,,,,,,,,,,4081657.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
51599,HTI,North America,Haiti,2021-11-16,24710.0,75.0,68.143,711.0,3.0,1.286,2140.936,6.497999999999999,5.904,61.603,0.26,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.51,,,,
54168,HUN,Europe,Hungary,2021-11-16,966167.0,5323.0,7368.714,32336.0,165.0,116.429,100285.526,552.513,764.8530000000001,3356.389,17.127,12.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634162.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.8540000000000001,,,,
56080,IDN,Asia,Indonesia,2021-11-16,4251423.0,347.0,368.57099999999997,143685.0,15.0,15.286,15383.541000000001,1.256,1.334,519.9159999999999,0.054000000000000006,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276361788.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
58923,IMN,Europe,Isle of Man,2021-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132863.0,68139.0,64724.0,,2.0,1.0,155.56,79.78,75.78,,12.0,11.0,0.013000000000000001,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
55455,IND,Asia,India,2021-11-16,34466598.0,10197.0,11145.571000000002,464153.0,301.0,329.14300000000003,24735.449,7.318,7.999,333.106,0.21600000000000003,0.23600000000000002,,,,,,,,,,1107617.0,625774159.0,449.096,0.795,1221461.0,0.877,,,samples tested,,,,,,,,,,,,,,,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
58625,IRL,Europe,Ireland,2021-11-16,507413.0,8965.0,4219.286,5566.0,0.0,10.571,101830.78,1799.152,846.752,1117.019,0.0,2.122,,,,,,,,,,25738.0,8549831.0,1715.8329999999999,5.165,28036.0,5.626,,,tests performed,,,,,,,,,,,,,,48.15,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
57366,IRN,Asia,Iran,2021-11-16,6051642.0,6430.0,6740.286,128406.0,134.0,122.14299999999999,71171.707,75.62100000000001,79.271,1510.148,1.5759999999999998,1.436,,,,,,,,,,108341.0,37254424.0,438.139,1.274,107478.0,1.264,,,tests performed,,,,,,,,,,,,,,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.7829999999999999,,,,
57998,IRQ,Asia,Iraq,2021-11-16,2070883.0,807.0,822.2860000000001,23562.0,26.0,23.285999999999998,50289.355,19.597,19.968,572.18,0.631,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,70.6,0.674,,,,
54798,ISL,Europe,Iceland,2021-11-16,15968.0,227.0,173.0,34.0,0.0,0.0,46505.126,661.1139999999999,503.844,99.021,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.9490000000000001,,,,
59559,ISR,Asia,Israel,2021-11-16,1338233.0,452.0,435.57099999999997,8148.0,5.0,2.571,144035.411,48.648999999999994,46.881,876.9780000000001,0.5379999999999999,0.27699999999999997,,101.0,11.491,182.0,20.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,9291000.0,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
60215,ITA,Europe,Italy,2021-11-16,4873075.0,7815.0,7767.143,132893.0,74.0,57.428999999999995,80723.524,129.457,128.664,2201.401,1.226,0.951,,,,,,,,,,684710.0,111735792.0,1850.9270000000001,11.342,500266.0,8.287,,,tests performed,,,,,,,,,,,,,,,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
60831,JAM,North America,Jamaica,2021-11-16,90341.0,30.0,79.0,2331.0,2.0,5.428999999999999,30382.43,10.089,26.568,783.935,0.6729999999999999,1.8259999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.7340000000000001,,,,
61738,JEY,Europe,Jersey,2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177513.0,79166.0,74817.0,,,482.0,175.63,78.33,74.02,,4769.0,27.0,0.027000000000000003,,101073.0,,,,,,,,,,,,,,,,,,
62362,JOR,Asia,Jordan,2021-11-16,895564.0,0.0,2088.714,11255.0,0.0,14.142999999999999,87210.252,0.0,203.4,1096.015,0.0,1.3769999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10269022.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.7290000000000001,,,,
61496,JPN,Asia,Japan,2021-11-16,1725111.0,144.0,162.143,18328.0,4.0,2.286,13685.84,1.1420000000000001,1.286,145.40200000000002,0.032,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
62976,KAZ,Asia,Kazakhstan,2021-11-16,1040924.0,1253.0,1240.0,17549.0,18.0,26.429000000000002,54800.015999999996,65.965,65.28,923.877,0.948,1.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18994958.0,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
63597,KEN,Africa,Kenya,2021-11-16,254384.0,75.0,72.143,5322.0,3.0,1.143,4626.366,1.364,1.3119999999999998,96.789,0.055,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
65634,KGZ,Asia,Kyrgyzstan,2021-11-16,182528.0,103.0,84.571,2710.0,3.0,2.714,27537.484,15.539000000000001,12.759,408.85,0.45299999999999996,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6628347.0,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,0.6970000000000001,,,,
20581,KHM,Asia,Cambodia,2021-11-16,119636.0,48.0,58.428999999999995,2876.0,4.0,5.143,7059.651,2.832,3.448,169.71099999999998,0.23600000000000002,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16946446.0,90.67200000000001,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,,,,
63780,KIR,Oceania,Kiribati,2021-11-16,2.0,0.0,0.0,,,0.0,16.476,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
101117,KNA,North America,Saint Kitts and Nevis,2021-11-16,2753.0,4.0,5.143,27.0,0.0,0.28600000000000003,51413.738,74.702,96.046,504.23900000000003,0.0,5.336,,,,,,,,,,179.0,54965.0,1026.501,3.343,164.0,3.063,,,people tested,,,,,,,,,,,,,,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,,,
112105,KOR,Asia,South Korea,2021-11-16,402775.0,3184.0,2420.571,3158.0,21.0,20.857,7850.571,62.06,47.18,61.553000000000004,0.409,0.40700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51305184.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,,12.27,83.03,0.9159999999999999,,,,
65025,KWT,Asia,Kuwait,2021-11-16,413050.0,16.0,22.429000000000002,2462.0,0.0,0.0,95424.49900000001,3.696,5.182,568.781,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537000000004,,132.235,15.84,2.7,37.0,,2.0,75.49,0.8059999999999999,,,,
66237,LAO,Asia,Laos,2021-11-16,56324.0,1306.0,1061.714,110.0,6.0,3.0,7632.642,176.98,143.876,14.905999999999999,0.813,0.40700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
67506,LBN,Asia,Lebanon,2021-11-16,654068.0,1102.0,898.571,8596.0,8.0,5.7139999999999995,96624.82,162.797,132.745,1269.879,1.182,0.8440000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.7440000000000001,,,,
68669,LBR,Africa,Liberia,2021-11-16,5818.0,0.0,0.14300000000000002,287.0,0.0,0.0,1123.121,0.0,0.027999999999999997,55.403,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208.0,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
69292,LBY,Africa,Libya,2021-11-16,365830.0,593.0,501.714,5319.0,12.0,13.286,52572.825,85.219,72.101,764.385,1.725,1.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958538.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,341.86199999999997,10.43,,,,3.7,72.91,0.7240000000000001,,,,
101730,LCA,North America,Saint Lucia,2021-11-16,12844.0,7.0,13.714,270.0,0.0,0.857,69652.55099999999,37.961,74.372,1464.2,0.0,4.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.20200000000001,1.3,76.2,0.759,,,,
69915,LIE,Europe,Liechtenstein,2021-11-16,3945.0,68.0,23.429000000000002,61.0,0.0,0.0,103126.47,1777.592,612.448,1594.604,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
114011,LKA,Asia,Sri Lanka,2021-11-16,552994.0,720.0,905.857,14034.0,18.0,20.285999999999998,25723.874,33.493,42.138000000000005,652.826,0.8370000000000001,0.9440000000000001,,,,,,,,,,5307.0,5567326.0,258.978,0.247,6157.0,0.28600000000000003,,,tests performed,,,,,,,,,,,,,,,21497306.0,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
68059,LSO,Africa,Lesotho,2021-11-16,21697.0,6.0,1.714,661.0,0.0,0.28600000000000003,10049.248,2.779,0.794,306.151,0.0,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
70542,LTU,Europe,Lithuania,2021-11-16,446120.0,1939.0,2180.714,6375.0,31.0,28.570999999999998,165852.375,720.855,810.716,2370.01,11.525,10.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689862.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
72472,LUX,Europe,Luxembourg,2021-11-16,84866.0,128.0,198.143,859.0,0.0,1.0,133686.40300000002,201.63400000000001,312.127,1353.152,0.0,1.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634814.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.9159999999999999,,,,
66871,LVA,Europe,Latvia,2021-11-16,241839.0,1077.0,1163.0,3796.0,31.0,33.571,129538.055,576.882,622.946,2033.28,16.605,17.982,,,,,,,,,,14409.0,5159133.0,2763.425,7.718,13159.0,7.047999999999999,,,tests performed,,,,,,,,,,,,,,,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
72742,MAC,Asia,Macao,2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821561.0,464836.0,361897.0,,,3139.0,124.78,70.6,54.97,,4768.0,1383.0,0.21,37.96,658391.0,20546.766,39.2,9.798,4.9910000000000005,104861.851,,,,,,,,84.24,,,,,
82446,MAR,Africa,Morocco,2021-11-16,948391.0,120.0,111.571,14747.0,1.0,3.0,25395.539,3.213,2.988,394.88800000000003,0.027000000000000003,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37344787.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.6859999999999999,,,,
80292,MCO,Europe,Monaco,2021-11-16,3498.0,12.0,6.7139999999999995,36.0,0.0,0.0,88512.146,303.644,169.896,910.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
79665,MDA,Europe,Moldova,2021-11-16,354755.0,977.0,881.0,8602.0,53.0,58.428999999999995,88159.244,242.792,218.935,2137.661,13.171,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
73349,MDG,Africa,Madagascar,2021-11-16,43672.0,0.0,5.7139999999999995,964.0,0.0,0.0,1536.2679999999998,0.0,0.201,33.911,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
75229,MDV,Asia,Maldives,2021-11-16,90117.0,118.0,141.571,247.0,0.0,0.14300000000000002,165772.047,217.063,260.42400000000004,454.36199999999997,0.0,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543620.0,1454.433,30.6,4.12,2.875,15183.616000000002,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
78746,MEX,North America,Mexico,2021-11-16,3846508.0,775.0,2178.429,291204.0,57.0,156.286,29528.961,5.95,16.723,2235.522,0.43799999999999994,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130262220.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.779,,,,
76838,MHL,Oceania,Marshall Islands,2021-11-16,4.0,0.0,0.0,,,0.0,67.094,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.50200000000001,2.7,73.7,0.7040000000000001,,,,
89797,MKD,Europe,North Macedonia,2021-11-16,209971.0,522.0,437.286,7354.0,17.0,14.142999999999999,100818.616,250.641,209.965,3531.06,8.163,6.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
75831,MLI,Africa,Mali,2021-11-16,16716.0,37.0,35.429,589.0,1.0,1.429,801.507,1.774,1.699,28.241999999999997,0.048,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
76453,MLT,Europe,Malta,2021-11-16,38319.0,64.0,50.428999999999995,462.0,0.0,0.0,74247.239,124.007,97.711,895.175,0.0,0.0,,,,,,,,,,2144.0,1372664.0,2659.6859999999997,4.154,1952.0,3.782,,,tests performed,,,,,,,,,,,,,,,516100.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
83651,MMR,Asia,Myanmar,2021-11-16,514716.0,754.0,875.0,18963.0,17.0,15.429,9391.597,13.758,15.965,346.00199999999995,0.31,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.583,,,,
81519,MNE,Europe,Montenegro,2021-11-16,152931.0,520.0,457.42900000000003,2217.0,1.0,6.857,243500.926,827.9580000000001,728.33,3529.968,1.5919999999999999,10.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8290000000000001,,,,
80909,MNG,Asia,Mongolia,2021-11-16,374970.0,1626.0,945.2860000000001,1909.0,21.0,11.429,112627.888,488.394,283.931,573.3969999999999,6.308,3.4330000000000003,,,,,,,,,,6762.0,4343998.0,1304.785,2.031,6377.0,1.915,,,samples tested,,,,,,,,,,,,,,,3329282.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
