,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
7534,AUS,Oceania,Australia,2021-11-16,192845.0,1228.0,1253.4289999999999,1907.0,9.0,7.0,7478.028,47.619,48.605,73.949,0.349,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25788217.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.9440000000000001,,,,
8165,AUT,Europe,Austria,2021-11-16,981904.0,10363.0,11732.428999999998,11807.0,61.0,36.143,108580.80099999999,1145.96,1297.394,1305.64,6.745,3.997,,,,,,,,,,464540.0,104177857.0,11520.184,51.37,441065.0,48.773999999999994,,,tests performed,,,,,,,,,,,,,,,9043072.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
8791,AZE,Asia,Azerbaijan,2021-11-16,563940.0,2015.0,1927.714,7502.0,31.0,26.0,55161.99,197.09799999999998,188.56,733.811,3.032,2.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,10223344.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.7559999999999999,,,,
19921,BDI,Africa,Burundi,2021-11-16,20282.0,6.0,16.0,38.0,0.0,0.0,1654.94,0.49,1.306,3.1010000000000004,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12255429.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
12548,BEL,Europe,Belgium,2021-11-16,1524862.0,12388.0,12290.286,26444.0,41.0,34.857,131088.22400000002,1064.963,1056.562,2273.3179999999998,3.525,2.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.9309999999999999,,,,
13763,BEN,Africa,Benin,2021-11-16,24833.0,0.0,4.143,161.0,0.0,0.0,1994.453,0.0,0.33299999999999996,12.931,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
15446,BES,North America,Bonaire Sint Eustatius and Saba,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35845.0,19109.0,16736.0,,,196.0,135.55,72.26,63.29,,7412.0,92.0,0.348,,26445.0,,,,,,,,,,,,,77.79,,,,,
19325,BFA,Africa,Burkina Faso,2021-11-16,15514.0,233.0,58.714,265.0,31.0,6.2860000000000005,721.679,10.839,2.7310000000000003,12.327,1.442,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21497097.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
10658,BGD,Asia,Bangladesh,2021-11-16,1572948.0,213.0,216.28599999999997,27928.0,2.0,3.429,9458.298,1.281,1.301,167.93400000000003,0.012,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
18708,BGR,Europe,Bulgaria,2021-11-16,662739.0,3869.0,2819.429,26676.0,121.0,160.143,96095.716,560.997,408.811,3867.962,17.545,23.22,,,,,,,,,,,6116666.0,886.903,,31355.0,4.546,,,tests performed,,,,,,,,,,,,,,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
