"","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"144",0.89151740233,2.52610365563,297.815385064,73.4552908161,53.72433305,869541.0553265,12319381.334807,6.269
"145",0.822322346,2.502307275,241.4048787,33.80316664,0.3404294,13638.76149,32787.82392,7.314
"146",0.422059823,2.123611479,205.3287159,28.06584301,0.02182594,0,1844.693527,7.508
"147",0.85567357778,2.23704251304,302.541677084,79.5608575101,72.50477554,1267961.4850213,9159633.594407,3.462
"148",0.911056262,2.344516378,268.7807673,93.13805678,34.01277,69747.53413,1442385.522,5.373
"149",0.993807355,1.943333143,223.1245061,73.02573176,84.53875,17001442.32,39272747.56,3.786
"150",1.046140589,2.883112817,418.7803973,47.62601951,19.70135,1413.650799,1533898.775,5.885
"151",1.938657561,2.309871612,518.5437211,171.5455881,97.28955,5108135.243,5719144.728,4.179
"152",1.008387702,3.134152422,341.5774929,39.96757366,7.340323,2326.939216,48055.21513,6.192
"153",0.603618059,1.881483827,288.0397344,34.64794,13.31939,0,179857.2051,4.731
"154",0.734378871,2.370504554,287.4038026,32.23591562,6.668437,0,1628252.678,4.862
"155",0.648064841,1.799356803,250.6316938,118.2475855,81.69172,3243774.713,24701821.64,4.641
"156",0.898779863799999,2.42757466303,301.831907291,66.9251165741,62.1877204,1085360.6437966,9742781.09291499,5.27
"157",0.85203362893,2.4223419989,295.499789531,67.1041336719,54.03571106,927317.131865144,4737666.45696,6.458
"158",0.265348333,1.539730769,157.7019283,28.80269213,0.4246,66258.81917,226831.787,6.798
"159",0.9044263,2.21435,248.4671956,31.57899822,1.499683,3246994.217,4873752.881,7.028
"160",0.694181218,2.128675062,247.396173,28.79799626,1.307074,843.3419311,11682.7956,6.31
"161",0.87909029844,2.46698757799,302.99099922,71.2843408825,51.65607552,996946.594200644,8301497.495388,6.154
"162",0.85721949535,2.35597064938,302.131120317,65.4533446003,67.9629252,1029041.8602018,11337327.596531,4.574
"163",0.974507314,2.513795511,359.7974631,73.73700685,32.01523,468369.8264,9638111.305,5.467
"164",0.84960848767,2.31372557622,303.229014402,71.0872935524,73.769662,1482506.0422298,13345368.30267,4.197
"165",1.278012074,2.379476799,276.1970983,140.4377844,84.97017,9739571.017,13002262.99,4.838
"166",0.774647423,2.29716701,331.4222928,101.6050831,82.59679,1151798.513,8992544.593,3.16
"167",0.449308988,2.407971577,259.6519496,31.90178325,0.188587,0,12581.82744,6.897
