"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"148",192.72,-0.00118334199236545,13.2,16.89397
"149",78.599998,-0.000193022241296962,65.6,18.25209
"150",477.04999,-0.000207016707445299,0.9,14.63363
"151",82.519997,-0.00123962611553092,50.1,18.07139
"152",302.64999,-0.00735320321581901,5.6,16.5341
"153",334.19,-0.00180968695264301,1.2,15.25071
"154",567.58002,-0.000160885544748101,15.234,17.44531
"155",96.959999,-0.00022917210357178,69.9,18.33399
"156",350.12,-0.000306758757317852,1.2,13.65125
"157",707.6116911,-0.00103273587293637,9.877,10.6218
"158",1432.22,-0.000318148622498567,9.589,9.138
"159",2096.71,-2.85358061874237e-05,14.647,17.049
"160",825.67999,-0.00266623704683097,16.566,14.058
"161",62.200001,-0.00031393415011768,2.3,17.90302
"162",314.81,-0.000484923443005692,12.714,20.92576
"163",287.04999,-0.000129135813868746,7.1,18.06504
"164",123.29,-0.00039071038659733,45.9,18.38502
"165",90.860001,-0.000601451213755806,56.6,18.17233
"166",147.38,-0.000956649833082331,29.7,17.78298
"167",858.34998,-0.000997710394510541,6.6,5.972
