"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"102",25.482,24748.56,93.869,0.6458,8.6597,10.5607,14.731,0.7327,3.6181,206.57016
"103",437.855,26702,95,0.5086,6.828,8.6397,13.1251,0.6378,2.3652,304.52347
"104",93.334,38061,42.3,0.5078,9.03450000000001,10.0778,14.5278,0.6205,2.1357,231.06967
"105",2.848,88491,8.60691666666667,0.8291,12.9308,9.7052,19.2027,0.7357,2.247,4.3641877
"106",21.081,48793,22.3331333333333,0.798,10.1556,9.5972,17.9083,0.725,2.2297,197.51004
"107",52.343,48404,28,0.5571,10.6525,8.6659,15.499,0.6226,1.5362,78.47451
"108",30.065,43324,0.1,0.8038,10.6391,9.6319,18.1862,0.7489,1.7924,90.96965
"109",416.227,18770,98.9,0.65,23.99,11.74,0,0.42,3.32,650.96637
"110",5.184,18742,100,0.31,10.69,11.58,17.27,0.71,2.61,422.60583
"111",23.549,33239,12.2,0.668700000000001,9.78700000000001,9.6202,15.6779,0.7062,1.8859,146.10959
"112",2.85,70093,3.1,0.7058,9.62550000000001,9.7047,16.7585,0.7118,2.239,35.789703
"113",5.506,84764,2.2,0.8291,12.9308,9.7052,19.2027,0.7357,2.2623,155.4747
"114",51.649,19615,100,0.870700000000001,9.9204,26.34,14.1227,0.57,3.6,887.98853
"115",235.576,27260,97,0.4652,6.2948,10.3479,13.2525,0.6621,3.0143,104.14493
"116",30.599,50534,26.6,0.8397,13.0038,9.6652,19.5091,0.7499,1.7697,89.383614
"117",614.17,27476,51.8,0.4943,9.47270000000001,7.7354,12.7381,0.5714,2.0302,470.90369
"118",0.782,59322,16.525,0.6902,9.58540000000001,9.7448,16.7909,0.7068,2.239,5.6810246
"119",186.049,30862,23.6,0.5809,10.5585,8.3489,14.6033,0.6123,1.6917,264.27051
"120",1038.977,26911,64.4,0.5697,7.5317,8.428,13.157,0.6725,2.0457,207.45259
"121",64.363,41446,82,0.7522,9.96940000000001,9.283,17.2256,0.7187,1.9931,172.83017
"122",121.94,25415,97.5,1.78,9.72,7.69,15.71,0.54,6.62,396.16248
"123",232.526,19815,100,0.36,5.44,11.8296,10.78,0.73,3.39,735.89484
"124",79.832,22923,100,0.5016,7.4604,14.0749,14.099,0.7192,4.13859999999999,242.92445
"125",341.725,28496,94.3,0.5105,6.6548,8.2594,12.8624,0.6332,2.1164,232.00484
"126",182.198,39906,88,0.6781,9.1277,10.2385,16.0152,0.7651,8.05,515.22107
"127",2.702,54160,91,0.6819,9.43420000000001,10.0554,17.8236,0.7378,2.4593,37.179249
"128",1237.551,24061.33,94.078,0.4547,6.4577,10.3365,12.3837,0.6798,3.2196,673.5119
"129",68.443,55610.45,2.1,0.5636,10.6618,8.7241,15.1181,0.6258,1.4682,35.996059
"130",153.071,27174,94.255,0.3581,5.8756,10.6662,12.9853,0.674,3.2741,467.57504
"131",19.231,53970,20.1,0.7168,9.70200000000001,9.758,17.9083,0.7251,2.1895,42.894653
"132",117.274,28151,92.1,0.5099,7.3669,8.9879,13.598,0.6775,2.6088,537.25604
"133",9.277,117683,0,0.8403,13.0031,9.6782,18.9807,0.7357,2.247,98.019753
"134",4.786,14354,100,0.6014,9.1368,13.1554,16.6374,0.8529,5.7659,1161.4761
"135",32.237,25991,94.8,0.6239,8.4773,10.7748,15.713,0.791600000000001,5.82,380.29736
"136",92.355,21200,100,0.05,1.45,13.5132,12.58,0.62,4.5,342.3797
"137",6.544,89247,9.04533333333334,0.6933,9.55980000000001,9.758,16.3881,0.7082,2.2829,59.1184441175
"138",321.251,67514,100,0.6544,8.85390000000001,9.5327,16.7095,0.7238,2.32,83.637741
"139",8.992,17921,100,0.497,8.688,12.8098,14.8931,0.789,4.53939999999999,940.44543
"140",5.003,80319,3.31233333333333,0.8011,11.3684,9.5111,19.4551,0.7395,2.1397,43.657784
