"Religious.compatibility..Larson.et.al..2016..","Child.mortality.estimates..Gapminder..2015..","Child.mortality.1950.2017..IHME..2018..x","Inequality.in.life.expectancy..2015.2020.","Inequality.in.education..2017.","Infant.mortality.rate","International.Historical.Statistics..Deaths.per.1.000...Brian.Mitchell..2013..","Life.expectancy","Life.Expectancy..1950.2015...UN.Population.Division..2015..","Mean.BMI..male.","Mean.BMI..female.","Neonatal.Mortality.Rate..via.Childmortality.org..2015..","Number.of.child.deaths.1950.2017..IHME..2017.","Number.of.infant.deaths..IHME...2017.","Number.of.neonatal.deaths..IHME...2017.","Total.population..Gapminder..HYDE...UN."
26.4,13.2,17.38,12.3,17.1,1090.74491,5.239538336,75.054,76.5,27.63516419,28.5927059,7,33,26935,14311,130262220
NA,15.8,16.36,9.6,7.3,1415.151935,NA,71.901,71.3,26.78111685,27.58411562,11.9,1,509,420,4024025
NA,3.5,NA,NA,NA,NA,NA,86.751,NA,NA,NA,1.9,NA,NA,NA,39520
NA,4.7,4.26,4.4,7.4,322.9366836,NA,76.884,76,27.17491841,26.29841226,3.1,0,23,17,628051
5.4,27.6,21.93,14,NA,1974.792896,NA,76.68,73.6,25.5612347,26.69405022,17.6,14,11758,8099,37344787
NA,80.6,79.13,35.6,33.8,5656.85676,NA,60.854,54.6,22.06723557,23.49925099,27.1,73,53899,25060,32163045
NA,50,48.97,24,26.9,3744.050998,NA,67.134,65.6,22.31810837,23.16920511,26.4,39,32114,18485,54806014
NA,46.7,43.6,20.2,25,2983.073149,NA,63.708,64.3,23.05884274,25.54331027,15.9,2,1737,964,2587344
NA,35.8,32.46,16.6,40.9,2634.820986,NA,70.778,69,22.62258358,22.54971901,22.2,19,16232,11568,29674920
16.4,3.8,4.27,3,5.3,331.5925856,8.188873369,82.283,81.3,26.1427578,25.25583137,2.4,1,571,427,17173094
NA,5.7,4.96,4.3,1.7,385.6312521,6.711154363,82.288,81.6,28.29108535,28.1097167,3.1,0,229,148,4860642
NA,22.1,17.19,12.9,25.7,1309.024948,NA,74.485,74.5,26.67507287,28.13943727,9.8,2,1783,1173,6702379
NA,95.5,112,34.9,35,4907.39445,NA,62.42,60.7,21.45848169,22.38324661,26.8,97,46965,22565,25130810
9.7,108.8,109.47,37.4,38.1,6546.835153,NA,54.687,52.3,22.64855815,24.03240199,34.3,789,483195,268744,211400704
NA,2.5,2.87,2.7,6.1,213.1982104,8.487801406,82.404,81.3,27.43953645,26.26415039,1.5,0,128,88,5465629
NA,11.6,11.28,7.1,NA,929.9181875,NA,77.861,76.4,26.52521415,26.45759051,5.2,1,751,501,5223376
8.5,81.1,58.47,31,46.2,5066.508545,NA,67.273,65.9,23.41747955,24.80713807,45.5,339,286091,209942,225199929
22.6,17,18.62,11.5,12.5,1356.533959,5.1,78.506,77.3,26.33225151,27.84507405,9.6,1,949,545,4381583
18.5,57.3,57.46,25.3,11.5,3401.46013,NA,64.501,62.3,25.39883144,26.00865594,24.5,14,9985,5619,9119005
NA,20.5,15.52,18,16.7,1099.695421,NA,74.254,72.7,26.707868,27.13007968,10.9,2,1600,664,7219641
20.5,16.9,17.16,13.2,15.3,1221.789271,NA,76.736,74.2,26.3662965,27.27829945,8.2,12,9203,5116,33359415
13.9,28,29.4,14.4,11.6,2014.11833,4.997056098,71.231,68,22.89963784,23.60315367,12.6,66,49489,29690,111046910
10.6,5.2,4.81,4.7,4.7,366.3242414,9.912034939,78.73,77.1,27.63955019,26.15003733,3.1,2,1323,948,37797000
5.6,3.6,3.94,2.9,16.3,272.3945502,9.952576517,82.049,80.5,26.27238812,25.30196049,2,0,231,153,10167923
NA,7.7,7.95,5.9,11.4,543.0833892,NA,80.227,77.9,28.93386095,30.37723605,3.8,0,167,105,2930524
11.9,11.1,9.63,6.8,6.3,707.6400662,12.11507547,76.054,74.5,27.3277675,27.02751136,6.3,2,1294,739,19127772
8.8,9.6,8.36,8,2.2,559.0535331,14.19155127,72.584,69.8,25.98863335,26.69187846,5,12,9572,6461,145912022
NA,42,50.68,23.8,29.3,3419.415576,NA,69.024,63.1,21.28077014,22.75714568,18.7,19,13751,7656,13276517
NA,2.9,NA,NA,NA,NA,NA,84.972,NA,NA,NA,0.7,NA,NA,NA,34010
NA,47.3,34.06,25.9,18.3,2539.717063,NA,70.385,66.2,23.9792431,25.76122035,17.1,0,123,70,223364
2.2,14.5,8.23,8.9,16.2,735.4565519,NA,75.133,74.1,28.13973836,29.50637747,7.9,4,3670,2419,35340680
NA,47.2,53.14,21.1,46.5,3397.166798,NA,67.941,65.8,21.90378795,24.13324951,20.8,23,16159,9798,17196308
13.6,6.7,5.61,7.1,8.1,437.1464594,21.8,76.001,74.6,26.78923098,25.73872813,4.2,0,366,259,8697547
NA,120.4,117.82,39.8,47.3,7942.533669,NA,54.696,50.2,21.9114498,23.58342185,34.9,30,20114,9056,8141343
NA,2.7,2.12,2.6,8.2,129.2178014,3.428703184,83.62,82.6,24.4019799,23.14285847,1,0,80,46,5896684
NA,6.7,6.52,5.2,1.4,477.7632175,NA,77.542,76,27.54900625,25.72590086,4.2,0,255,153,5460726
19.4,2.7,2.32,3,2.2,166.0980378,NA,81.324,80.1,26.78385887,26.73878467,1.4,0,33,26,2078723
NA,136.8,110.4,38.9,NA,5708.750822,NA,57.397,54.9,22.54632092,23.96891503,39.7,56,36737,17095,16359500
12.1,42.1,35.87,20.3,14.3,2400.860333,NA,64.131,57.1,25.10522536,29.59192125,11,33,25773,12661,60041996
17.5,3.5,3.54,NA,NA,269.2028526,NA,83.033,81.4,24.465566,23.1632351,1.6,1,1146,637,51305184
NA,92.6,111.26,37,39.6,8361.238892,NA,57.846,55.1,NA,NA,39.3,47,31687,15380,11381377
10.7,4.1,3.47,3,18.6,266.2264833,8.232298816,83.565,82.3,27.162678,24.92999859,2.8,1,1080,718,46745211
NA,8.7,9.29,7.1,12.8,684.2390101,6.226843558,76.978,74.6,22.6383471,23.83638768,5.4,2,2034,1533,21497306
NA,70.1,52.66,27.9,42.5,4236.793727,NA,65.311,63.1,23.29135867,26.12280796,29.8,68,53535,31836,44909351
NA,21.3,31.56,12.4,15.6,2669.594504,NA,71.682,70.9,25.49760616,27.91742678,11.5,0,250,172,591798
5.6,3,3.03,2.7,3.7,226.383117,9.648729394,82.797,81.9,26.86405077,25.45995973,1.6,0,269,176,10160159
NA,3.9,4.04,3.5,2.4,322.5397396,7.986043718,83.779,82.7,26.8336985,23.81875224,2.7,0,283,222,8715494
NA,12.9,18.76,13,NA,966.093174,NA,72.697,69.5,27.55826342,29.48096759,7,6,2549,1530,18275704
NA,44.8,52.39,20.1,6.5,3424.604178,NA,71.097,69.1,26.00734586,26.49672721,20.5,11,9273,5133,9749625
NA,48.4,65.16,24.9,27,4409.899208,NA,65.456,64,22.4032439,24.15816268,18.8,117,83483,46621,61498438
33.9,12.3,9.55,9.3,13.3,680.4701023,NA,77.15,74.1,24.00077018,25.11073257,6.7,6,4243,2808,69950844
NA,78.4,72.99,30.5,38.9,4157.182236,NA,61.042,59,22.58918749,24.64166822,26.7,14,8958,5239,8478242
NA,20.4,18.64,15.6,NA,1580.667616,7.3,73.507,70.2,26.77531848,28.88155719,13.2,0,278,200,1403374
16.9,14,11.72,10.7,34.6,874.124594,NA,76.699,74.6,25.72641503,27.30753368,8.2,2,1492,1043,11935764
7.5,13.5,15.21,9.6,13.5,1223.451749,NA,77.691,74.8,27.27430057,28.94223386,7.1,17,13702,9035,85042736
NA,59.5,66.57,32.5,27.9,4238.49771,NA,63.368,57.2,21.61129409,23.34475139,18.7,87,62319,35822,47123533
11.2,9,10.55,7.5,3.6,721.1484544,NA,72.065,70.7,27.08648953,26.40652804,5.5,4,3130,1923,43466822
NA,6.8,7.75,5.2,NA,983.2475599,NA,77.972,76.7,28.18800439,29.63816231,3.5,1,743,522,9991083
9.6,4.2,4.93,4,3.7,387.5656751,NA,81.321,80.4,27.47505756,27.15190484,2.4,4,3011,2107,68207114
10.5,6.5,7.37,5.6,5.5,568.4556511,NA,78.862,78.9,29.01322022,29.07070589,3.6,26,22093,14838,332915074
NA,10.1,10.31,9,7.4,784.2311615,9.620208207,77.911,77,27.52969676,27.55825768,5.1,0,371,238,3485152
NA,39.1,26.73,17,0.8,1786.308659,NA,71.725,68.2,26.48810362,27.6582837,20.4,15,12036,7585,33935765
NA,14.9,17.12,10.5,12.9,1322.125254,4.441129899,72.064,73.9,26.70960031,26.93984073,8.9,9,7541,5331,28704947
26,21.7,15.2,12.7,17.6,975.9281467,NA,75.4,75.6,21.97052794,21.9405938,11.4,19,14689,9812,98168829
NA,47.5,46.98,24.9,46.1,3651.551117,NA,66.125,63.5,23.72669657,24.19770906,22.1,45,36368,20698,30490639
NA,67.8,70.48,28.8,21.7,4204.166619,NA,63.886,58.8,21.44802712,23.83398161,21.4,37,25494,13524,18920657
NA,79.6,60.91,26.6,16.8,4156.238275,NA,61.49,54.8,22.30135343,25.43148733,23.5,25,18772,10558,15092171
13,3.4,3.26,3.3,1.6,212.3376553,NA,79.376,78.3,28.18887918,26.43610997,1.8,0,230,137,10724553
