"","iso_code","continent","Entity","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"22","BHS","North America","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22411.05684,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","BIH","Europe","Bosnia and Herzegovina","c",585.77002,"172.21638","264.76804","329.78851","390.70859","453.38598","523.67838","614.47273","726.94057","909.70081","1472.62578","218.49221","360.24855","488.53218","670.70665","1191.163295",0,NA,9490.143489,"BIH",33.03019,3,605.42,498.5,0.5,26.7,55.8,17.5,9.79,0.529834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BLR","Europe","Belarus","c",571.14001,"242.7345","324.40752","378.66582","434.63754","483.75558","536.8716","601.98156","681.37002","812.16108","1215.38592","283.57101","406.65168","510.31359","641.67579","1013.7735",0,NA,17348.76639,"BLR",25.27785,3,646.27,568.43,0,16.6,61.8,21.7,7.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BLZ","North America","Belize","i",268.57999,"24.97794","61.23624","91.3172","114.95224","143.42172","179.14286","227.75584","293.28936","409.85308","1139.58494","43.10709","103.13472","161.28229","260.5226","774.71901",0,NA,8029.833508,"BLZ",53.26277,3,264.03,156.77,4.6,41,31.2,27.8,NA,13.157082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","BMU","North America","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50669.31477,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","BOL","South America","Bolivia","i",406.41,"50.39484","116.23326","168.66015","219.4614","273.51393","335.28825","412.50615","516.1407","684.39444","1287.91329","83.31405","194.060775","304.40109","464.323425","986.153865",0,NA,6324.990141,"BOL",41.64937,2,416.29,285.15,20.5,19.8,27.5,52.6,7.63,274.0712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","BRA","South America","Brazil","i",602.28998,"58.42213","131.90151","190.92593","254.76867","324.03202","410.15949","513.75337","659.50755","959.44797","2520.58365","95.16182","222.8473","367.095755","586.63046","1740.01581",0,NA,15109.82555,"BRA",53.42883,3,563.57,358.68,5.3,10.9,68.5,20.6,3.05,3923.824387,19.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","BRB","North America","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15319.51155,NA,NA,4,NA,NA,0.9,0,97.4,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","BRN","Asia","Brunei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67911.8788,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","BTN","Asia","Bhutan","c",267.04999,"73.1717","105.2177","130.8545","157.29245","187.73615","224.8561","271.58985","334.61365","439.29725","745.87065","89.1947","144.073475","206.296125","303.10175","592.58395",0,NA,7456.315988,"BTN",37.44141,2,245.77,183.13,27.2,40.4,21.2,38.4,2.97,1.1962875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BWA","Africa","Botswana","c",232.69,"35.60157","56.31098","72.1339","90.7491","113.08734","144.96587","189.87504","263.17239","396.03838","965.19812","45.956275","81.4415","129.026605","226.523715","680.61825",0,NA,15359.06317,"BWA",53.32503,3,290.39,136.05,NA,NA,NA,NA,1.97,57.903089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CAF","Africa","Central African Republic","c",73.720001,"8.92012","15.62864","22.26344","29.26684","36.93372","45.04292","56.3958","74.16232","107.85236","340.73384","12.27438","25.76514","40.98832","65.27906","224.2931",0,NA,566.846007,"CAF",56.23661,1,73.72,40.64,77.6,24.1,24.1,51.8,1.72,1545.000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CAN","North America","Canada","i",1745.0699,"413.58159","738.16461","977.2392","1176.17718","1375.11516","1594.99398","1863.73476","2202.27834","2703.11343","4408.04682","575.8731","1076.70819","1485.05457","2033.00655","3555.580125",0,-13.494697,42777.89898,"CAN",33.30821,4,1700.77,1426.86,NA,NA,NA,NA,23.48,NA,13.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
