"","iso_code","continent","Entity","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"55","DNK","Europe","Denmark",434978,3981,3415.429,2791,9,6.143,74824.601,684.809,587.52,480.106,1.548,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,NA,2.5,80.9,0.94,NA,NA,NA,NA,"i",1588.9,"592.6597","900.9063","1043.9073","1163.0748","1290.1868","1439.5434","1614.3224","1852.6574","2208.571","3783.1709","746.783","1103.49105","1364.8651","1733.4899","2995.87095",0,-8.5,42757.54325,"DNK",28.16634,4,1492.02,1301.06,NA,NA,NA,NA,26.44,NA,5.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","DOM","North America","Dominican Republic",398018,1002,1137.143,4174,4,2.857,36336.351,91.476,103.813,381.058,0.365,0.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10953714,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,NA,NA,NA,NA,"i",471.82001,"85.39942","143.43328","189.67164","237.32546","292.5284","358.11138","433.60258","546.36756","763.40476","1668.35552","114.41635","213.49855","325.31989","489.98507","1215.88014",0,NA,12652.5233,"DOM",41.91857,3,377.03,246.3,8.8,12.5,72.1,15.3,6.66,39.923408,20.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","DZA","Africa","Algeria",208245,141,122.857,5997,6,6.143,4667.43,3.16,2.754,134.412,0.134,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,NA,NA,NA,NA,"C",247.73,"100.33065","131.54463","157.55628","181.09063","204.12952","228.65479","257.39147","294.7987","355.74028","566.31078","115.93764","169.323455","216.392155","276.095085","461.02553",0,NA,13540.79671,"DZA",27.61573,3,NA,NA,1.5,46,32.7,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ECU","South America","Ecuador",521792,0,318.857,33088,0,14.143,29169.173,0,17.825,1849.683,0,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17888474,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,NA,NA,NA,NA,"i",421.89999,"69.1916","130.789","175.0885","219.8099","272.1255","329.5039","400.3831","506.28","689.3846","1426.022","99.9903","197.4492","300.8147","453.33155","1057.7033",0,NA,10848.81847,"ECU",45.71153,3,361.21,248.5,3.5,21.5,47.8,30.7,4.68,186.795612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","EGY","Africa","Egypt",345848,941,930.429,19636,69,64.286,3317.222,9.026,8.924,188.34,0.662,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,NA,NA,NA,NA,"c",183.12,"71.78304","95.2224","110.05512","124.15536","138.62184","155.10264","174.51336","201.98136","251.05752","508.70736","83.50272","117.10524","146.86224","188.24736","379.88244",0,NA,10045.77995,"EGY",31.53395,2,NA,NA,3.6,52.8,39.6,7.6,NA,NA,17.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ERI","Africa","Eritrea",7076,13,13.857,52,1,0.714,1964.758,3.61,3.848,14.439,0.278,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3601462,44.304,19.3,3.607,2.171,1510.459,NA,311.11,6.05,0.2,11.4,NA,0.7,66.32,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1411.157638,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ESP","Europe","Spain",5061045,4091,4141.286,87745,29,26.714,108268.738,87.517,88.593,1877.091,0.62,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46745211,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,NA,NA,NA,NA,"i",1115.37,"209.68956","433.87893","584.45388","726.10587","873.33471","1018.33281","1195.67664","1420.98138","1770.09219","2922.2694","321.784245","655.279875","945.83376","1308.32901","2346.180795",0,-22.1,31801.94262,"ESP",34.71895,4,1102.65,937.61,NA,NA,NA,NA,18.63,NA,15.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","EST","Europe","Estonia",213474,867,928.857,1701,11,11.143,161089.596,654.247,700.925,1283.591,8.301,8.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325188,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,NA,4.69,78.74,0.892,NA,NA,NA,NA,"i",885.83002,"240.05993","422.54091","521.75387","589.96278","667.91582","786.61704","931.89316","1120.57495","1418.21383","2159.65354","331.30042","555.858325","727.26643","1026.234055","1788.933685",0,NA,26611.72977,"EST",30.32145,4,701.86,574.83,NA,NA,NA,NA,11.07,11.076582,14.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ETH","Africa","Ethiopia",369244,265,228.143,6638,8,11,3132.472,2.248,1.935,56.313,0.068,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,NA,NA,NA,NA,"c",110.12,"28.74132","44.15812","55.28024","66.18212","77.19412","88.31624","102.30148","124.54572","168.70384","345.7768","36.44972","60.73118","82.75518","113.4236","257.24032",0,NA,1430.803443,"ETH",34.99312,1,87.56,71.43,87.3,25.9,27.6,46.5,1.8,3659.216688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","FIN","Europe","Finland",171222,937,845.714,1233,3,3.429,30859.924,168.879,152.426,222.228,0.541,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5548361,18.136,42.8,21.228,13.264,40585.721,NA,153.507,5.76,18.3,22.6,NA,3.28,81.91,0.938,NA,NA,NA,NA,"i",1501.48,"579.57128","834.82288","989.47532","1114.09816","1240.22248","1387.36752","1564.54216","1797.27156","2148.61788","3360.31224","707.19708","1051.78674","1313.795","1680.90686","2754.46506",0,-5.2,38534.98821,"FIN",27.32977,4,1501.11,1306.37,NA,NA,NA,NA,26.06,NA,6.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","FJI","Oceania","Fiji",52429,0,18.714,694,0,2.714,58067.403,0,20.727,768.635,0,3.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,NA,2.3,67.44,0.743,NA,NA,NA,NA,"c",227.06,"71.29684","99.45228","119.2065","138.05248","159.16906","185.28096","218.65878","265.20608","339.90882","674.3682","85.37456","128.62949","172.22501","241.93243","507.13851",0,NA,8388.12539,"FJI",36.6966,3,238.97,165.79,NA,NA,NA,NA,4.49,4.5771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","FLK","South America","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4407,2632,1775,NA,NA,12,124.91,74.6,50.31,NA,3401,4,0.113,NA,3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","FRA","Europe","France",7413180,19884,11264,119225,48,36.429,109720.45,294.298,166.715,1764.617,0.71,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67564251,122.578,42,19.718,13.079,38605.671,NA,86.06,4.77,30.1,35.6,NA,5.98,82.66,0.901,NA,NA,NA,NA,"i",1621.01,"505.75512","773.22177","953.15388","1115.25488","1269.25083","1437.83587","1625.87303","1899.82372","2316.42329","4313.50761","639.488445","1034.20438","1353.54335","1762.848375","3314.96545",0,-19,37214.40686,"FRA",32.38069,4,1597.81,1313.09,NA,NA,NA,NA,24.69,NA,9.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","FRO","Europe","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78347,40205,38142,NA,NA,140,159.72,81.96,77.76,NA,2854,90,0.183,38.89,49053,35.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","FSM","Oceania","Micronesia (country)",1,0,0,NA,NA,0,8.602,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116255,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,NA,NA,NA,NA,67.88,0.62,NA,NA,NA,NA,"c",154.86,"28.95882","56.83362","74.17794","91.05768","108.55686","128.68866","154.70514","193.11042","252.4218","460.24392","42.89622","82.61781","118.62276","173.90778","356.33286",0,NA,3177.392579,"FSM",40.05763,2,158.85,116.79,NA,NA,NA,NA,NA,4.403725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","GAB","Africa","Gabon",36787,0,65.286,268,0,1.286,16142.94,0,28.649,117.604,0,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,NA,NA,NA,6.3,66.47,0.703,NA,NA,NA,NA,"c",295.5,"66.192","112.5855","143.3175","177.3","213.0555","252.0615","305.2515","374.3985","491.712","819.4215","89.38875","160.30875","232.5585","339.825","655.56675",0,NA,18536.76837,"GAB",38.02437,3,210.08,149.29,16.5,15.4,45,39.6,3.63,16.93527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","GBR","Europe","United Kingdom",9686363,37130,39168.286,143598,214,148.857,142013.969,544.371,574.255,2105.323,3.138,2.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68207114,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932,NA,NA,NA,NA,"i",1432.22,"412.47936","655.95676","797.74654","945.2652","1109.9705","1297.59132","1508.12766","1783.1139","2178.40662","3634.97436","534.21806","871.50587","1203.78091","1645.62078","2906.69049",0,-21.7,38177.9688,"GBR",35.14883,4,1350.13,1151.09,NA,NA,NA,NA,21.29,NA,9.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","GEO","Asia","Georgia",791115,5204,4292.571,11140,83,79.429,198783.951,1307.612,1078.597,2799.155,20.855,19.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3979773,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,NA,2.6,73.77,0.812,NA,NA,NA,NA,"c",237.52,"55.57968","93.34536","118.76","144.17464","171.72696","203.79216","240.84528","290.24944","370.76872","686.4328","74.46252","131.46732","187.75956","265.54736","528.60076",0,NA,7233.37689,"GEO",35.94862,2,200.07,152.61,0.8,23.2,33.8,43,1.89,88.080048,16.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","GGY","Europe","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",104070,NA,NA,NA,NA,28,164.19,NA,NA,NA,442,NA,NA,NA,63385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GHA","Africa","Ghana",130727,17,17,1207,0,0.571,4119.705,0.536,0.536,38.037,0,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,NA,NA,NA,NA,"c",199.55,"32.12755","61.0623","83.811","108.1561","133.49895","161.83505","196.95585","248.04065","327.262","642.75055","46.594925","95.98355","147.667","222.49825","485.006275",0,NA,3894.004399,"GHA",43.52088,2,131.42,95.69,33.7,24.3,35.3,40.4,2.23,678.509304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","GIB","Europe","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",94019,40786,39815,13418,1001,349,279.06,121.06,118.18,39.83,10359,30,0.089,NA,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","GIN","Africa","Guinea",30715,0,0.857,387,0,0,2275.651,0,0.064,28.673,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.477,NA,NA,NA,NA,"c",87.300003,"26.4519","39.5469","48.9753","57.3561","66.2607","76.824","89.2206","106.1568","131.7357","230.5593","32.9994","53.1657","71.54235","97.6887","181.1475",0,NA,1165.12982,"GIN",33.7297,1,87.3,71.01,75.1,34,27.9,38.1,2.53,866.0254625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","GMB","Africa","Gambia",9986,6,1,341,0,0,4015.381,2.413,0.402,137.116,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,NA,NA,NA,NA,"c",149.91,"45.12291","65.66058","79.90203","93.54384","107.9352","126.97377","148.71072","177.49344","223.06608","430.69143","55.391745","86.722935","117.454485","163.10208","326.878755",0,NA,1592.65032,"GMB",35.91883,1,97.16,62.45,60.4,28.9,37.4,33.7,2.45,225.5213455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","GNB","Africa","Guinea-Bissau",6431,29,40.143,146,2,0.429,3190.787,14.389,19.917,72.439,0.992,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,0.48,NA,NA,NA,NA,"c",69.18,"11.27634","19.78548","25.80414","31.61526","38.53326","46.0047","55.75908","70.77114","101.6946","290.556","15.53091","28.7097","42.26898","63.26511","196.1253",0,NA,1321.829538,"GNB",50.66424,1,69.18,42.2,77.5,32.4,25.9,41.8,2.01,375.078088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","GNQ","Africa","Equatorial Guinea",13519,34,8.571,169,1,0.143,9324.149,23.45,5.912,116.56,0.69,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449891,45.194,22.4,2.846,1.752,22604.873,NA,202.812,7.78,NA,NA,24.64,2.1,58.74,0.592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33141.85216,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","GRC","Europe","Greece",847188,8364,6568.571,16923,85,72.714,81690.162,806.499,633.375,1631.801,8.196,7.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888,NA,NA,NA,NA,"i",662.25,"129.13875","258.2775","347.019","435.09825","516.555","610.5945","717.21675","839.733","1033.77225","1735.095","193.708125","391.058625","563.57475","778.474875","1384.433625",0,NA,24372.42214,"GRC",32.89121,4,680.16,584.69,NA,NA,NA,NA,12.85,NA,14.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","GRD","North America","Grenada",5865,0,0.286,200,0,0,51895.766,0,2.528,1769.677,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113015,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11853.71686,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","GRL","North America","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",77383,40125,37258,NA,NA,35,136.07,70.56,65.52,NA,615,1,0.002,29.63,56868,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","GTM","North America","Guatemala",610591,557,549.714,15749,19,32.714,33457.283,30.521,30.122,862.965,1.041,1.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18249868,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.663,NA,NA,NA,NA,"i",259.89999,"43.4033","73.5517","99.0219","124.4921","155.4202","187.9077","230.2714","292.1276","403.8846","988.9195","58.4775","111.757","171.66395","261.1995","696.40205",0,NA,7111.550259,"GTM",48.27859,2,257.19,167.87,NA,NA,NA,NA,5.51,343.840074,14.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
