"","Entity","Total confirmed deaths due to COVID-19 per million people","Religious compatibility (Larson et al (2016))","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population.x","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"53","Equatorial Guinea",59.16,NA,94.1,59.16,59.16,35,NA,3460.540601,NA,58.735,1356000,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.39304404,26.02097699,33.1,2,1316,697,1449891,4510631,2e-04
"54","Eritrea",NA,NA,46.5,51.33,51.33,21.4,NA,4222.614927,NA,66.321,3497000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.31894138,21.17645978,18.4,11,7112,3902,3601462,9061777,5e-04
"55","Estonia",55.03,NA,3,3.18,3.18,4.3,2.3,215.1727847,NA,78.745,1326000,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.10832438,26.04526707,1.5,0,30,17,1325188,837720,2e-04
"56","Eswatini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172369,2145198,1e-04
"57","Ethiopia",12.569,8.1,59.2,60.58,60.58,24.9,43.5,4211.644212,NA,66.597,112079000,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.11043961,21.11970671,27.7,198,148833,89734,117876226,294392903,0.015
"58","Fiji",2.231,20.7,22.4,27.9,27.9,10.9,NA,1864.966294,4.767926846,67.444,890000,69.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.80560987,29.0032383,9.6,0,340,219,902899,1066581,1e-04
"59","Finland",63.891,2.2,2.3,2.4,2.4,2.8,1.9,182.3905576,9.493801965,81.908,5532000,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.54581549,25.68118239,1.3,0,100,68,5548361,5254370,7e-04
"60","France",544.493,10.5,4.3,4.25,4.25,3.6,8.6,313.2303763,8.496422292,82.659,65130000,81.8,74.9400024414062,75.5,77.4799957275391,82.5199966430664,83,83.9599990844727,7.57999420166016,7.5,6.47999954223633,1.10114753246307,1.09933769702911,1.08363449573517,26.07234717,24.3122892,2.2,3,2297,1529,65426177,65497773,0.0083
"61","Gabon",24.262,NA,52.2,40.51,40.51,23.1,23.5,3404.89869,NA,66.467,2173000,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.14419589,26.69545578,23.2,2,1368,901,2278829,5859225,3e-04
"62","Gambia",49.241,NA,68.9,51.2,51.2,28.5,49.3,3450.537925,NA,62.05,2348000,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.55791801,24.65288872,29.9,3,2279,1512,2486937,8175553,3e-04
