"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"30","Cameroon",16.048,161.66,22.24,"27.80552","45.10314","59.65254","77.27348","98.28928","123.02326","154.06198","195.28528","269.64888","566.45664","36.45433","68.46301","110.65627","174.67363","418.05276",0,2,46.64087,NA,2835.566677,27224.265,42.82,2888.0459,26373626.91,76168245065.5552,1303.062921,2.35,46,23.6,30.7,45.7,160.24,108.68,NA
"31","Canada",264.982,1745.0699,35.150002,"413.58159","738.16461","977.2392","1176.17718","1375.11516","1594.99398","1863.73476","2202.27834","2703.11343","4408.04682","575.8731","1076.70819","1485.05457","2033.00655","3555.580125",0,4,33.30821,-13.494697,42777.89898,38067.903,33.68,44868.7435,37206335.28,1669401514253.32,NA,23.48,NA,NA,NA,NA,1700.77,1426.86,13.688
"32","Cape Verde",169.068,243.34,0.49000001,"47.4513","73.48868","94.17258","118.50658","143.81394","173.50142","211.94914","274.00084","392.50742","903.76476","60.46999","106.33958","158.65768","242.97499","648.13609",0,2,42.38109,NA,6219.777782,561.898,47.19,6831.216,568373,3882678731.568,5.446749,NA,NA,NA,NA,NA,243.33,157.11,NA
"33","Central African Republic",12.837,73.720001,4.3499999,"8.92012","15.62864","22.26344","29.26684","36.93372","45.04292","56.3958","74.16232","107.85236","340.73384","12.27438","25.76514","40.98832","65.27906","224.2931",0,1,56.23661,NA,566.846007,4919.981,56.24,623.4889,5745062,3581982386.8118,1545.000105,1.72,77.6,24.1,24.1,51.8,73.72,40.64,NA
"34","Chad",5.844,98.139999,12.29,"17.46892","30.22712","41.7095","53.58444","65.95008","79.29712","94.80324","119.43638","160.65518","318.36616","23.84802","47.64697","72.6236","107.11981","239.51067",0,1,43.32121,NA,2081.718396,16914.985,43.32,2046.3631,15252873.89,31212918297.4495,1244.815163,2.24,87.1,31.4,23.9,44.7,98.14,73.05,NA
"35","Chile",733.723,727.16998,18.049999,"139.61664","235.60308","301.77555","367.22085","438.48351","522.83523","631.18356","788.25228","1093.66368","2753.79279","187.60986","334.4982","480.65937","709.71792","1923.728235",0,4,44.44094,-13.682773,21979.82132,19212.361,50.45,22104.7654,18676227.52,412833627886.624,54.862785,7.17,NA,NA,NA,NA,720.4,430.86,NA
"36","China",3.293,332.12,1371.22,"88.0118","126.2056","159.74972","193.95808","231.81976","276.32384","331.78788","407.51124","530.06352","976.10068","107.1087","176.8539","254.0718","369.64956","753.0821",0,3,NA,3.2,12599.18183,1444216.107,42.06,13101.7064,1385439414,18151620437216,3294.700605,1.78,5.2,31,34.7,34.4,287.7,0,25.015
"37","Colombia",600.693,431.25,49.07,"60.375","115.575","156.54375","199.2375","247.5375","304.89375","379.06875","487.3125","680.94375","1681.0125","87.975","177.890625","276.215625","433.190625","1180.978125",0,3,51.33497,-15.7,12743.01602,51265.844,53.49,13545.0495,48128326.39,651900563304.706,814.191192,5.42,5.4,31.8,33.5,34.7,450.73,264.68,19.592
"38","Comoros",8.05,180.10001,0.75999999,"28.9961","51.5086","71.3196","92.2112","112.5625","137.9566","176.8582","222.6036","300.5869","606.2166","40.25235","81.7654","125.25955","199.7309","453.40175",0,1,45.33459,NA,1363.563075,888.451,55.93,1724.4206,821164,1416032117.5784,20.18085,3.89,36,28.7,25,46.3,246.86,132.18,NA
"39","Congo",16.672,117.42,4.5100002,"18.31752","30.99888","41.91894","54.6003","69.2778","85.36434","105.79542","136.91172","185.64102","445.37406","24.6582","48.25962","77.32107","121.35357","315.50754",0,2,48.93867,NA,5988.158823,NA,40.16,5714.5917,5164601.891,29513591100.1129,438.7074065,2.75,39.7,9.9,33.4,56.7,117.41,76.21,NA
"40","Costa Rica",260.889,731.75,4.9099998,"116.34825","205.62175","272.94275","341.72725","417.82925","515.88375","646.13525","851.757","1244.70675","2704.548","160.985","307.335","466.8565","748.946125","1974.627375",0,3,48.18792,NA,14232.17543,5139.052,49.18,14686.2539,4993580.327,73336988552.367,19.59831,7.04,NA,NA,NA,NA,676.06,428.34,NA
"41","Cote d'Ivoire",4.625,116.93,23.110001,"24.67223","42.0948","54.02166","65.71466","77.99231","93.19321","112.60359","140.316","185.33405","373.35749","33.383515","59.86816","85.59276","126.459795","279.34577",0,2,41.4748,NA,3108.425908,NA,43.18,3713.6436,27622915.32,102581662691.46,1331.420136,2.41,58.7,34.5,29.6,35.9,119.31,85.09,NA
"42","Croatia",114.487,569.42999,4.1999998,"153.17667","260.79894","340.51914","403.72587","469.21032","543.23622","617.26212","718.05123","866.67246","1321.64703","206.987805","372.122505","506.22327","667.656675","1094.159745",0,3,29.72947,NA,20033.08754,4081.651,31.98,22012.3147,3860506.699,84978688359.8462,16.839567,9.62,NA,NA,NA,NA,524.49,449.6,NA
"43","Cuba",11.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,19950.28063,11317.505,NA,8325.6313,11116396,92551014480.7948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Cyprus",28.542,1319.55,1.16,"422.256","614.9103","741.5871","860.3466","990.98205","1144.04985","1316.9109","1546.5126","1939.7385","3619.52565","518.58315","800.96685","1067.51595","1431.71175","2779.632075",0,4,32.73986,-11.9,29673.18385,1215.584,34.31,27184.4166,1022282.576,27790155428.9052,NA,NA,NA,NA,NA,NA,835.13,659.69,NA
"45","Democratic Republic of Congo",3.394,46.470001,68.980003,"9.71223","16.03215","20.77209","25.60497","30.6702","36.66483","44.65767","55.81047","76.07139","148.65753","12.87219","23.18853","33.667515","50.23407","112.36446",0,1,42.09971,NA,711.5201297,NA,42.1,859.3817,95238683.4,81846381646.0538,19144.25821,1.4,75.1,15,31.6,53.3,45.83,33.02,NA
