"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"142","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,22170.98773,53.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Saint Lucia",NA,563.95001,0.18000001,"50.7555","125.76085","192.8709","255.46935","329.91075","401.5324","496.276","663.2052","945.74415","2177.9749","88.258175","224.170125","365.721575","579.7406","1561.859525",0,3,51.23331,NA,10239.56104,184.4,42.58,10475.3689,165510,1733778306.639,12.782592,NA,1,6.2,81.8,12,103.13,75.99,NA
"144","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,10234.06873,111.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Samoa",NA,284.84,0.19,"78.04616","117.06924","144.41388","170.33432","196.82444","227.58716","267.7496","325.85696","429.25388","890.97952","97.5577","157.3741","212.2058","296.80328","660.1167",0,3,38.73181,NA,5522.877483,200.149,42.69,NA,NA,NA,0.184471,NA,NA,NA,NA,NA,302.45,209.26,NA
"146","San Marino",1237.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,34.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Sao Tome and Principe",68.443,86.949997,0.17,"30.4325","42.4316","51.03965","59.73465","68.25575","78.0811","90.428","105.7312","133.12045","210.2451","36.43205","55.38715","73.168425","98.0796","171.682775",0,2,56.31984,NA,3030.217162,223.368,30.82,3730.2045,204454,762655230.843,8.825481,2.73,19.3,30.6,25.9,43.5,86.95,72.78,NA
"148","Saudi Arabia",153.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,49536.98788,35340.683,NA,50304.7502,33343543.06,1677338604416.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Senegal",19.231,95.980003,13.3,"22.0754","36.08848","44.91864","54.42066","65.7463","77.83978","92.6207","115.6559","152.41624","298.0179","29.08194","49.66965","71.79304","104.1383","225.21707",0,1,40.28523,NA,2225.833473,17196.301,40.28,2617.1244,16355946.85,42805547586.2381,1230.723936,2.21,56.9,39.4,29,31.6,95.98,71.29,NA
"150","Serbia",117.274,360,7.0999999,"48.6","122.76","174.24","222.84","271.44","322.56","380.52","456.84","567","1032.84","85.68","198.54","297","418.68","799.92",1,3,30.35106,NA,12716.89836,8697.55,29.65,14124.1177,7078110,99972058733.547,1.986184,5.42,0.2,48.8,10,41.2,386.22,339.26,14.137
"151","Seychelles",NA,699.04999,0.090000004,"132.8195","246.0656","312.47535","371.19555","430.6148","501.21885","586.50295","702.54525","919.25075","2787.8114","189.44255","341.83545","465.916825","644.5241","1853.531075",0,4,32.12532,NA,25172.44364,98.908,42.77,29531.0612,94633,2794612914.5396,0.2683845,10.08,NA,NA,NA,NA,699.05,461.87,NA
"152","Sierra Leone",9.277,70.980003,6.6100001,"23.13948","33.0057","39.18096","45.49818","52.09932","60.19104","70.19922","85.38894","110.08998","191.00718","28.07259","42.33957","56.14518","77.79408","150.54858",0,1,35.69018,NA,1875.721347,8141.343,33.99,1683.8497,6312212,10628816282.5364,345.437898,1.91,81,23.1,31.5,45.5,70.84,55.78,NA
"153","Singapore",4.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,-13.2,78958.09344,5896.686,NA,68402.3451,5995991,410139845598.494,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Slovakia",32.237,678.90997,5.4200001,"207.74646","370.00595","458.26425","534.30217","602.19317","666.68962","740.0119","832.34366","956.58419","1420.95863","288.876205","496.28321","634.441395","786.17778","1188.77141",0,4,24.97015,-12.1,26470.60946,5460.721,26.12,27075.5344,5409180.99,146456465970.571,4.502202,15.69,NA,NA,NA,NA,851.49,795.44,8.421
"155","Slovenia",92.355,1026.3199,2.0599999,"398.21216","583.97608","695.84496","793.34536","887.7668","983.21456","1088.92552","1228.50504","1444.03224","2158.35096","491.09412","744.59516","935.49068","1158.71528","1801.1916",0,4,24.63336,NA,28153.03225,2078.724,25.59,29244.9198,2066679.548,60439877633.5602,0.142861,19.37,NA,NA,NA,NA,1002.28,909.81,9.989
"156","Solomon Islands",NA,111.12,0.56,"30.66912","46.89264","57.7824","68.56104","80.22864","92.00736","108.23088","131.1216","170.68032","325.026","38.78088","63.17172","86.118","119.67624","247.85316",0,2,37.05493,NA,2032.485807,703.996,46.1,NA,NA,NA,43.651664,NA,NA,NA,NA,NA,94.45,62.72,NA
"157","Somalia",6.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36.82241,NA,NA,16359.504,NA,NA,NA,NA,NA,NA,81.2,34.2,18.6,47.2,NA,NA,NA
"158","South Africa",321.251,337.70999,55.290001,"29.04306","50.99421","69.90597","91.51941","118.1985","157.03515","220.52463","336.35916","598.08441","1705.4355","40.018635","80.71269","137.616825","278.441895","1151.759955",0,3,63.02607,NA,12446.37393,60041.994,63.38,12165.7948,55341402.54,673272147245.839,1752.145088,5.62,11.1,6.2,56.7,37,358.24,140.42,23.751
"159","South Korea",8.992,1181.66,50.200001,"310.77658","550.65356","703.0877","834.25196","963.0529","1108.39708","1270.2845","1471.1667","1798.48652","2807.62416","430.71507","768.66983","1035.72499","1370.7256","2303.05534",0,4,31.40486,-2.957828,33629.4189,51305.186,NA,37927.6095,51635000,1958392116532.5,NA,NA,NA,NA,NA,NA,NA,NA,14.62
"160","South Sudan",5.003,98.300003,9.6700001,"12.2875","25.6563","36.5676","47.8721","61.4375","78.1485","98.2017","125.7257","170.6488","326.356","18.9719","42.21985","69.793","111.9637","248.5024",0,1,44.14413,NA,1926.052152,11381.378,NA,NA,NA,NA,3007.095753,NA,91.1,40.1,12.7,47.2,98.29,69.57,NA
"161","Spain",754.96,1115.37,46.439999,"209.68956","433.87893","584.45388","726.10587","873.33471","1018.33281","1195.67664","1420.98138","1770.09219","2922.2694","321.784245","655.279875","945.83376","1308.32901","2346.180795",0,4,34.71895,-22.1,31801.94262,46745.216,35.89,31496.52,47379842.93,1492300170441.6,NA,18.63,NA,NA,NA,NA,1102.65,937.61,15.562
"162","Sri Lanka",0.887,268.32999,21.200001,"78.88902","109.21031","132.01836","154.82641","179.51277","208.49241","246.05861","298.11463","394.17677","881.73238","94.049665","143.422385","194.00259","272.08662","637.954575",0,2,39.34577,NA,10667.15961,21497.31,38.58,11662.9064,21731901.62,253457134488.068,38.535021,2.6,NA,NA,NA,NA,228.33,165.08,NA
"163","Sudan",19.088,138.89,33.650002,"36.66696","58.05602","73.19503","88.61182","104.1675","122.08431","144.02893","173.6125","217.91841","370.69741","47.36149","80.903425","113.125905","158.820715","294.30791",0,2,34.2432,NA,3882.245273,44909.353,35.39,3379.5957,41773606.77,141177901813.383,649.140966,3.5,53.4,26.7,23.5,49.8,138.89,112.1,NA
"164","Suriname",189.215,217.83,0.47,"#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!","#VALUE!",0,3,57.60975,NA,15872.61477,591.8,57.61,NA,NA,NA,52.3030765,NA,5.9,31.2,33.8,34.9,217.41,139.11,NA
"165","Sweden",585.983,1642.51,9.8000002,"486.18296","855.74771","1065.98899","1215.4574","1356.71326","1527.5343","1729.56303","2020.2873","2412.84719","3754.77786","670.965335","1140.723195","1442.12378","1874.925165","3083.812525",0,4,29.97419,-8.3,44033.94329,10160.169,27.32,45541.8921,10175410.26,463407436134.153,NA,29.09,NA,NA,NA,NA,1534.88,1357.05,5.596
"166","Switzerland",222.887,2020.86,8.2799997,"638.59176","943.74162","1161.9945","1362.05964","1584.35424","1816.75314","2101.6944","2469.49092","3033.31086","5096.60892","791.16669","1262.02707","1700.55369","2285.59266","4064.95989",0,4,33.14105,NA,55260.31832,8715.494,31.64,61372.7301,8667875.051,531971156045.547,NA,31.51,NA,NA,NA,NA,2013.28,1681.71,8.745
"167","Syria",15.714,217.17999,17.809999,"69.4976","96.6451","115.97412","135.08596","155.50088","178.95632","209.79588","253.88342","333.58848","622.87224","83.07135","125.53004","167.2286","231.83965","478.23036",0,2,37.5146,NA,NA,18275.702,35.77,3349.4597,16931272.14,56710613702.6628,NA,NA,4.4,55.4,33.5,11.1,NA,NA,NA
"168","Tajikistan",8.493,192.72,8.5500002,"56.8524","86.33856","106.38144","125.65344","146.4672","169.20816","197.538","234.54024","295.43976","508.58808","71.59548","116.01744","157.83768","216.03912","402.01392",0,2,33.99572,NA,2567.037722,9749.627,30.77,4440.3819,8604338.517,38206549012.3596,274.465108,4.46,13.2,21.3,52.3,26.4,104.75,87.09,NA
"169","Tanzania",0.352,78.599998,49.080002,"24.2874","33.6408","40.2432","47.3172","54.627","62.88","73.7268","89.1324","116.9568","243.267","28.9641","43.7802","58.7535","81.4296","180.1119",0,1,40.49123,NA,2421.20802,61498.437,37.78,2874.9629,56366818.44,162052511806.036,4526.68255,1.44,65.6,18.3,26.4,55.3,81.08,60.27,NA
"170","Thailand",0.845,477.04999,69.040001,"145.50025","200.83805","243.2955","286.70705","338.22845","400.24495","475.1418","578.1846","746.58325","1356.25315","173.16915","265.001275","369.2367","526.6632","1051.4182",0,3,34.85572,NA,15011.60703,69950.85,39.26,16648.6237,67515004.51,1124031904190.79,0,5.43,0.9,41,39,20,449.2,336.44,NA
"171","Timor",NA,85.559998,1.21,"34.56624","46.03128","53.81724","61.00428","68.448","76.23396","86.07336","100.70412","123.37752","205.25844","40.29876","57.41076","72.34098","93.38874","164.31798",0,2,28.65293,NA,2124.571833,NA,31.56,NA,NA,NA,34.697192,NA,68.1,21.3,31,47.7,75.25,60.28,NA
"172","Togo",6.523,82.519997,7.4200001,"15.51376","26.07632","35.23604","43.48804","53.72052","65.27332","81.6948","103.23252","140.53156","260.43312","20.79504","39.36204","59.49692","92.46366","200.48234",0,1,43.05614,NA,1363.126595,8478.25,46.02,1451.3609,8176449,11866978379.4441,1033.280325,2.1,50.1,22,32.7,45.3,79.87,53.35,NA
"173","Tonga",NA,306.44,0.11,"84.271","125.02752","158.42948","189.9928","217.5724","249.7486","291.42444","357.92192","478.65928","911.35256","104.64926","174.21114","233.6605","324.67318","695.00592",0,3,37.58744,NA,4971.515216,106.76,38.1,NA,NA,NA,0.1601985,NA,NA,NA,NA,NA,296.24,226.4,NA
"174","Trinidad and Tobago",75.742,302.64999,1.24,"62.64855","103.80895","138.6137","174.3264","213.0656","256.94985","309.61095","378.3125","484.54265","904.62085","83.22875","156.47005","235.007725","343.961725","694.58175",0,4,40.27296,NA,30497.4353,1403.375,40.27,28549.4083,1215343.972,34697351281.5718,1.2170925,NA,5.6,1.3,94.3,4.4,302.77,234.02,NA
"175","Tunisia",83.174,334.19,11.27,"105.60404","155.39835","190.15411","222.23635","255.98954","295.08977","342.21056","408.38018","512.31327","854.52383","130.501195","206.19523","275.539655","375.29537","683.41855",0,2,32.81588,-21.6,10909.84197,11935.766,35.81,11353.8865,11478192.59,130322095892.001,12.8387655,3.97,1.2,48.1,25.7,26.2,288.18,231.49,NA
"176","Turkey",117.976,567.58002,79.510002,"125.43518","199.22058","255.411","308.76352","372.90006","449.52336","544.30922","679.39326","920.04718","1821.36422","162.32788","282.08726","411.21171","611.85124","1370.7057",0,3,41.90911,NA,18869.00693,85042.738,40.17,19270.2202,85934891.42,1655984280526.49,31.715142,2.82,NA,NA,NA,NA,517.27,390.37,NA
"177","Turkmenistan",NA,76.910004,4.4099998,"19.76587","27.45687","35.07096","42.99269","51.68352","61.68182","74.06433","91.36908","121.05634","244.03543","23.61137","39.031825","56.68267","82.716705","182.545885",0,3,40.80693,NA,14762.14098,6117.924,40.77,26318.366,5410328.683,142391010459.492,11.265214,NA,6.7,39.7,45.6,14.7,90.47,66.3,NA
"178","Tuvalu",NA,233.58,0.0099999998,"62.83302","91.0962","113.75346","138.74652","161.87094","187.33116","226.10544","270.9528","365.78628","717.55776","76.96461","126.24999","174.60105","248.52912","541.67202",0,3,39.13903,NA,3592.181544,11.931,NA,NA,NA,NA,0.029127,NA,NA,NA,NA,NA,248.56,180.34,NA
"179","Uganda",2.252,96.959999,41.490002,"24.43392","35.09952","43.43808","51.77664","61.27872","72.72","87.7488","110.0496","151.2576","331.70016","29.76672","47.60736","66.99936","98.8992","241.47888",0,1,42.75369,NA,1689.436629,47123.531,42.37,2045.4203,42330698.75,86584070536.4346,2612.213385,1.46,69.9,15.6,34.1,50.4,103.07,73.7,NA
"180","Ukraine",150.685,350.12,45,"150.90172","201.66912","235.98088","268.19192","297.95212","329.81304","368.32624","417.69316","488.06728","742.2544","176.28542","252.0864","313.88258","393.0097","615.16084",0,2,26.61947,NA,8267.065341,43466.819,24.55,9813.3637,43952299,431319895538.146,0,5.94,1.2,1.4,94.2,4.4,384.28,343.12,NA
"181","United Arab Emirates",48.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25.96615,NA,64562.62007,9991.089,NA,76397.8181,9619465.681,734906189316.231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","United Kingdom",668.253,1432.22,65.129997,"412.47936","655.95676","797.74654","945.2652","1109.9705","1297.59132","1508.12766","1783.1139","2178.40662","3634.97436","534.21806","871.50587","1203.78091","1645.62078","2906.69049",0,4,35.14883,-21.7,38177.9688,68207.116,32.57,38058.0856,66745609.05,2540210102649.03,NA,21.29,NA,NA,NA,NA,1350.13,1151.09,9.138
"183","United States",684.958,2096.71,323.41,"345.95715","710.78469","954.00305","1195.1247","1453.02003","1746.55943","2111.38697","2618.79079","3423.92743","6405.44905","528.37092","1074.563875","1599.78973","2365.08888","4914.68824",0,4,41.40784,-9.5,52117.74585,332915.073,41.06,55334.7394,327834658.3,18140645383318.5,NA,21.7,NA,NA,NA,NA,1917.39,1465.7,17.049
"184","Uruguay",15.545,825.67999,3.46,"189.9064","298.89616","389.72096","483.0228","581.27872","690.26848","825.68","1015.5864","1327.69344","2455.57232","244.40128","436.37188","635.7736","920.6332","1891.63288",0,4,39.67655,NA,19924.05088,3485.151,41.87,20185.836,3396476.271,68560712984.2976,2.6013185,6.92,NA,NA,NA,NA,764.05,574.98,14.058
"185","Uzbekistan",16.642,62.200001,25.57,"17.9136","28.2388","34.7076","40.0568","45.7792","52.4346","60.645","72.2764","93.6732","176.2126","23.0762","37.3822","49.1069","66.4607","134.9429",0,2,35.2688,NA,5316.872673,33935.763,35.27,11220.3702,30023498.41,336874766859.311,1333.783584,NA,2.3,23.2,55.7,21.1,57.5,45.27,NA
"186","Vanuatu",NA,148.82001,0.23999999,"39.88376","60.42092","75.00528","90.7802","107.00158","124.11588","145.54596","178.43518","229.33162","437.5308","50.15234","82.89274","115.55873","161.99057","333.43121",0,2,37.62623,NA,2891.219503,314.464,37.18,NA,NA,NA,5.9814375,NA,30.1,29.7,17.3,53,142.93,110.78,NA
"187","Venezuela",27.43,314.81,27.24,"16.68493","83.42465","125.924","164.64563","205.88574","251.848","310.40266","391.93845","524.78827","1072.55767","50.05479","145.284815","228.86687","351.170555","798.67297",0,3,44.7705,NA,16750.89844,28704.954,46.94,10709.9506,28890237.1,309413012163.287,1333.44793,6.28,NA,NA,NA,NA,353.7,256.3,NA
"188","Vietnam",0.36,287.04999,94.57,"76.06825","121.99625","155.29405","185.4343","217.0098","251.4558","293.07805","350.201","441.4829","778.4796","99.03225","170.364175","234.2328","321.639525","609.98125",0,2,35.71555,NA,5370.144872,98168.833,38.7,6814.1423,97075816.9,661488430245.345,379.716216,3.35,7.1,17.6,58.1,24.3,257.04,198.9,NA
"189","Yemen",20.117,123.29,26.25,"36.987","52.89141","64.97383","76.4398","87.65919","100.97451","118.48169","143.26298","188.26383","362.84247","44.939205","70.706815","94.31685","130.872335","275.55315",0,2,36.70709,NA,3663.307829,30490.64,35.89,2284.8899,30217091.34,69042726810.1435,NA,NA,45.9,28,36.7,35.3,NA,NA,NA
"190","Zambia",18.93,90.860001,16.1,"9.26772","16.99082","23.6236","30.8924","41.3413","54.69772","73.77832","101.39976","153.46254","403.23668","13.12927","27.258","48.01951","87.58904","278.34961",0,2,57.13606,NA,3724.526564,18920.651,55.62,3534.0337,17254680.3,60978621662.9261,2995.0878,1.83,56.6,18.5,29.7,51.8,78.64,40.81,NA
"191","Zimbabwe",16.282,147.38,14.39,"36.55024","49.3723","62.78388","77.22712","93.5863","112.89308","137.35816","172.28722","233.30254","498.58654","42.96127","70.0055","103.23969","154.82269","365.94454",0,1,50.25645,NA,1709.143995,15092.171,NA,1611.4052,14096611.79,22715353540.7873,406.092795,NA,29.7,11.7,25.9,62.5,147.38,102.55,NA
"192","Czech Republic",237.838,858.34998,10.55,"331.3231","498.70135","594.83655","665.22125","727.8808","799.12385","883.24215","998.26105","1187.09805","1896.9535","415.012225","630.0289","763.502325","940.7516","1542.025775",0,4,24.99034,-10.7,28715.13873,10724.555,26.13,30748.5084,10605402.76,326100315851.243,5.830948,12.98,NA,NA,NA,NA,799.89,715.12,5.972
"193","Micronesia (country)",NA,154.86,0.1,"28.95882","56.83362","74.17794","91.05768","108.55686","128.68866","154.70514","193.11042","252.4218","460.24392","42.89622","82.61781","118.62276","173.90778","356.33286",0,2,40.05763,NA,3177.392579,116.254,61.18,NA,NA,NA,4.403725,NA,NA,NA,NA,NA,158.85,116.79,NA
